,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Geständnismotivierung,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,12,78,85,0,1
1,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,85,0,1
2,Beschuldigtenvernehmungen.,0.038461538461538464,1,0,26,0,0,0,0,0,0,0,0,12,3,85,0,1
3,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,104,34,0,1
4,hermeneutischen,0.0,0,0,15,0,0,0,0,0,0,0,0,12,4,34,0,1
5,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,34,0,1
6,diskursanalytischen,0.0,0,0,19,0,0,0,0,0,0,0,0,12,4,34,0,1
7,Rekonstruktion,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,11,156,34,0,1
8,von,0.0,0,0,3,0,0,0,0,0,0,0,0,11,4,34,0,1
9,Wissen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,11,4,34,0,1
10,(74127,0.0,0,0,6,5,0,0,0,0,0,0,0,12,191,34,0,0
11,Zeichen),0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,34,0,0
12,Michael,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,140,196,1,0
13,Niehaus,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,1,196,1,0
14,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,196,1,0
15,Norbert,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,1,196,1,0
16,Schröer,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,2,196,1,0
17,Seit,0.25,1,0,4,0,0,0,0,0,0,0,0,12,57,240,0,0
18,Oktober,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,7,240,0,0
19,2002,0.0,0,0,4,4,0,0,0,0,0,1,1,12,6,240,0,0
20,gehen,0.0,0,0,5,0,0,0,0,0,0,0,0,12,7,240,0,0
21,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,240,0,0
22,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,7,240,0,0
23,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,12,14,240,0,0
24,Forschungsprojekt,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,12,7,240,0,0
25,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,12,7,240,0,0
26,„Wirksamkeit,0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,12,56,35,0,0
27,des,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,35,0,0
28,Geständnisdispositivs,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,12,4,35,0,0
29,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,35,0,0
30,Strafprozeß,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,5,35,0,0
31,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,12,5,35,0,0
32,1780“,0.0,0,0,5,4,0,0,0,0,0,0,0,12,5,35,0,0
33,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,56,34,0,0
34,Frage,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,34,0,0
35,"nach,",0.0,0,0,5,0,0,0,0,0,0,0,0,12,3,34,0,0
36,warum,0.0,0,0,5,0,0,0,0,0,0,0,0,12,3,34,0,0
37,Beschuldigte,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,4,34,0,0
38,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,34,0,0
39,"polizeilichen,",0.0,0,0,14,0,0,0,0,0,0,0,0,12,3,34,0,0
40,bzw.,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,34,0,0
41,untersu­,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,34,0,0
42,chungsrichterlichen,0.0,0,0,19,0,0,0,0,0,0,0,0,12,57,35,0,0
43,Vernehmungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,3,35,0,0
44,überhaupt,0.0,0,0,9,0,0,0,0,0,0,0,0,12,4,35,0,0
45,bereit,0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,35,0,0
46,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,35,0,0
47,bzw.,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,35,0,0
48,wa­,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,35,0,0
49,"ren,",0.0,0,0,4,0,0,0,0,0,0,0,0,12,56,34,0,0
50,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,12,6,34,0,0
51,Schuld,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,6,34,0,0
52,einzugestehen,0.0,0,0,13,0,0,0,0,0,0,0,0,12,6,34,0,0
53,(Niehaus/Schröer,0.125,0,0,16,0,1,0,0,0,0,0,0,12,6,34,0,0
54,2004).,0.0,0,0,6,4,0,0,0,0,0,0,0,12,5,34,0,0
55,In,0.5,1,0,2,0,0,0,0,0,0,0,0,12,6,34,0,0
56,Frage,0.2,1,0,5,0,0,0,0,0,0,0,0,12,5,34,0,0
57,"steht,",0.0,0,0,6,0,0,0,0,0,0,0,0,12,57,35,0,0
58,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,35,0,0
59,welchem,0.0,0,0,7,0,0,0,0,0,0,0,0,12,3,35,0,0
60,Horizont,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,35,0,0
61,von,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,35,0,0
62,eingespieltem,0.0,0,0,13,0,0,0,0,0,0,0,0,12,3,35,0,0
63,Wissen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,35,0,0
64,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,35,0,0
65,Verhal­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,35,0,0
66,ten,0.0,0,0,3,0,0,0,0,0,0,0,0,12,56,34,0,0
67,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,34,0,0
68,Untersuchungsbeamter,0.05,1,0,20,0,0,0,0,0,0,0,0,12,4,34,0,0
69,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,12,4,34,0,0
70,Beschuldigten,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,4,34,0,0
71,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,34,0,0
72,Schuldge­,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,5,34,0,0
73,ständnis,0.0,0,0,8,0,0,0,0,0,0,0,0,12,57,34,0,0
74,veranlassen,0.0,0,0,11,0,0,0,0,0,0,0,0,12,6,34,0,0
75,kann.,0.0,0,0,5,0,0,0,0,0,0,0,0,12,6,34,0,0
76,Um,0.5,1,0,2,0,0,0,0,0,0,0,0,12,6,34,0,0
77,das,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,34,0,0
78,Ineinandergreifen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,12,6,34,0,0
79,"kultureller,",0.0,0,0,12,0,0,0,0,0,0,0,0,12,6,34,0,0
80,rechtlicher,0.0,0,0,11,0,0,0,0,0,0,0,0,12,56,35,0,0
81,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,35,0,0
82,sozialer,0.0,0,0,8,0,0,0,0,0,0,0,0,12,5,35,0,0
83,Beweggründe,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,4,35,0,0
84,"aufzuklären,",0.0,0,0,12,0,0,0,0,0,0,0,0,12,5,35,0,0
85,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,12,5,35,0,0
86,das,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,35,0,0
87,Prob­,0.2,1,0,5,0,0,0,0,0,0,0,0,12,4,35,0,0
88,lemfeld,0.0,0,0,7,0,0,0,0,0,0,0,0,12,56,34,0,0
89,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,12,3,34,0,0
90,drei,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,34,0,0
91,Aspekten,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,34,0,0
92,erschlossen.,0.0,0,0,12,0,0,0,0,0,0,0,0,12,4,34,0,0
93,Erstens,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,4,34,0,0
94,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,34,0,0
95,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,34,0,0
96,Geständ­,0.125,1,0,8,0,0,0,0,0,0,0,0,12,4,34,0,0
97,nispraxis,0.0,0,0,9,0,0,0,0,0,0,0,0,12,56,35,0,0
98,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,35,0,0
99,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,35,0,0
100,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,12,5,35,0,0
101,ändernden,0.0,0,0,9,0,0,0,0,0,0,0,0,12,5,35,0,0
102,diskursiven,0.0,0,0,11,0,0,0,0,0,0,0,0,12,5,35,0,0
103,Rahmenbedingungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,12,5,35,0,0
104,"bezogen,",0.0,0,0,8,0,0,0,0,0,0,0,0,12,56,34,0,0
105,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,5,34,0,0
106,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,12,5,34,0,0
107,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,34,0,0
108,ergeht.,0.0,0,0,7,0,0,0,0,0,0,0,0,12,4,34,0,0
109,Zweitens,0.125,1,0,8,0,0,0,0,0,0,0,0,12,5,34,0,0
110,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,12,4,34,0,0
111,situative,0.0,0,0,9,0,0,0,0,0,0,0,0,12,5,34,0,0
112,Aushand­,0.125,1,0,8,0,0,0,0,0,0,0,0,12,4,34,0,0
113,lungsprozesse,0.0,0,0,13,0,0,0,0,0,0,0,0,12,56,35,0,0
114,"analysiert,",0.0,0,0,11,0,0,0,0,0,0,0,0,12,6,35,0,0
115,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,7,35,0,0
116,über,0.0,0,0,4,0,0,0,0,0,0,0,0,12,6,35,0,0
117,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,35,0,0
118,allmählich,0.0,0,0,10,0,0,0,0,0,0,0,0,12,6,35,0,0
119,herbeigeführten,0.0,0,0,15,0,0,0,0,0,0,0,0,12,6,35,0,0
120,Motivationen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,56,34,0,0
121,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,12,7,34,0,0
122,Geständnis,0.1,1,0,10,0,0,0,0,0,0,0,0,12,7,34,0,0
123,Aufschlüsse,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,7,34,0,0
124,geben.,0.0,0,0,6,0,0,0,0,0,0,0,0,12,8,34,0,0
125,Und,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,8,34,0,0
126,drittens,0.0,0,0,8,0,0,0,0,0,0,0,0,12,8,34,0,0
127,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,12,56,35,0,0
128,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,35,0,0
129,Untersuchung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,3,35,0,0
130,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,35,0,0
131,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,12,3,35,0,0
132,historischen,0.0,0,0,12,0,0,0,0,0,0,0,0,12,3,35,0,0
133,Längsschnitt,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,3,35,0,0
134,durchge­,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,35,0,0
135,"führt,",0.0,0,0,6,0,0,0,0,0,0,0,0,12,56,34,0,0
136,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,34,0,0
137,es,0.0,0,0,2,0,0,0,0,0,0,0,0,12,5,34,0,0
138,"erlaubt,",0.0,0,0,8,0,0,0,0,0,0,0,0,12,5,34,0,0
