,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,21,0.0,0,0,2,2,0,0,0,0,0,0,1,12,0,14,0,1
1,Texte,0.2,1,0,5,0,0,0,0,0,0,0,0,12,75,56,0,0
2,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,56,0,0
3,politischen,0.0,0,0,11,0,0,0,0,0,0,0,0,12,4,56,0,0
4,Theorie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,75,29,0,0
5,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,29,0,0
6,Praxis,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,4,29,0,0
7,Herausgegeben,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,11,76,115,0,0
8,von:,0.0,0,0,4,0,0,1,0,0,0,0,0,11,3,115,0,0
9,Elmar,0.2,1,0,5,0,0,0,0,0,0,0,0,11,76,148,0,0
10,Altvater,0.125,1,0,8,0,0,0,0,0,0,0,0,11,2,148,0,0
11,Hans-Eckehard,0.15384615384615385,1,0,13,0,0,0,0,0,0,0,0,11,76,25,0,0
12,Bahr,0.25,1,0,4,0,0,0,0,0,0,0,0,11,2,25,0,0
13,Wilfried,0.125,1,0,8,0,0,0,0,0,0,0,0,11,76,26,0,0
14,Gottschalch,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,11,3,26,0,0
15,Klaus,0.2,1,0,5,0,0,0,0,0,0,0,0,11,76,25,0,0
16,Holzkamp,0.125,1,0,8,0,0,0,0,0,0,0,0,11,3,25,0,0
17,Urs,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,11,76,26,0,0
18,Jaeggi,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,11,3,26,0,0
19,Rudolf,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,11,76,25,0,0
20,Wiethölter,0.1,1,0,10,0,0,0,0,0,0,0,0,11,2,25,0,0
21,.,0.0,0,0,1,0,0,0,0,0,0,0,0,11,4,25,0,0
22,Redaktion:,0.1,1,0,10,0,0,1,0,0,0,0,0,11,76,256,0,0
23,_Klaus,0.16666666666666666,0,0,6,0,0,0,0,0,0,0,0,11,71,26,0,0
24,Kamberger,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,11,2,26,0,0
25,.,0.0,0,0,1,0,0,0,0,0,0,0,0,4,183,300,0,0
26,~,0.0,0,0,1,0,0,0,0,0,0,0,0,3,2,300,0,0
27,.,0.0,0,0,1,0,0,0,0,0,0,0,0,6,2,300,0,0
28,\.,0.0,0,0,2,0,0,0,0,0,0,0,0,8,62,334,0,0
29,",",0.0,0,0,1,0,0,0,0,0,0,0,0,7,119,448,0,0
30,.,0.0,0,0,1,0,0,0,0,0,0,0,0,4,4,448,0,0
31,Fischer,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,11,119,22,0,0
32,Taschenbuch,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,11,119,26,0,0
33,Verlag,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,11,119,26,0,0
34,I,1.0,1,0,1,0,0,0,0,0,0,0,0,6,270,116,0,0
