,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Bruno,0.2,1,0,5,0,0,0,0,0,0,0,0,11,8,68,1,0
1,Hildenbrand,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,11,4,68,1,0
2,»Wenn,0.2,0,0,5,0,0,0,0,0,0,0,0,11,8,27,1,0
3,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,27,1,0
4,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,11,4,27,1,0
5,Hause,0.2,1,0,5,0,0,0,0,0,0,0,0,11,5,27,1,0
6,"bin,",0.0,0,0,4,0,0,0,0,0,0,0,0,11,5,27,1,0
7,will,0.0,0,0,4,0,0,0,0,0,0,0,0,11,4,27,1,0
8,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,11,4,27,1,0
9,"weg,",0.0,0,0,4,0,0,0,0,0,0,0,0,11,4,27,1,0
10,und,0.0,0,0,3,0,0,0,0,0,0,0,0,11,8,26,1,0
11,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,11,5,26,1,0
12,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,11,4,26,1,0
13,weg,0.0,0,0,3,0,0,0,0,0,0,0,0,11,4,26,1,0
14,"bin,",0.0,0,0,4,0,0,0,0,0,0,0,0,11,4,26,1,0
15,will,0.0,0,0,4,0,0,0,0,0,0,0,0,11,3,26,1,0
16,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,11,4,26,1,0
17,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,11,4,26,1,0
18,Hause.<<,0.125,1,0,8,0,0,0,0,0,0,0,0,11,4,26,1,0
19,Untersuchungen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,8,136,1,0
20,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,136,1,0
21,sozialen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,136,1,0
22,Organisation,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,136,1,0
23,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,136,1,0
24,"Handlung,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,136,1,0
25,Leiblichkeit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,136,1,0
26,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,136,1,0
27,Sprache,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,8,20,1,0
28,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,20,1,0
29,"Familienzusammenhängen""",0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,8,2,20,1,0
30,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,8,9,195,0,0
