,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Formen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,61,0,0
1,individualisierter,0.0,0,0,18,0,0,0,0,0,0,0,0,8,4,61,0,0
2,Lebensführung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,61,0,0
3,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,61,0,0
4,Frauen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,61,0,0
5,-,0.0,0,0,1,0,0,0,0,0,0,0,0,10,4,61,0,0
6,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,61,0,0
7,neues,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,61,0,0
8,Arrangement,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,61,0,0
9,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,5,24,0,0
10,Familie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,24,0,0
11,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,24,0,0
12,Beruf?,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,24,0,0
13,Hanns-Georg,0.18181818181818182,1,0,11,0,0,0,0,0,0,0,0,8,5,102,0,0
14,Brose,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,102,0,0
15,Monika,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,22,0,0
16,Wohlrab-Sahr,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,8,4,22,0,0
17,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,8,6,145,0,0
18,Einleitung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,7,145,0,0
19,In,0.5,1,0,2,0,0,0,0,0,0,0,0,8,6,173,0,0
20,jüngster,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,173,0,0
21,Zeit,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,173,0,0
22,"ist,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,173,0,0
23,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,173,0,0
24,allem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,173,0,0
25,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,173,0,0
26,Beck,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,173,0,0
27,(1983),0.0,0,0,6,4,0,0,0,0,0,0,0,8,5,173,0,0
28,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,173,0,0
29,Beck-Gernsheim,0.14285714285714285,1,0,14,0,0,0,0,0,0,0,0,8,4,173,0,0
30,(1983;,0.0,0,0,6,4,0,0,0,0,0,0,0,8,5,173,0,0
