,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Probleme,0.125,1,0,8,0,0,0,0,0,0,0,0,24,22,96,0,0
1,qualitativer,0.0,0,0,12,0,0,0,0,0,0,0,0,24,4,96,0,0
2,SoziaJf'orschung,0.125,1,0,16,0,0,0,0,0,0,0,0,24,24,121,0,0
3,Z,1.0,1,0,1,0,0,0,0,0,0,0,0,12,22,148,0,0
4,u,0.0,0,0,1,0,0,0,0,0,0,0,0,12,2,148,0,0
5,r,0.0,0,0,1,0,0,0,0,0,0,0,0,12,2,148,0,0
6,Entwicklungsgeschichteder,0.04,1,0,25,0,0,0,0,0,0,0,0,13,2,148,0,0
7,Objektiven,0.1,1,0,10,0,0,0,0,0,0,0,0,13,23,27,0,0
8,Hermeneutik,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,13,1,27,0,0
9,CampusVerlag,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,13,22,515,0,0
10,F,1.0,1,0,1,0,0,0,0,0,0,0,0,13,22,27,0,0
11,r,0.0,0,0,1,0,0,0,0,0,0,0,0,13,5,27,0,0
12,m,0.0,0,0,1,0,0,0,0,0,0,0,0,13,5,27,0,0
13,/,0.0,0,0,1,0,1,0,0,0,0,0,0,13,5,27,0,0
14,N,1.0,1,0,1,0,0,0,0,0,0,0,0,13,5,27,0,0
15,e,0.0,0,0,1,0,0,0,0,0,0,0,0,13,5,27,0,0
16,w,0.0,0,0,1,0,0,0,0,0,0,0,0,13,5,27,0,0
17,York,0.25,1,0,4,0,0,0,0,0,0,0,0,13,1,27,0,0
