,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Kerstin,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,57,40,0,0
1,Nagler/,0.14285714285714285,1,0,7,0,1,0,0,0,0,0,0,9,95,40,0,0
2,Jo,0.5,1,0,2,0,0,0,0,0,0,0,0,9,134,40,0,0
3,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,7,40,0,0
4,Kontaktanzeigen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,57,71,0,0
5,kennen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,57,24,0,0
6,will,0.0,0,0,4,0,0,0,0,0,0,0,0,9,9,24,0,0
7,-,0.0,0,0,1,0,0,0,0,0,0,0,0,9,137,71,0,0
8,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,7,71,0,0
9,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,8,71,0,0
10,Suche,0.2,1,0,5,0,0,0,0,0,0,0,0,9,9,71,0,0
11,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,9,9,71,0,0
12,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,9,71,0,0
13,"anderen,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,8,71,0,0
14,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,315,71,0,0
15,man,0.0,0,0,3,0,0,0,0,0,0,0,0,9,337,71,0,0
16,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,8,71,0,0
17,Ne,0.5,1,0,2,0,0,0,0,0,0,0,0,8,183,137,1,0
18,Zweierbeziehung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,7,137,1,0
19,brauch,0.0,0,0,6,0,0,0,0,0,0,0,0,8,16,137,1,0
20,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,9,137,1,0
21,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,8,137,0,0
22,nicht.,0.0,0,0,6,0,0,0,0,0,0,0,0,8,183,18,1,0
23,Vielleicht,0.1,1,0,10,0,0,0,0,0,0,0,0,8,12,18,1,0
24,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,14,18,1,0
25,paar,0.0,0,0,4,0,0,0,0,0,0,0,0,8,7,18,1,0
26,"Typen,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,9,18,1,0
27,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,183,18,1,0
28,mich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,9,18,1,0
29,ganz,0.0,0,0,4,0,0,0,0,0,0,0,0,8,9,18,1,0
30,gut,0.0,0,0,3,0,0,0,0,0,0,0,0,8,8,18,1,0
31,"verstehe,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,8,18,1,0
32,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,11,18,1,0
33,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,183,18,1,0
34,ab,0.0,0,0,2,0,0,0,0,0,0,0,0,8,8,18,1,0
35,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,7,18,1,0
36,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,6,18,0,0
37,mal,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,18,1,0
38,schlafen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,8,18,1,0
39,kann.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,11,18,1,0
40,(5.,0.0,0,0,3,1,0,0,0,0,0,0,0,9,183,18,0,0
41,"Merian,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,6,18,0,0
42,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,7,18,1,0
43,Tod,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,10,18,1,0
44,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,18,1,0
45,Märchenprinzen),0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,6,18,1,0
46,Moment,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,354,137,1,0
47,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,344,18,1,0
48,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,10,18,1,0
49,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,345,18,1,0
50,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,9,18,1,0
51,Du,0.5,1,0,2,0,0,0,0,0,0,0,0,8,183,199,0,0
52,bist,0.0,0,0,4,0,0,0,0,0,0,0,0,8,6,199,1,0
53,zeitlebens,0.0,0,0,10,0,0,0,0,0,0,0,0,8,9,199,1,0
54,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,184,18,1,0
55,du,0.0,0,0,2,0,0,0,0,0,0,0,0,8,6,18,1,0
56,dir,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,18,1,0
57,vertraut,0.0,0,0,8,0,0,0,0,0,0,0,0,8,9,18,1,0
58,(A.,0.3333333333333333,0,0,3,0,0,0,0,0,0,0,0,8,183,18,1,0
59,de,0.0,0,0,2,0,0,0,0,0,0,0,0,8,8,18,1,0
60,"5aint-Exupery,",0.07142857142857142,0,0,14,1,0,0,0,0,0,0,0,8,7,18,1,0
61,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,275,199,1,0
62,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,8,199,1,0
63,"verantwortlich,",0.0,0,0,15,0,0,0,0,0,0,0,0,8,6,199,1,0
64,gemacht,0.0,0,0,7,0,0,0,0,0,0,0,0,8,283,18,1,0
65,hast.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,11,18,1,0
66,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,289,18,1,0
67,kleine,0.0,0,0,6,0,0,0,0,0,0,0,0,8,8,18,1,0
