,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Peter,0.2,1,0,5,0,0,0,0,0,0,0,0,14,15,40,0,0
1,M.,0.5,1,0,2,0,0,0,0,0,0,0,0,14,3,40,0,0
2,Wiedemann,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,14,2,40,0,0
3,Erzählte,0.125,1,0,8,0,0,0,0,0,0,0,0,36,16,115,0,0
4,Wirklichkeit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,35,4,115,0,0
5,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,14,16,154,0,0
6,Theorie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,14,2,154,0,0
7,und,0.0,0,0,3,0,0,0,0,0,0,0,0,14,2,154,0,0
8,Auswertung,0.1,1,0,10,0,0,0,0,0,0,0,0,14,3,154,0,0
9,narrativer,0.0,0,0,10,0,0,0,0,0,0,0,0,14,15,30,0,0
10,Interviews,0.1,1,0,10,0,0,0,0,0,0,0,0,14,3,30,0,0
11,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,14,17,522,0,0
12,Verlags,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,14,2,522,0,0
13,Union,0.2,1,0,5,0,0,0,0,0,0,0,0,14,2,522,0,0
14,Weinheim,0.125,1,0,8,0,0,0,0,0,0,0,0,14,16,31,0,0
15,und,0.0,0,0,3,0,0,0,0,0,0,0,0,14,2,31,0,0
16,München,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,14,4,31,0,0
17,1986,0.0,0,0,4,4,0,0,0,0,0,1,1,14,5,31,0,0
