,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,T,1.0,1,0,1,0,0,0,0,0,0,0,0,9,89,33,0,0
1,H,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,33,0,0
2,O,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,33,0,0
3,M,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,33,0,0
4,A,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,33,0,0
5,S,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,33,0,0
6,LEITHÄUSER,1.0,1,0,10,0,0,0,0,0,0,0,0,9,3,33,0,0
7,Individuum,0.1,1,0,10,0,0,0,0,0,0,0,0,12,56,62,0,0
8,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,1,62,0,0
9,Weltanschauung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,12,2,62,0,0
10,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,38,78,0,0
11,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,78,0,0
12,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,78,0,0
13,psychoanalytischen,0.0,0,0,18,0,0,0,0,0,0,0,0,9,2,78,0,0
14,Massenpsychologie,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,2,78,0,0
15,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,9,176,0,0
16,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,176,0,0
17,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,176,0,0
18,unbequeme,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,176,0,0
19,Wissenschaft.,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,176,0,0
20,Sie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,176,0,0
21,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,176,0,0
22,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,176,0,0
23,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,176,0,0
24,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,176,0,0
25,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,9,20,0,0
26,langwieriges,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
27,therapeutisches,0.0,0,0,15,0,0,0,0,0,0,0,0,9,2,20,0,0
28,Verfahren,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
29,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
30,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
31,zuweilen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
32,zweifel-,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
33,haften,0.0,0,0,6,0,0,0,0,0,0,0,0,9,9,20,0,0
34,"Ausgang,",0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,20,0,0
35,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
36,"Verfahren,",0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
37,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
38,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
39,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
40,Leiden,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,20,0,0
41,"heilt,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,20,0,0
42,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,20,0,0
43,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,9,19,0,0
44,Leiden,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,19,0,0
45,zufügt.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,19,0,0
46,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,19,0,0
47,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
48,ebenso,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,19,0,0
49,unbequem,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,19,0,0
50,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
51,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,19,0,0
52,Wis-,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,19,0,0
53,senschaft,0.0,0,0,9,0,0,0,0,0,0,0,0,9,9,20,0,0
54,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
