,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,194,0.0,0,0,3,3,0,0,0,0,0,0,1,8,41,25,0,0
1,Karen,0.2,1,0,5,0,0,0,0,0,0,0,0,9,41,51,1,0
2,Marlange,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,51,1,0
3,&,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,51,0,0
4,Peter,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,51,1,0
5,Vorderer,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,51,1,0
6,FIKTIONALE,1.0,1,0,10,0,0,0,0,0,0,0,0,10,79,98,0,1
7,TEXTE:,0.8333333333333334,1,0,6,0,0,1,0,0,0,0,0,10,3,98,0,1
8,EVASIV-AFFIRMATIVE,0.9444444444444444,1,0,18,0,0,0,0,0,0,0,0,10,4,98,0,1
9,TEXTANGEBOTE,1.0,1,0,12,0,0,0,0,0,0,0,0,10,46,22,0,1
10,UND,1.0,1,0,3,0,0,0,0,0,0,0,0,10,3,22,0,1
11,IHRE,1.0,1,0,4,0,0,0,0,0,0,0,0,10,3,22,0,1
12,GRATlFIKATlONSEFFEKTE,0.9047619047619048,1,0,21,0,0,0,0,0,0,0,0,10,3,22,0,1
13,1,0.0,0,0,1,1,0,0,0,0,0,0,1,6,1,22,0,1
14,O.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,42,148,0,0
15,Problemstellung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,9,9,148,0,1
16,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,42,171,0,0
17,dichotomisierende,0.0,0,0,17,0,0,0,0,0,0,0,0,8,6,171,0,0
18,Einteilung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,7,171,0,0
19,ästhetischer,0.0,0,0,12,0,0,0,0,0,0,0,0,8,6,171,0,0
20,Produkte,0.125,1,0,8,0,0,0,0,0,0,0,0,8,6,171,0,0
21,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,6,171,0,0
22,Kitsch,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,7,171,0,0
23,versus,0.0,0,0,6,0,0,0,0,0,0,0,0,8,6,171,0,0
24,Kunst,0.2,1,0,5,0,0,0,0,0,0,0,0,8,42,20,0,0
25,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
26,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
27,ästhetisch,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
28,wertvoll,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
29,versus,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
30,ästhetisch,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
31,wertlos,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
32,wurde,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
33,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
34,wieder,0.0,0,0,6,0,0,0,0,0,0,0,0,8,42,20,0,0
35,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,4,20,0,0
36,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
37,dabei,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
38,lange,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
39,unumstritten,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
40,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,4,20,0,0
41,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
42,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
43,Bereich,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
44,literarischer,0.0,0,0,13,0,0,0,0,0,0,0,0,8,2,20,0,0
45,Texte,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
46,beansprucht.,0.0,0,0,12,0,0,0,0,0,0,0,0,8,42,20,0,0
47,Dort,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
48,war,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
49,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
50,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
51,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
52,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
53,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
54,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
55,am,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
56,durchaus,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
57,üblichen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
58,Begriffs­,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
59,paar,0.0,0,0,4,0,0,0,0,0,0,0,0,8,42,20,0,0
60,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
61,",hohen'",0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
62,versus,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
63,",niederen'",0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
64,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
65,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
66,",Trivial-'literatur",0.05263157894736842,0,0,19,0,0,0,0,0,0,0,0,8,4,20,0,0
67,ablesbar,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
