,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,B,1.0,1,0,1,0,0,0,0,0,0,0,0,9,132,29,0,0
1,I,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,29,0,0
2,R,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,29,0,0
3,G,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,29,0,0
4,I,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,29,0,0
5,T,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,29,0,0
6,V,1.0,1,0,1,0,0,0,0,0,0,0,0,9,3,29,0,0
7,O,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,29,0,0
8,L,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,29,0,0
9,M,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,29,0,0
10,E,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,29,0,0
11,R,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,29,0,0
12,G,1.0,1,0,1,0,0,0,0,0,0,0,0,9,1,29,0,0
13,Verkehrsformen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,12,60,58,0,0
14,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,1,58,0,0
15,Interaktionsformen-,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,12,3,58,0,0
16,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,12,42,28,0,0
17,sozialpsychologischerAnsatz,0.037037037037037035,0,0,27,0,0,0,0,0,0,0,0,12,2,28,0,0
18,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,12,2,28,0,0
19,Vermittlung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,2,28,0,0
20,von,0.0,0,0,3,0,0,0,0,0,0,0,0,12,100,28,0,0
21,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,2,28,0,0
22,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,2,28,0,0
23,Sozialisation,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,3,28,0,0
24,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,38,150,0,0
25,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,150,0,0
26,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,150,0,0
27,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,150,0,0
28,Verhältnis,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,150,0,0
29,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,150,0,0
30,Marxismus,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,150,0,0
31,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,150,0,0
32,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,3,150,0,0
33,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,9,38,19,0,0
34,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
35,Alfred,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
36,Lorenzers,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,19,0,0
37,theoretischer,0.0,0,0,13,0,0,0,0,0,0,0,0,9,4,19,0,0
38,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
39,wesentliche,0.0,0,0,11,0,0,0,0,0,0,0,0,9,4,19,0,0
40,Anstöße,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,19,0,0
41,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,38,20,0,0
42,Perspektiven,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
43,"gewonnen,",0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
44,verhärtete,0.0,0,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
45,Positionen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
46,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
47,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
48,gesellschafts-,0.0,0,0,14,0,0,0,0,0,0,0,0,9,2,20,0,0
49,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,38,20,0,0
50,bewußtseinskritischen,0.0,0,0,21,0,0,0,0,0,0,0,0,9,4,20,0,0
51,Auseinandersetzung,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,4,20,0,0
52,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,20,0,0
53,überdenken.,0.0,0,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
54,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
55,1972erschienene,0.0,0,0,15,4,0,0,0,0,0,0,0,9,39,20,0,0
56,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
57,»Entwurf,0.125,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
58,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
59,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
60,materialistischen,0.0,0,0,17,0,0,0,0,0,0,0,0,9,2,20,0,0
61,Sozialisa-,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
62,tionstheoriex,0.0,0,0,13,0,0,0,0,0,0,0,0,9,38,20,0,0
63,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
64,hier,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
65,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
66,"jenen,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
67,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
68,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
69,-,0.0,0,0,1,0,0,0,0,0,0,0,0,7,1,20,0,0
70,aufgrund,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
