,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,226,0.0,0,0,3,3,0,0,0,0,0,0,1,10,41,26,0,0
1,Peter,0.2,1,0,5,0,0,0,0,0,0,0,0,8,40,50,1,0
2,Vorderer,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,50,1,0
3,PERSPEKTIVEN,1.0,1,0,12,0,0,0,0,0,0,0,0,10,71,86,0,1
4,FÜR,1.0,1,0,3,0,0,0,0,0,0,0,0,10,3,86,0,1
5,EINE,1.0,1,0,4,0,0,0,0,0,0,0,0,10,2,86,0,1
6,IDEOLOGIEKRITISCHE,1.0,1,0,18,0,0,0,0,0,0,0,0,10,3,86,0,1
7,KONZEPTION,1.0,1,0,10,0,0,0,0,0,0,0,0,10,89,24,0,1
8,VON,1.0,1,0,3,0,0,0,0,0,0,0,0,10,3,24,0,1
9,WISSENSPSYCHOLOGIE,1.0,1,0,18,0,0,0,0,0,0,0,0,10,3,24,0,1
10,O.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,41,134,0,0
11,Problemstellung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,9,9,134,0,1
12,Als,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,41,157,0,0
13,gemeinsamer,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,157,0,0
14,Ausgangs-,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,157,0,0
15,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,157,0,0
16,Bezugspunkt,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,157,0,0
17,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,157,0,0
18,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,157,0,0
19,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,157,0,0
20,Band,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,157,0,0
21,zusammen­,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,157,0,0
22,gestellten,0.0,0,0,10,0,0,0,0,0,0,0,0,8,41,20,0,0
23,Arbeiten,0.125,1,0,8,0,0,0,0,0,0,0,0,8,5,20,0,0
24,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
25,"Giinther,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,20,0,0
26,"Sowarka,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,5,20,0,0
27,Sommer,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
28,&,0.0,0,0,1,0,0,0,0,0,0,0,0,8,4,20,0,0
29,Vorderer,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
30,sowie,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
31,Mar­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
32,lange,0.0,0,0,5,0,0,0,0,0,0,0,0,8,41,20,0,0
33,&,0.0,0,0,1,0,0,0,0,0,0,0,0,8,4,20,0,0
34,Vorderer,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
35,dienten,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
36,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
37,drei,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
38,Begriffe,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
39,Text-,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,20,1,0
40,bzw.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
41,"Inhaltsanalyse,",0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,2,20,1,0
42,Ideolo­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,1,0
43,giekritik,0.0,0,0,9,0,0,0,0,0,0,0,0,8,40,20,1,0
44,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
45,Kognition,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,1,0
46,bzw.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
47,Wissen.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,1,0
48,In,0.5,1,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
49,jedem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
50,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
51,Beiträge,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
52,wurden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
53,inhalts­,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
54,analytische,0.0,0,0,11,0,0,0,0,0,0,0,0,8,41,20,0,0
55,Methoden,0.125,1,0,8,0,0,0,0,0,0,0,0,8,6,20,0,0
56,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
57,ideologiekritischen,0.0,0,0,19,0,0,0,0,0,0,0,0,8,5,20,0,0
58,Beschreibung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,5,20,0,0
59,spezifischer,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,20,0,0
60,(in,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
61,irgendeiner,0.0,0,0,11,0,0,0,0,0,0,0,0,8,41,20,0,0
62,Form,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
63,ideologischer),0.0,0,0,14,0,0,0,0,0,0,0,0,8,4,20,0,0
64,Kognitionen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,20,0,0
65,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
66,Wissensinhalte,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,20,0,0
67,eingesetzt,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
68,bzw.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,41,20,0,0
69,vorgestellt.,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
70,Zum,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,41,253,0,0
71,AbscWuß,0.2857142857142857,1,0,7,0,0,0,0,0,0,0,0,8,4,253,0,0
72,dieses,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,253,0,0
73,Bandes,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,253,0,0
74,sollen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,253,0,0
75,deshalb,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,253,0,0
76,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,253,0,0
77,einmal,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,253,0,0
78,diese,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,253,0,0
79,drei,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,253,0,0
80,Begriffe,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,253,0,0
81,(und,0.0,0,0,4,0,0,0,0,0,0,0,0,8,41,20,0,0
82,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
83,damit,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
84,gemeinten,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,20,0,0
85,Konzepte),0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,20,0,0
86,aufgegriffen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,20,0,0
87,"werden,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
88,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
89,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
90,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
91,ftir,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
92,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,41,20,0,0
93,ideologiekritische,0.0,0,0,18,0,0,0,0,0,0,0,0,8,5,20,0,0
94,Ausrichtung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,6,20,0,0
95,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
96,Wissenspsychologie,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,4,20,1,0
97,nutzbar,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
98,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
99,ma­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
100,chen.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,41,20,0,0
101,Daftir,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,41,20,0,0
102,lassen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
103,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
104,m.,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
105,E.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
106,drei,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
107,Aspekte,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
108,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
109,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
110,genannten,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
111,Konzepten,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
112,"ableiten,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
113,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,41,20,0,0
114,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
115,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
116,konstitu,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
117,tiv,0.0,0,0,3,0,0,0,0,0,0,0,0,8,0,20,0,0
118,ftir,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
119,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
120,derartige,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,20,0,0
121,Wissenspsychologie,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,4,20,0,0
122,ansetze:,0.0,0,0,8,0,0,1,0,0,0,0,0,8,4,20,0,0
123,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,8,5,20,0,0
124,Den,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
125,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,41,20,0,0
126,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
127,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
128,Untersuchungsgegenstand,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,8,4,20,0,0
129,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
130,Textanalysen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
131,ergebenden,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
132,Inhalts­,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,20,1,0
133,"aspekt,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,40,20,1,0
134,d.h.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
135,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
136,Frage,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
137,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
138,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
139,Gegenstand,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
140,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
141,derartigen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
142,Wissenspsycho­,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,20,0,0
143,logie.,0.0,0,0,6,0,0,0,0,0,0,0,0,8,41,20,0,0
144,2.,0.0,0,0,2,1,0,0,0,0,0,0,1,8,4,20,0,0
145,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
146,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
147,Zusammenhang,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
148,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
149,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
150,Gegenstand,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
151,"(Wissen,",0.125,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
152,Kognitionen),0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,20,0,0
153,stehende,0.0,0,0,8,0,0,0,0,0,0,0,0,8,41,20,0,0
154,Frage,0.2,1,0,5,0,0,0,0,0,0,0,0,8,5,20,0,0
155,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
156,dessen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
157,Bedingtheit,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,5,20,0,0
158,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
159,"Folgen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,5,20,0,0
160,dll.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
161,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
162,Genese-,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,1,0
163,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
164,Wirkungsaspekt.,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,41,20,1,0
165,Und,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
166,scWießlich,0.1,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
167,3.,0.0,0,0,2,1,0,0,0,0,0,0,1,8,3,20,0,0
168,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
169,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
170,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
171,Intention,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
172,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
173,Ideologiekritik,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,3,20,0,0
174,resultierenden,0.0,0,0,14,0,0,0,0,0,0,0,0,8,41,20,0,0
175,"Bewertungsaspekt,",0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,3,20,1,0
176,dll.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
177,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
178,Möglichkeit,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,20,0,0
179,präskriptiver,0.0,0,0,13,0,0,0,0,0,0,0,0,8,2,20,0,0
180,Aussagen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
181,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,41,20,0,0
182,derartige,0.0,0,0,9,0,0,0,0,0,0,0,0,8,5,20,0,0
183,Kognitionen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,5,20,0,0
184,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,20,0,0
185,Wissensinhalte.,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,4,20,0,0
186,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
187,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
188,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
189,Art,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
190,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
191,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
192,Aspekten,0.125,1,0,8,0,0,0,0,0,0,0,0,8,41,20,0,0
193,"Inhalt,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,5,20,0,0
194,Genese,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
195,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
196,Wirkung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
197,sowie,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
198,Bewertung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,20,0,0
199,orientierte,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
200,Wissens­,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
201,psychologie,0.0,0,0,11,0,0,0,0,0,0,0,0,8,41,20,0,0
202,will,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
203,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
204,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
205,folgenden,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
206,kontrastiv,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
207,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
208,derzeit,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
209,aktuellen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
210,Konzeption,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
211,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,41,20,0,0
212,Wissenspsychologie,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,4,20,0,0
213,"gegenüberstellen,",0.0,0,0,17,0,0,0,0,0,0,0,0,8,3,20,0,0
214,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
215,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
216,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
217,"formalistisch,",0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,20,0,0
218,funktiona­,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
219,listisch,0.0,0,0,8,0,0,0,0,0,0,0,0,8,41,20,0,0
220,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
221,deskriptivistisch,0.0,0,0,17,0,0,0,0,0,0,0,0,8,3,20,0,0
222,kritisieren,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
223,werde.,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
224,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,41,468,0,0
225,Argumentation,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,4,468,0,0
226,setzt,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,468,0,0
227,dabei,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,468,0,0
228,zunächst,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,468,0,0
229,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,468,0,0
230,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,468,0,0
231,Skizzierung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,468,0,0
232,aktueller,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,468,0,0
233,wis­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,468,0,0
234,senspsychologischer,0.0,0,0,19,0,0,0,0,0,0,0,0,8,41,17,0,0
235,Forschungsschwerpunkte,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,8,4,17,0,0
236,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,17,0,0
237,"(1.),",0.0,0,0,5,1,0,0,0,0,0,0,0,7,4,17,0,0
238,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,17,0,0
239,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,17,0,0
240,thesenhaften,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,17,0,0
241,Charakter,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,41,17,0,0
242,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,0,0
