,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Jiirgen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,43,72,0,0
1,Straub,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,13,3,72,0,0
2,Historisch-psychologische,0.04,1,0,25,0,0,0,0,0,0,0,0,21,43,147,0,0
3,Biographieforschung,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,21,42,175,0,0
4,"Theoretische,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,13,42,224,0,0
5,methodologische,0.0,0,0,15,0,0,0,0,0,0,0,0,13,2,224,0,0
6,und,0.0,0,0,3,0,0,0,0,0,0,0,0,13,3,224,0,0
7,methodische,0.0,0,0,11,0,0,0,0,0,0,0,0,13,3,224,0,0
8,Argumentationen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,13,42,26,0,0
9,in,0.0,0,0,2,0,0,0,0,0,0,0,0,13,3,26,0,0
10,systematischer,0.0,0,0,14,0,0,0,0,0,0,0,0,13,3,26,0,0
11,Absicht,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,2,26,0,0
12,Mit,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,13,42,266,0,0
13,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,13,3,266,0,0
14,Vorwort,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,3,266,0,0
15,von,0.0,0,0,3,0,0,0,0,0,0,0,0,13,3,266,0,0
16,Heiner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,13,3,266,0,0
17,Legewie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,3,266,0,0
18,Roland,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,13,40,548,0,0
19,Asanger,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,3,548,0,0
20,Verlag,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,13,3,548,0,0
21,Heidelberg,0.1,1,0,10,0,0,0,0,0,0,0,0,13,3,548,0,0
22,1989,0.0,0,0,4,4,0,0,0,0,0,1,1,13,4,548,0,0
