,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Heinz,0.2,1,0,5,0,0,0,0,0,0,0,0,9,55,39,1,1
1,Bude,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,39,1,1
2,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,11,54,64,0,1
3,sagt,0.0,0,0,4,0,0,0,0,0,0,0,0,11,3,64,0,1
4,der,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,64,0,1
5,Anfang,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,11,2,64,0,1
6,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,11,2,64,0,1
7,offenen,0.0,0,0,7,0,0,0,0,0,0,0,0,11,2,64,0,1
8,Interviews,0.1,1,0,10,0,0,0,0,0,0,0,0,11,2,64,0,1
9,über,0.0,0,0,4,0,0,0,0,0,0,0,0,11,2,64,0,1
10,die,0.0,0,0,3,0,0,0,0,0,0,0,0,11,2,64,0,1
11,Lebenskonstruktion,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,11,55,24,0,1
12,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,11,1,24,0,1
13,Rheumakranken?,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,11,2,24,0,1
14,Aus,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,55,126,0,0
15,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,126,0,0
16,Projekt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,126,0,0
17,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,126,0,0
18,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,126,0,0
19,psychosomatische,0.0,0,0,16,0,0,0,0,0,0,0,0,9,3,126,0,0
20,Verfaßtheit,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,1,126,0,0
21,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,126,0,0
22,Patienten,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,126,0,0
23,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,55,20,0,0
24,chronischen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
25,Krankheiten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
26,liegt,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
27,mir,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
28,folgendes,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
29,Material,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
30,vor.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
31,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,10,3,20,0,0
32,handelt,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
33,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,55,20,0,0
34,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
35,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
36,Anfang,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
37,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
38,Transkription,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,3,20,0,0
