,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Uwe,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,55,36,1,1
1,Flick,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,36,1,1
2,Fallanalysen:,0.07692307692307693,1,0,13,0,0,1,0,0,0,0,0,11,55,57,0,1
3,Geltungsbegründungdurch,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,11,2,57,0,1
4,Systematische,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,11,2,57,0,1
5,Perspektiven-Triangulation,0.07692307692307693,1,0,26,0,0,0,0,0,0,0,0,11,55,24,0,1
6,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,9,55,101,0,1
7,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,4,101,0,1
8,Bedeutung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,101,0,1
9,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,101,0,1
10,Falls,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,101,0,1
11,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,101,0,1
12,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,101,0,1
13,Qualitativen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,101,0,1
14,Sozialforschung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,1,101,0,1
15,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,55,122,0,0
16,Fall,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,122,0,0
17,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,122,0,0
18,wieder,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,122,0,0
19,salonfähig,0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,122,0,0
20,geworden.,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,122,0,0
21,Nicht,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,122,0,0
22,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,122,0,0
23,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,122,0,0
24,"Soziologie,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,122,0,0
25,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,122,0,0
26,Psychologen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,55,20,0,0
27,gewinnen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
28,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
29,Fall,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
30,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
31,Erkenntnisinstrument,0.05,1,0,20,0,0,0,0,0,0,0,0,9,2,20,0,0
32,zurück.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
33,So,0.5,1,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
34,stel-,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
35,len,0.0,0,0,3,0,0,0,0,0,0,0,0,9,55,20,0,0
36,Lüders,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
37,&,0.0,0,0,1,0,0,0,0,0,0,0,0,9,3,20,0,0
38,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
39,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
40,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
41,Bestandsaufnahme,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,3,20,0,0
42,(hauptsächlich,0.0,0,0,14,0,0,0,0,0,0,0,0,9,2,20,0,0
43,sozio-,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
44,logischer),0.0,0,0,10,0,0,0,0,0,0,0,0,9,55,20,0,0
45,qualitativer,0.0,0,0,12,0,0,0,0,0,0,0,0,9,5,20,0,0
46,Forschungspraxis,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,5,20,0,0
47,"(1986,",0.0,0,0,6,4,0,0,0,0,0,0,0,9,4,20,0,0
48,S.97),0.2,1,0,5,2,0,0,0,0,0,0,0,9,4,20,0,0
49,fest:,0.0,0,0,5,0,0,1,0,0,0,0,0,9,5,20,0,0
50,",,Qualitative",0.07692307692307693,0,0,13,0,0,0,0,0,0,0,0,9,5,20,0,0
51,Analysen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,55,19,0,0
52,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,19,0,0
53,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
54,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
55,Bank,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,19,0,0
56,Fallanalysen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,19,0,0
57,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
58,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
59,eigenen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,19,0,0
60,Verständnis,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,19,0,0
61,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,9,55,20,0,0
62,müssen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
63,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
64,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
65,"sein"",",0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,20,0,0
66,während,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,20,0,0
67,Grawe,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
68,"(1988,",0.0,0,0,6,4,0,0,0,0,0,0,0,9,3,20,0,0
69,S,1.0,1,0,1,0,0,0,0,0,0,0,0,9,3,20,0,0
70,.,0.0,0,0,1,0,0,0,0,0,0,0,0,9,0,20,0,0
71,l,0.0,0,0,1,0,0,0,0,0,0,0,0,9,0,20,0,0
72,),0.0,0,0,1,0,0,0,0,0,0,0,0,9,0,20,0,0
73,fordert:,0.0,0,0,8,0,0,1,0,0,0,0,0,9,4,20,0,0
74,",,Zurück",0.125,0,0,8,0,0,0,0,0,0,0,0,9,4,20,0,0
