,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Jülgen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,51,38,1,1
1,Straub,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,38,1,1
2,Interpretative,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,11,52,61,0,1
3,Forschung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,11,1,61,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,11,1,61,0,1
5,komparative,0.0,0,0,11,0,0,0,0,0,0,0,0,11,2,61,0,1
6,Analyse:,0.125,1,0,8,0,0,1,0,0,0,0,0,11,1,61,0,1
7,Theoretische,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,11,52,24,0,1
8,und,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,24,0,1
9,methodologische,0.0,0,0,15,0,0,0,0,0,0,0,0,11,4,24,0,1
10,Aspekte,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,11,3,24,0,1
11,psychologischer,0.0,0,0,15,0,0,0,0,0,0,0,0,11,4,24,0,1
12,Erkenntnisbildung,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,11,52,24,0,1
13,Vorbemerkungen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,51,113,0,0
14,",,Komparative",0.07692307692307693,0,0,13,0,0,0,0,0,0,0,0,9,52,134,0,0
15,"Kasuistik""",0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,134,0,0
16,verstehe,0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,134,0,0
17,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,134,0,0
18,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,134,0,0
19,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,134,0,0
20,relativ,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,134,0,0
21,allgemeinen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,4,134,0,0
22,Per-,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,134,0,0
23,spektive,0.0,0,0,8,0,0,0,0,0,0,0,0,9,52,20,0,0
24,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
25,Konzept,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
26,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
27,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
28,",,Strategieu",0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
29,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
30,spezifischen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
31,Typs,0.25,1,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
32,psycholo-,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
33,gischer,0.0,0,0,7,0,0,0,0,0,0,0,0,9,52,20,0,0
34,Forschung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,20,0,0
35,(vgl.,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
36,z.,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,20,0,0
37,B.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
38,Jüttemann,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,20,0,0
39,"1981,",0.0,0,0,5,4,0,0,0,0,0,0,1,9,5,20,0,0
40,1984).,0.0,0,0,6,4,0,0,0,0,0,0,0,9,3,20,0,0
41,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
42,Charakteristik,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,4,20,0,0
43,dieses,0.0,0,0,6,0,0,0,0,0,0,0,0,9,52,20,0,0
44,Typs,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
45,psychologischer,0.0,0,0,15,0,0,0,0,0,0,0,0,9,3,20,0,0
46,Forschung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
47,läßt,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
48,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
49,m.,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
50,E.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
51,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
52,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
53,Rekurs,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
54,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
55,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,52,20,0,0
56,hermeneutische,0.0,0,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
57,Problematik,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,20,1,1
58,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,1,1
59,Sinnverstehens,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,3,20,1,1
60,bestimmen,0.0,0,0,9,0,0,0,0,0,0,0,0,9,4,20,0,0
61,(vgl.,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,20,0,0
62,z.,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
63,B.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
64,Habermas,0.125,1,0,8,0,0,0,0,0,0,0,0,9,52,20,0,0
65,"1967,",0.0,0,0,5,4,0,0,0,0,0,0,1,9,3,20,0,0
66,"1981a,",0.0,0,0,6,4,0,0,0,0,0,0,0,9,2,20,0,0
67,S.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
68,152ff.).,0.0,0,0,8,3,0,0,0,0,0,0,0,9,1,20,0,0
69,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
70,Problematik,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
71,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
72,",,Interpretation",0.0625,0,0,16,0,0,0,0,0,0,0,0,9,4,20,0,0
73,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
74,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,52,19,0,0
75,Wissenschaften,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,2,19,0,0
76,vom,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
77,"Menschen""",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,19,0,0
78,(Taylor,0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,9,4,19,0,0
79,1975),0.0,0,0,5,4,0,0,0,0,0,0,0,9,3,19,0,0
80,bildet,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,19,0,0
81,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
82,Dreh-,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
83,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
84,Angelpunkt,0.1,1,0,10,0,0,0,0,0,0,0,0,9,52,19,0,0
85,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
86,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
87,Klärung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,19,0,0
88,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
89,"Grundlagen,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,19,0,0
90,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
91,methodologisch-metho-,0.0,0,0,21,0,0,0,0,0,0,0,0,9,3,19,0,0
92,dischen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,52,19,0,0
93,Prinzipien,0.1,1,0,10,0,0,0,0,0,0,0,0,9,5,19,0,0
94,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
95,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
96,Verfahrensweisen,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,5,19,0,0
97,jener,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,19,0,0
98,wissenschaftlichen,0.0,0,0,18,0,0,0,0,0,0,0,0,9,7,19,0,0
99,"Psychologie,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,52,20,0,0
100,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
101,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,20,0,0
102,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
103,letzten,0.0,0,0,7,0,0,0,0,0,0,0,0,9,5,20,0,0
104,Jahren,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,20,0,0
105,eben,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
106,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
107,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
108,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
109,Titel,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
110,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
111,",,komparativen",0.0,0,0,14,0,0,0,0,0,0,0,0,9,52,19,0,0
112,"Kasuistik""",0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,19,0,0
113,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
114,spezifische,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,19,0,0
115,Ausformung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,19,0,0
116,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
117,Konkretisie-,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,4,19,0,0
118,rung,0.0,0,0,4,0,0,0,0,0,0,0,0,9,52,19,0,0
119,erfahren,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,19,0,0
120,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
121,(Jüttemann,0.1,0,0,10,0,0,0,0,0,0,0,0,9,3,19,0,0
122,"1981,1984).",0.0,0,0,11,8,0,0,0,0,0,0,0,9,3,19,0,0
123,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,9,67,20,0,0
124,folgenden,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
125,werde,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
126,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
127,einige,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
128,klärungsbedürftige,0.0,0,0,18,0,0,0,0,0,0,0,0,9,2,20,0,0
129,Gesichtspunkte,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
130,auf-,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
131,"greifen,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,52,20,0,0
132,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
133,allesamt,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
134,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
135,engem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
136,Zusammenhang,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
137,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
138,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
139,Konzept,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
140,bzw.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
141,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
142,empirischen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,52,20,0,0
143,Methodik,0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,20,0,0
144,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,20,0,0
145,komparativen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,5,20,1,1
146,Analyse,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,20,1,1
147,stehen.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,7,20,0,0
148,Trotz,0.2,1,0,5,0,0,0,0,0,0,0,0,9,6,20,0,0
149,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,20,0,0
