,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Peter,0.2,1,0,5,0,0,0,0,0,0,0,0,9,61,45,1,1
1,M.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,45,1,1
2,Wiedemann,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,45,1,1
3,Komparative,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,11,62,69,0,1
4,Kasuistik,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,11,4,69,0,1
5,im,0.0,0,0,2,0,0,0,0,0,0,0,0,11,5,69,0,1
6,Vergleich,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,11,4,69,0,1
7,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,11,5,69,0,1
8,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,11,5,69,0,1
9,Ansatz,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,11,4,69,0,1
10,der,0.0,0,0,3,0,0,0,0,0,0,0,0,11,5,69,0,1
11,Grounded,0.125,1,0,8,0,0,0,0,0,0,0,0,11,61,24,0,1
12,Theory,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,11,1,24,0,1
13,1.Einleitung,0.08333333333333333,0,0,12,1,0,0,0,0,0,0,0,9,62,110,0,0
14,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,61,131,0,0
15,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,131,0,0
16,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,131,0,0
17,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,131,0,0
18,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,131,0,0
19,Krisendiskussion,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,2,131,0,0
20,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,131,0,0
21,jeher,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,131,0,0
22,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,131,0,0
23,Hintergrund,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,131,0,0
24,wis-,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,131,0,0
25,senschaftlicher,0.0,0,0,15,0,0,0,0,0,0,0,0,9,62,20,0,0
26,Auseinandersetzungen,0.05,1,0,20,0,0,0,0,0,0,0,0,9,2,20,0,0
27,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
28,Methoden,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
29,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
30,Forschungsstra-,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,3,20,0,0
31,tegien.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,62,20,0,0
32,Auch,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
33,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
34,Jüttemannsche,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
35,Ansatz,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
36,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
37,Komparativen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
38,Kasuistik,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
39,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
40,da,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
41,keine,0.0,0,0,5,0,0,0,0,0,0,0,0,9,61,20,0,0
42,Ausnahme.,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,20,0,0
43,Als,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
44,Anliegen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,20,0,0
