,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Methodik,0.125,1,0,8,0,0,0,0,0,0,0,0,14,40,61,0,0
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,14,10,61,0,0
2,Problematik,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,14,11,61,0,0
3,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,14,11,61,0,0
4,Expertenbefragung,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,14,40,33,0,0
5,mehrstufigen,0.0,0,0,12,0,0,0,0,0,0,0,0,14,296,61,0,0
6,Gabriele,0.125,1,0,8,0,0,0,0,0,0,0,0,14,40,118,1,1
7,Köhler,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,14,3,118,1,1
8,Referiert,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,40,282,0,0
9,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,282,0,0
10,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,282,0,0
11,methodischen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,282,0,0
12,Grundlagen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,282,0,0
13,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,282,0,0
14,Forschungsprojektes,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,9,3,282,0,0
15,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,9,40,22,0,0
16,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,22,0,0
17,"""Leitbilder",0.09090909090909091,0,0,11,0,0,0,0,0,0,0,0,9,4,22,0,0
18,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
19,"Stadtentwicklung"",",0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,4,22,0,0
20,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,22,0,0
21,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
22,1985,0.0,0,0,4,4,0,0,0,0,0,1,1,9,4,22,0,0
23,bis,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,22,0,0
24,1987,0.0,0,0,4,4,0,0,0,0,0,1,1,9,5,22,0,0
25,am,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,22,0,0
26,Institut,0.125,1,0,8,0,0,0,0,0,0,0,0,9,40,22,0,0
27,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
28,Soziologie,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,22,0,0
29,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,22,0,0
30,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,22,0,0
31,Karlsruhe,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,22,0,0
32,(TH),0.5,0,0,4,0,0,0,0,0,0,0,0,9,2,22,0,0
33,durchgeführt,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,22,0,0
34,wurde.,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,22,0,0
35,1,0.0,0,0,1,1,0,0,0,0,0,0,1,5,2,22,0,1
36,Zunächst,0.125,1,0,8,0,0,0,0,0,0,0,0,9,52,25,0,0
37,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,25,0,0
38,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,25,0,0
39,Fragestellung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,5,25,0,0
40,vorgestellt.,0.0,0,0,12,0,0,0,0,0,0,0,0,9,5,25,0,0
41,Daraus,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,5,25,0,0
42,abgeleitet,0.0,0,0,10,0,0,0,0,0,0,0,0,9,5,25,0,0
43,schien,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,25,0,0
44,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,40,22,0,0
45,Expertenbefragung,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,3,22,0,0
46,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,22,0,0
47,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
48,geeignete,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,22,0,0
49,Methode,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,22,0,0
50,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,22,0,0
51,"Bearbeitung,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,22,0,0
52,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,22,0,0
53,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
54,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,40,22,0,0
55,primär,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,22,0,0
56,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
57,Problem,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,22,0,0
58,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,22,0,0
59,Auswahl,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,22,0,0
60,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,22,0,0
61,Experten,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,22,0,0
62,stellte.,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,22,0,0
63,Grundlegend,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,22,0,0
64,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,22,0,0
65,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,40,22,0,0
66,Gespräche,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,22,0,0
67,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,22,0,0
68,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
69,weiteren,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,22,0,0
70,Auswertungsschritte,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,9,3,22,0,0
71,war,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,22,0,0
72,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
73,Gesprächsleit-,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,2,22,0,0
74,"faden,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,40,22,0,0
75,dessen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,7,22,0,0
76,Konzeption,0.1,1,0,10,0,0,0,0,0,0,0,0,9,7,22,0,0
77,beschrieben,0.0,0,0,11,0,0,0,0,0,0,0,0,9,5,22,0,0
78,"wird,",0.0,0,0,5,0,0,0,0,0,0,0,0,9,7,22,0,0
79,ebenso,0.0,0,0,6,0,0,0,0,0,0,0,0,9,7,22,0,0
80,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,22,0,0
81,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,7,22,0,0
82,weiteren,0.0,0,0,8,0,0,0,0,0,0,0,0,9,7,22,0,0
83,Schritte,0.125,1,0,8,0,0,0,0,0,0,0,0,9,40,22,0,0
84,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
85,Gesprächsvorbereitung,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,9,3,22,0,0
86,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,22,0,0
87,-durchfuhrung.,0.0,0,0,14,0,0,0,0,0,0,0,0,9,4,22,0,0
88,Drei,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,22,0,0
