,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,BERICHTE,1.0,1,0,8,0,0,0,0,0,0,0,0,11,163,66,0,1
1,"""Ist",0.25,0,0,4,0,0,0,0,0,0,0,0,11,123,109,0,1
2,schon,0.0,0,0,5,0,0,0,0,0,0,0,0,11,2,109,0,1
3,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,11,4,109,0,1
4,tolles,0.0,0,0,6,0,0,0,0,0,0,0,0,11,3,109,0,1
5,"Erlebnis!""",0.1,1,0,10,0,0,0,0,0,0,0,0,11,4,109,0,1
6,Motive,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,78,122,1,0
7,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,122,1,0
8,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,122,1,0
9,Teilnahme,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,122,1,0
10,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,122,1,0
11,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,122,1,0
12,"Sendung,",0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,122,1,0
13,Traumhochzeit',0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,5,122,1,0
14,(1),0.0,0,0,3,1,0,0,0,0,0,0,0,9,6,122,1,0
15,Jo,0.5,1,0,2,0,0,0,0,0,0,0,0,8,173,136,0,0
16,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,136,0,0
17,In,0.5,1,0,2,0,0,0,0,0,0,0,0,8,32,155,1,0
18,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,155,1,0
19,"Show,",0.2,1,0,5,0,0,0,0,0,0,0,0,8,1,155,1,0
20,"Traumhochzeit',",0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,3,155,1,0
21,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,155,1,0
22,bislang,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,155,1,0
23,erfolgreichsten,0.0,0,0,15,0,0,0,0,0,0,0,0,8,2,155,1,0
24,Sendereihe,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,155,1,0
25,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,155,1,0
26,Privatsenders,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,1,155,1,0
27,"RTL,",0.75,1,0,4,0,0,0,0,0,0,0,0,8,3,155,1,0
28,bitten,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,155,1,0
29,Männer,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,32,17,1,0
30,bzw.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,17,1,0
31,Frauen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,17,1,0
32,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,17,1,0
33,laufender,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,17,1,0
34,Kamera,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,17,1,0
35,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,17,1,0
36,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
37,etwa,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,17,1,0
38,9,0.0,0,0,1,1,0,0,0,0,0,0,1,7,3,17,0,0
39,Millionen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,1,17,1,0
40,Zuschauern,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,17,1,0
41,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,17,1,0
42,ihren,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,17,1,0
43,Partner,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,17,1,0
44,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,17,1,0
45,das]a-,0.0,0,0,6,0,0,0,0,0,0,0,0,8,32,17,1,0
46,Wort.,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,17,1,0
47,Gewinnen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,17,1,0
48,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,17,1,0
49,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,17,1,0
50,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,17,1,0
51,Show,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,17,1,0
52,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
53,ersten,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,17,1,0
54,"Preis,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,17,1,0
55,dann,0.0,0,0,4,0,0,0,0,0,0,0,0,8,1,17,1,0
56,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,17,1,0
57,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
58,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,17,1,0
59,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
60,Augen,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,17,1,0
61,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,17,1,0
62,Fern-,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,17,1,0
63,sehgemeinde,0.0,0,0,11,0,0,0,0,0,0,0,0,8,31,17,1,0
64,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
65,viel,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,17,1,0
66,Romantik,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,17,1,0
67,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,17,1,0
68,allem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,17,1,0
69,Prunk,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,17,1,0
70,getraut.,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,17,1,0
71,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
72,vorliegende,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,17,1,0
73,Aufsatz,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,17,1,0
74,untersucht,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,17,1,0
75,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,17,1,0
76,"Frage,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,31,17,1,0
77,weshalb,0.0,0,0,7,0,0,0,0,0,0,0,0,8,1,17,1,0
78,Paare,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,17,1,0
79,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,17,1,0
80,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,17,1,0
81,Sendung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,17,1,0
82,mitarbeiten,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,17,1,0
83,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,17,1,0
84,genauer:,0.0,0,0,8,0,0,1,0,0,0,0,0,8,2,17,1,0
85,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,17,1,0
86,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
87,Paare,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,17,1,0
88,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,17,1,0
89,Sendung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,17,1,0
90,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,17,1,0
91,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,32,17,1,0
92,Gestaltung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,17,1,0
93,ihres,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,17,1,0
94,eigenen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,17,1,0
95,Lebens,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,17,1,0
96,nutzen.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,17,1,0
97,Zu,0.5,1,0,2,0,0,0,0,0,0,0,0,8,6,17,1,0
98,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,17,1,0
99,Zweck,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,17,1,0
100,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,17,1,0
101,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,17,1,0
102,Interview,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,17,1,0
103,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,7,17,1,0
104,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,17,1,0
105,",Traumhochzeitspaar'",0.05,0,0,20,0,0,0,0,0,0,0,0,8,31,17,1,0
106,vorgestellt,0.0,0,0,11,0,0,0,0,0,0,0,0,8,6,17,1,0
107,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,17,1,0
108,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
109,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
110,Mittel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,17,1,0
111,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,17,1,0
112,"Hermeneutik,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,17,1,0
113,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,7,17,1,0
114,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,17,1,0
115,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,17,1,0
116,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
117,Nach-,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,17,1,0
118,vollzug,0.0,0,0,7,0,0,0,0,0,0,0,0,8,31,17,1,0
119,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,17,1,0
120,subjektiv,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,17,1,0
121,gemeinten,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,17,1,0
122,Sinns,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,17,1,0
123,"richtet,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,17,1,0
124,interpretiert.,0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,17,1,0
125,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,17,1,0
126,weitergehende,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,17,1,0
127,Analyse,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,17,1,0
128,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,17,1,0
129,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
130,Verfahren,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,32,17,1,0
131,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
132,hermeneutischen,0.0,0,0,15,0,0,0,0,0,0,0,0,8,2,17,1,0
133,Wissenssoziologie,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,5,17,1,0
134,"zeigt,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,17,1,0
135,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
136,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,17,1,0
137,Paare,0.2,1,0,5,0,0,0,0,0,0,0,0,8,1,17,1,0
138,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,17,1,0
139,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,17,1,0
140,Exhibitionismus,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,2,17,1,0
141,u.,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,17,1,0
