,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Hanns-Georg,0.18181818181818182,1,0,11,0,0,0,0,0,0,0,0,14,51,65,0,0
1,Brose,0.2,1,0,5,0,0,0,0,0,0,0,0,14,3,65,0,0
2,.Monika,0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,17,4,65,0,0
3,Wohlrab-Sahr,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,14,3,65,0,0
4,Michael,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,14,51,35,0,0
5,Corsten,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,14,4,35,0,0
6,Soziale,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,29,53,213,0,1
7,Zeit,0.25,1,0,4,0,0,0,0,0,0,0,0,29,6,213,0,1
8,und,0.0,0,0,3,0,0,0,0,0,0,0,0,30,8,213,0,1
9,Biographie,0.1,1,0,10,0,0,0,0,0,0,0,0,29,52,247,0,1
10,Uber,0.25,1,0,4,0,0,0,0,0,0,0,0,15,53,284,1,0
11,die,0.0,0,0,3,0,0,0,0,0,0,0,0,15,2,284,1,0
12,Gestaltung,0.1,1,0,10,0,0,0,0,0,0,0,0,15,4,284,1,0
13,von,0.0,0,0,3,0,0,0,0,0,0,0,0,15,2,284,1,0
14,Alltagszeit,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,15,3,284,1,0
15,und,0.0,0,0,3,0,0,0,0,0,0,0,0,15,5,284,1,0
16,Lebenszeit,0.1,1,0,10,0,0,0,0,0,0,0,0,15,51,33,1,0
17,Westdeutscher,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,14,51,593,0,0
18,Verlag,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,14,3,593,0,0
