,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Heinz,0.2,1,0,5,0,0,0,0,0,0,0,0,11,101,40,0,0
1,Bude,0.25,1,0,4,0,0,0,0,0,0,0,0,11,4,40,0,0
2,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,11,58,26,0,0
3,soziologische,0.0,0,0,13,0,0,0,0,0,0,0,0,11,3,26,0,0
4,Erzählung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,11,3,26,0,0
5,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,8,122,0,0
6,großen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,122,0,0
7,Untersuchungen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,2,122,0,0
8,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,122,0,0
9,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,122,0,0
10,Chicago,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,122,0,0
11,School,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,122,0,0
12,of,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,122,0,0
13,Sociology,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,122,0,0
14,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,8,19,0,0
15,soziologische,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,19,0,0
16,Reportagen.,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,19,0,0
17,Man,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
18,denke,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
19,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
20,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,19,1,0
21,Gang,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,19,1,0
22,(1927),0.0,0,0,6,4,0,0,0,0,0,0,0,8,3,19,0,0
23,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,8,19,0,0
24,Frederic,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
25,M.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
26,"Trasher,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,1,19,0,0
27,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,19,1,0
28,Ghetto,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,19,1,0
29,(1928)von,0.0,0,0,9,4,0,0,0,0,0,0,0,8,1,19,0,0
30,Louis,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
31,"Wirth,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
32,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,19,1,0
33,Gold,0.25,1,0,4,0,0,0,0,0,0,0,0,9,9,19,1,0
34,Coast,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,19,1,0
35,and,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,1,0
36,the,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,1,0
37,Slums,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
38,(1929),0.0,0,0,6,4,0,0,0,0,0,0,0,8,2,19,0,0
39,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,19,0,0
40,Harvey,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
41,W.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
42,"Zorbaugh,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,1,19,0,0
43,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,19,1,0
44,Jack-Roller,0.18181818181818182,1,0,11,0,0,0,0,0,0,0,0,9,7,19,1,0
45,(1930)vom,0.0,0,0,9,4,0,0,0,0,0,0,0,8,1,19,0,0
46,Clifford,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
47,R.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
48,Shaw,0.25,1,0,4,0,0,0,0,0,0,0,0,8,1,19,0,0
49,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,1,19,0,0
50,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
51,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,19,1,0
52,Professional,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,1,19,1,0
53,Thief,0.2,1,0,5,0,0,0,0,0,0,0,0,9,9,19,1,0
54,(1937),0.0,0,0,6,4,0,0,0,0,0,0,0,8,3,19,0,0
55,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
56,Edwin,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
57,H.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,4,19,0,0
58,Sutherland,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
59,(vgl.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,19,0,0
60,zurn,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
61,folgenden,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,19,0,0
62,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
63,schöne,0.0,0,0,6,0,0,0,0,0,0,0,0,8,8,19,0,0
64,Monographie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,19,0,0
65,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
66,Rolf,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
67,Lindner,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
68,1990).,0.0,0,0,6,4,0,0,0,0,0,0,0,8,3,19,0,0
69,Hinter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,1,19,0,0
70,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
71,Serie,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
72,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,8,19,0,0
73,Untersuchungen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,2,19,0,0
74,stand,0.0,0,0,5,0,0,0,0,0,0,0,0,8,1,19,0,0
75,Robert,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
76,Ezra,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
77,Park,0.25,1,0,4,0,0,0,0,0,0,0,0,8,1,19,0,0
78,"als,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
79,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
80,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,19,0,0
81,Ausdruck,0.125,1,0,8,0,0,0,0,0,0,0,0,8,1,19,0,0
82,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,8,19,0,0
83,"ihm,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
84,~captainof,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
85,inquiry*.,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
86,Er,0.5,1,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
