,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Ronald,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,86,41,0,0
1,Hitzler,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,4,41,0,0
2,Verstehen:,0.1,1,0,10,0,0,1,0,0,0,0,0,10,64,25,0,0
3,Alltagspraxis,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,10,3,25,0,0
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,39,25,0,0
5,wissenschaftliches,0.0,0,0,18,0,0,0,0,0,0,0,0,10,4,25,0,0
6,Programm,0.125,1,0,8,0,0,0,0,0,0,0,0,10,4,25,0,0
7,»Verstehen,0.1,0,0,10,0,0,0,0,0,0,0,0,7,97,113,0,0
8,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,113,0,0
9,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,113,0,0
10,Art,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,113,0,0
11,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,113,0,0
12,Machtlosigkeit..,0.0625,1,0,16,0,0,0,0,0,0,0,0,7,2,113,0,0
13,(Shekley,0.125,0,0,8,0,0,0,0,0,0,0,0,7,175,17,0,0
14,"1985,S.",0.14285714285714285,0,0,7,4,0,0,0,0,0,0,0,7,3,17,0,0
15,177),0.0,0,0,4,3,0,0,0,0,0,0,0,6,1,17,0,1
16,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,155,0,0
17,Problem,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,155,0,0
18,verstehender,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,155,0,0
19,Wissenschaftler,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,2,155,0,0
20,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,155,0,0
21,>erklären<w.as,0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,155,0,0
22,ihr,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,155,0,0
23,Tun,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
24,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
25,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
26,wissenschaftlichen,0.0,0,0,18,0,0,0,0,0,0,0,0,8,1,19,0,0
27,Unternehmen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,19,0,0
28,"mache,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
29,obwohl,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
30,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
31,doch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
32,explizit,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
33,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
34,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
35,ganz,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
36,"alltäglichen,",0.0,0,0,13,0,0,0,0,0,0,0,0,8,2,19,0,0
37,allgemeinmenschlichen,0.0,0,0,21,0,0,0,0,0,0,0,0,8,3,19,0,0
38,Vermögen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
39,"aufruht,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
40,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
41,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
42,lange,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
43,Tradition.',0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,19,0,0
44,Für,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
45,verstehende,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,19,0,0
46,So-,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
47,ziologen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
48,war,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,19,0,0
49,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,19,0,0
50,bleibt,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
51,dieses,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
52,"Problem,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,1,19,0,0
53,unbeschadet,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,19,0,0
54,anscheinend,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,19,0,0
55,aller,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
56,philosophischen,0.0,0,0,15,0,0,0,0,0,0,0,0,8,3,19,0,0
57,"Klärungsversuche,",0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,5,19,0,0
58,besonders,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,19,0,0
59,"virulent,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,19,0,0
60,ha-,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
61,ben,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
62,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
63,doch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,1,19,0,0
64,ohnehin,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
65,ganz,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
66,praktische,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
67,"Schwierigkeiten,",0.0625,1,0,16,0,0,0,0,0,0,0,0,8,3,19,0,0
68,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
69,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
70,"Nicht-Soziologen,",0.11764705882352941,1,0,17,0,0,0,0,0,0,0,0,8,2,19,0,0
71,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,19,0,0
72,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,19,0,0
73,anderen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,19,0,0
74,Soziologen,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,19,0,0
75,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
76,",erklä-",0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,19,0,0
77,"ren<,was",0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
78,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
79,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
80,eigentlich,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
81,">dran<sei,",0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
82,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,19,0,0
83,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
84,"tun,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,1,19,0,0
85,bzw.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
86,wozu,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
87,"das,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
88,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
89,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
90,"tun,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,1,19,0,0
91,nützlich,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
92,sei.2Die,0.125,0,0,8,1,0,0,0,0,0,0,0,8,3,19,0,0
93,folgenden,0.0,0,0,9,0,0,0,0,0,0,0,0,8,1,19,0,0
94,Ausführungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,19,0,0
95,beschäfti-,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
96,gen,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
97,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
98,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
99,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
100,Aspekt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
101,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
102,Nachweises,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,19,0,0
103,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
104,Relevanz,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
105,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
106,Verstehen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
107,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
108,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
109,wissenschaftlichen,0.0,0,0,18,0,0,0,0,0,0,0,0,7,2,19,1,1
110,Unternehmen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,19,0,0
111,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
112,wesent-,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
113,lichen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
114,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
115,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
116,Verhältnis,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,19,0,0
117,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
118,alltäglichem,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,19,0,0
119,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
120,soziologischem,0.0,0,0,14,0,0,0,0,0,0,0,0,8,4,19,0,0
121,"Verstehen,",0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
122,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,19,0,0
123,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
124,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
125,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
126,phänomenologisch,0.0,0,0,16,0,0,0,0,0,0,0,0,8,2,19,0,0
127,orientierten,0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,19,0,0
128,Tradition,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,19,0,0
129,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
130,"Sozioloe""ie",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,2,20,0,0
131,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
132,Deutschland,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
133,diskutiert,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
134,wird.3,0.0,0,0,6,1,0,0,0,0,0,0,0,8,3,20,0,0
135,Verstehen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,20,1,1
136,wollen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
137,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
138,dabei,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
