,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Anne,0.25,1,0,4,0,0,0,0,0,0,0,0,11,93,38,0,0
1,Honer,0.2,1,0,5,0,0,0,0,0,0,0,0,11,4,38,0,0
2,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,11,60,26,0,0
3,Perspektivenproblem,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,11,4,26,0,0
4,in,0.0,0,0,2,0,0,0,0,0,0,0,0,11,68,26,0,0
5,der,0.0,0,0,3,0,0,0,0,0,0,0,0,11,4,26,0,0
6,Sozialforschung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,11,4,26,0,0
7,Bemerkungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,96,85,0,0
8,z,0.0,0,0,1,0,0,0,0,0,0,0,0,8,52,21,0,0
9,u,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,21,0,0
10,r,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,21,0,0
11,lebensweltlichen,0.0,0,0,16,0,0,0,0,0,0,0,0,8,3,21,0,0
12,Ethnographie,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
13,",>DasFesthalten",0.13333333333333333,0,0,15,0,0,0,0,0,0,0,0,7,97,139,0,1
14,an,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,139,0,1
15,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,139,0,1
16,subjektiven,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,139,0,1
17,Perspek-,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,139,0,1
18,tive,0.0,0,0,4,0,0,0,0,0,0,0,0,7,97,16,0,1
19,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,16,0,1
20,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,1
21,"einzige,",0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,1
22,freilich,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,1
23,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,7,1,16,0,1
24,hinreichende,0.0,0,0,12,0,0,0,0,0,0,0,0,7,1,16,0,1
25,Garantie,0.125,1,0,8,0,0,0,0,0,0,0,0,7,97,16,0,1
26,"dafür,",0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,1
27,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,1
28,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,1
29,soziale,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,1
30,Wirklichkeit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,3,16,0,1
31,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,7,97,16,0,1
32,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,7,4,16,0,1
33,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,1
34,"fiktive,",0.0,0,0,8,0,0,0,0,0,0,0,0,7,4,16,0,1
35,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,7,4,16,0,1
36,existierende,0.0,0,0,12,0,0,0,0,0,0,0,0,7,4,16,0,1
37,Welt,0.25,1,0,4,0,0,0,0,0,0,0,0,7,97,17,0,1
38,ersetzt,0.0,0,0,7,0,0,0,0,0,0,0,0,7,1,17,0,1
39,"wird,",0.0,0,0,5,0,0,0,0,0,0,0,0,7,1,17,0,1
40,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,1
41,irgendein,0.0,0,0,9,0,0,0,0,0,0,0,0,7,1,17,0,1
42,wissenschaft-,0.0,0,0,13,0,0,0,0,0,0,0,0,7,1,17,0,1
43,licher,0.0,0,0,6,0,0,0,0,0,0,0,0,7,97,16,0,1
44,Beobachter,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,1
45,konstruiert,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,16,0,1
46,hat..,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,1
47,"(Schütz,",0.125,0,0,8,0,0,0,0,0,0,0,0,7,114,16,0,1
48,in:,0.0,0,0,3,0,0,1,0,0,0,0,0,7,2,16,0,1
49,Schütz/Parsons,0.14285714285714285,1,0,14,0,1,0,0,0,0,0,0,7,2,16,0,1
50,"1977,",0.0,0,0,5,4,0,0,0,0,0,0,1,7,3,16,0,1
51,S.,0.5,1,0,2,0,0,0,0,0,0,0,0,7,1,16,0,1
52,61),0.0,0,0,3,2,0,0,0,0,0,0,0,7,0,16,0,1
53,I,1.0,1,0,1,0,0,0,0,0,0,0,0,6,37,228,0,0
54,.,0.0,0,0,1,0,0,0,0,0,0,0,0,6,0,228,0,0
55,Ethnographie,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,228,0,0
56,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,228,0,0
57,>hemdsärmlige<Praxis,0.05,0,0,20,0,0,0,0,0,0,0,0,8,3,228,0,0
58,Wenn,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,249,0,0
59,man,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,249,0,0
60,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,249,0,0
61,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,249,0,0
62,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,249,0,0
63,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,249,0,0
64,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,249,0,0
65,aktuellen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,249,0,0
66,soziologischen,0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,249,0,0
67,Ethno-,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,249,0,0
68,graphie,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,18,0,0
69,"gebräuchlichen,",0.0,0,0,15,0,0,0,0,0,0,0,0,8,4,18,0,0
70,reportageartigen,0.0,0,0,16,0,0,0,0,0,0,0,0,8,5,18,0,0
71,"Untersuchungen,",0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,4,18,0,0
72,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,18,0,0
73,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
74,gleichsam,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,19,0,0
75,exemplarisch,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,19,0,0
76,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
77,Roland,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,19,0,0
78,Girtler,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,5,19,0,0
79,(zum,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,19,0,0
80,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
81,"198oa,",0.0,0,0,6,3,0,0,0,0,0,0,0,8,3,19,0,0
82,"198ob,",0.0,0,0,6,3,0,0,0,0,0,0,0,8,3,19,0,0
83,"1985,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,4,19,0,0
84,"1987,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,3,19,0,0
85,"1988,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,3,19,0,0
86,"1989,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,2,19,0,0
87,1991),0.0,0,0,5,4,0,0,0,0,0,0,0,8,3,19,0,0
88,vorgelegt,0.0,0,0,9,0,0,0,0,0,0,0,0,8,1,19,0,0
89,"werden,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
90,anschaut,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,18,0,0
91,(vgl.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,18,0,0
92,dazu,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,18,0,0
93,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,18,0,0
94,Hartmann,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,18,0,0
95,"1988),",0.0,0,0,6,4,0,0,0,0,0,0,0,8,3,18,0,0
96,dann,0.0,0,0,4,0,0,0,0,0,0,0,0,8,1,18,0,0
97,erkennt,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,18,0,0
98,man,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,18,0,0
99,un-,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,18,0,0
100,schwer,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,18,0,0
101,teils,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,18,0,0
102,"explizite,",0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,18,0,0
103,teils,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,18,0,0
104,implizite,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,18,0,0
105,>Verwandtschaften<e:,0.05,0,0,20,0,0,1,0,0,0,0,0,8,2,18,0,0
106,twa,0.0,0,0,3,0,0,0,0,0,0,0,0,8,0,18,0,0
107,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,18,0,0
108,Robert,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
109,E.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
110,Parks,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
111,Methode,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
112,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
113,mosing,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
114,around<(vgl.,0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,19,0,0
115,Lindner,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,1,19,0,0
116,1990),0.0,0,0,5,4,0,0,0,0,0,0,0,8,3,19,0,0
117,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
118,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,19,0,0
119,">vitalenEthnographie<,wie",0.04,0,0,25,0,0,0,0,0,0,0,0,8,2,19,0,0
120,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,19,0,0
