,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,J,1.0,1,0,1,0,0,0,0,0,0,0,0,10,117,36,0,1
1,o,0.0,0,0,1,0,0,0,0,0,0,0,0,10,0,36,0,1
2,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,10,3,36,0,1
3,Abduktives,0.1,1,0,10,0,0,0,0,0,0,0,0,10,83,25,0,1
4,Schlußfolgern,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,10,3,25,0,1
5,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,80,25,0,1
6,Typen(re)konstruktion,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,10,3,25,0,1
7,Abgesang,0.125,1,0,8,0,0,0,0,0,0,0,0,8,54,83,0,0
8,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,83,0,0
9,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,83,0,0
10,liebgewonnene,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,83,0,0
11,H,1.0,1,0,1,0,0,0,0,0,0,0,0,8,2,83,0,0
12,o,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,83,0,0
13,f,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,83,0,0
14,f,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,83,0,0
15,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,83,0,0
16,u,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,83,0,0
17,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,83,0,0
18,g,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,83,0,0
19,I,1.0,1,0,1,0,0,0,0,0,0,0,0,5,50,118,0,0
20,.,0.0,0,0,1,0,0,0,0,0,0,0,0,5,0,118,0,0
21,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,118,0,0
22,m,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,118,0,0
23,a,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,118,0,0
24,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,118,0,0
25,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,118,0,0
26,v,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,118,0,0
27,o,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,118,0,0
28,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,118,0,0
29,d,0.0,0,0,1,0,0,0,0,0,0,0,0,8,4,118,0,0
30,e,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,118,0,0
31,r,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,118,0,0
32,A,1.0,1,0,1,0,0,0,0,0,0,0,0,8,3,118,0,0
33,b,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,118,0,0
34,d,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,118,0,0
35,u,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,118,0,0
36,k,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,118,0,0
37,t,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,118,0,0
38,i,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,118,0,0
39,o,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,118,0,0
40,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,118,0,0
41,verspricht,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,118,0,0
42,"Sozialforscher,",0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,25,139,0,0
43,welche,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,139,0,0
44,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,139,0,0
45,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,139,0,0
46,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,139,0,0
47,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,139,0,0
48,Mannigfaltigkeiten,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,3,139,0,0
49,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,139,0,0
50,alltäglichen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,25,19,0,0
51,menschlichen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,19,0,0
52,Lebens,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
53,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
54,wissenschaftlich,0.0,0,0,16,0,0,0,0,0,0,0,0,8,2,19,0,0
55,geschulten,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
56,Augen,0.2,1,0,5,0,0,0,0,0,0,0,0,8,25,19,0,0
57,"zuwenden,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,19,0,0
58,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
59,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
60,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
61,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
62,Muße,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
63,"haben,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
64,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
65,Auf,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
66,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,25,19,0,0
67,Ab,0.5,1,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
68,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
69,eigenen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
70,Berufsvokabulars,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,1,19,0,0
71,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
72,"verfolgen,",0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
73,können,0.0,0,0,6,0,0,0,0,0,0,0,0,8,1,19,0,0
74,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
75,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
76,letzten,0.0,0,0,7,0,0,0,0,0,0,0,0,8,25,19,0,0
77,Jahren,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,1,19,0,0
78,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
79,(wenn,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
80,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
81,langsame),0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
82,Aufblühen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
83,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
84,Begrif-,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,1,19,0,0
