,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Heinz,0.2,1,0,5,0,0,0,0,0,0,0,0,12,119,33,0,0
1,Bude,0.25,1,0,4,0,0,0,0,0,0,0,0,12,7,33,0,0
2,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,70,27,0,0
3,Latente,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,5,27,0,0
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,27,0,0
5,das,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,27,0,0
6,Manifeste,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,27,0,0
7,Aporien,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,120,60,0,0
8,»Hermeneutik,0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,9,87,21,0,0
9,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,159,60,0,0
10,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,151,21,0,0
11,Verdachts«,0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,21,0,0
12,Freud,0.2,1,0,5,0,0,0,0,0,0,0,0,8,26,136,0,0
13,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,136,0,0
14,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,136,0,0
15,Sozialwissenschaften,0.05,1,0,20,0,0,0,0,0,0,0,0,8,4,136,0,0
16,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,136,0,0
17,bestimmte,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,136,0,0
18,Technik,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,136,0,0
19,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,136,0,0
20,Interessantmachens,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,26,19,0,0
21,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,6,19,0,0
22,Erkenntnisse,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,19,0,0
23,vorgeführt.!,0.0,0,0,12,0,0,0,0,0,0,0,0,9,5,19,0,0
24,Diese,0.2,1,0,5,0,0,0,0,0,0,0,0,9,5,19,0,0
25,besteht,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,19,0,0
26,"darin,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,26,20,0,0
27,etwas,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
28,Beiläufiges,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
29,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
30,Unscheinbares,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,3,20,0,0
31,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
32,Bedeutsamen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
33,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
34,machen.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,26,19,0,0
35,Nicht,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
36,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
37,große,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,19,0,0
38,"Geste,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
