,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Bettina,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,129,56,0,0
1,Dausien,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,56,0,0
2,BIOGRAPHIEFORSCHUNG,1.0,1,0,19,0,0,0,0,0,0,0,0,9,32,98,0,0
3,ALS,1.0,1,0,3,0,0,0,0,0,0,0,0,9,2,98,0,0
4,«KÖNIGINNENwEG»?,0.75,0,0,16,0,0,0,0,0,0,0,0,9,3,98,0,0
5,«Biographieforschung»,0.047619047619047616,0,0,21,0,0,0,0,0,0,0,0,9,19,201,0,0
6,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,201,0,0
7,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,201,0,0
8,Sammelbegriff,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,4,201,0,0
9,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,201,0,0
10,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,201,0,0
11,breites,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,201,0,0
12,For-,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,201,0,0
13,schungsspektrum,0.0,0,0,15,0,0,0,0,0,0,0,0,9,18,21,0,0
14,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
15,bezeichnet,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,21,0,0
16,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,21,0,0
17,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
18,unterschiedliche,0.0,0,0,16,0,0,0,0,0,0,0,0,9,3,21,0,0
19,empiri-,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,21,0,0
20,sche,0.0,0,0,4,0,0,0,0,0,0,0,0,9,18,21,0,0
21,"Methoden,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,21,0,0
22,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,9,5,21,0,0
23,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,21,0,0
24,allem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,21,0,0
