,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,J,1.0,1,0,1,0,0,0,0,0,0,0,0,16,96,42,0,0
1,0,0.0,0,0,1,1,0,0,0,0,0,0,0,8,0,42,0,0
2,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,42,0,0
3,Von,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,67,29,0,0
4,Gipfeln,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,4,29,0,0
5,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,29,0,0
6,Tälern,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,5,29,0,0
7,Bemerkungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,53,69,0,0
8,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,11,69,0,0
9,einigen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,69,0,0
10,"Gefahren,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,7,69,0,0
11,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,59,21,0,0
12,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,21,0,0
13,objektiven,0.0,0,0,10,0,0,0,0,0,0,0,0,9,5,21,0,0
14,Hermeneuten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,9,21,0,0
15,erwarten,0.0,0,0,8,0,0,0,0,0,0,0,0,9,110,21,0,0
16,I.,0.5,1,0,2,0,0,0,0,0,0,0,0,6,102,134,0,0
17,Einleitung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,134,0,0
18,Steht,0.2,1,0,5,0,0,0,0,0,0,0,0,9,6,155,0,0
19,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,155,0,0
20,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,155,0,0
21,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,155,0,0
22,"Gipfel,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,155,0,0
23,dann,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,155,0,0
24,sieht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,155,0,0
25,er,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,155,0,0
26,bekanntlich,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,155,0,0
27,weiter,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,155,0,0
28,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,155,0,0
29,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
30,"anderer,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,19,0,0
31,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
32,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
33,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,19,0,0
34,Tal,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
35,befindet,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,19,0,0
36,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
37,dessen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,19,0,0
38,Gesichtskreis,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,4,19,0,0
39,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,6,19,0,0
40,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
41,Vielzahl,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,19,0,0
42,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
43,aufreckender,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,19,0,0
44,Berge,0.2,1,0,5,0,0,0,0,0,0,0,0,9,5,19,0,0
45,verstellt,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,19,0,0
46,ist.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
47,Diesen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
48,Umstand,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,6,20,0,0
49,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
50,Ulrich,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
51,Oevermann,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,20,0,0
52,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,20,0,0
53,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
54,1979,0.0,0,0,4,4,0,0,0,0,0,1,1,8,4,20,0,0
55,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
56,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
57,Metapher,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
58,"genutzt,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,6,19,0,0
59,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
60,zufolge,0.0,0,0,7,0,0,0,0,0,0,0,0,9,5,19,0,0
61,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
62,objektive,0.0,0,0,9,0,0,0,0,0,0,0,0,9,5,19,0,0
63,Hermeneut,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,5,19,0,0
64,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,8,19,0,0
65,prominenter,0.0,0,0,11,0,0,0,0,0,0,0,0,9,4,19,0,0
66,Stellung,0.125,1,0,8,0,0,0,0,0,0,0,0,9,6,19,0,0
