,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Monika,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,113,55,0,0
1,Wohlrab-Sahr,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,9,3,55,0,0
2,VOM,1.0,1,0,3,0,0,0,0,0,0,0,0,9,103,97,0,0
3,FALL,1.0,1,0,4,0,0,0,0,0,0,0,0,9,3,97,0,0
4,ZUM,1.0,1,0,3,0,0,0,0,0,0,0,0,9,2,97,0,0
5,TYPUS:,0.8333333333333334,1,0,6,0,0,1,0,0,0,0,0,9,2,97,0,0
6,I,1.0,1,0,1,0,0,0,0,0,0,0,0,6,111,236,1,1
7,.,0.0,0,0,1,0,0,0,0,0,0,0,0,6,1,236,1,1
8,Arten,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,236,1,1
9,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,236,1,1
10,Typisierens,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,236,1,1
11,Typisieren,0.1,1,0,10,0,0,0,0,0,0,0,0,9,17,259,0,0
12,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,259,0,0
13,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,259,0,0
14,"Geschäft,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,259,0,0
15,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,259,0,0
16,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,259,0,0
17,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,259,0,0
18,Alltag,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,259,0,0
19,ständig,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,259,0,0
20,betreiben.,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,259,0,0
