,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Schweiz.,0.125,1,0,8,0,0,0,0,0,0,0,0,8,34,42,0,0
1,Z.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,2,42,0,0
2,Sozio!./Rev.,0.16666666666666666,1,0,12,0,1,0,0,0,0,0,0,8,2,42,0,0
3,suisse,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,42,0,0
4,"socio!.,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,42,0,0
5,21,0.0,0,0,2,2,0,0,0,0,0,0,1,8,2,42,0,0
6,"(3),",0.0,0,0,4,1,0,0,0,0,0,0,0,8,2,42,0,0
7,"1995,705-740",0.0,0,0,12,10,0,0,0,0,0,0,0,8,3,42,0,0
8,705,0.0,0,0,3,3,0,0,0,0,0,0,1,8,344,42,0,0
9,"""...",0.0,0,0,4,0,0,0,0,0,0,0,0,9,114,82,0,1
10,DA,1.0,1,0,2,0,0,0,0,0,0,0,0,9,8,82,0,1
11,WAR,1.0,1,0,3,0,0,0,0,0,0,0,0,9,4,82,0,1
12,ICH,1.0,1,0,3,0,0,0,0,0,0,0,0,9,5,82,0,1
13,"VERHEIRATET""",0.9166666666666666,1,0,12,0,0,0,0,0,0,0,0,9,5,82,0,1
14,Magische,0.125,1,0,8,0,0,0,0,0,0,0,0,10,84,118,0,0
15,Elemente,0.125,1,0,8,0,0,0,0,0,0,0,0,10,3,118,0,0
16,in,0.0,0,0,2,0,0,0,0,0,0,0,0,10,3,118,0,0
17,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,118,0,0
18,Sendung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,3,118,0,0
19,"""Traumhochzeit""",0.06666666666666667,0,0,15,0,0,0,0,0,0,0,0,10,3,118,0,0
20,Jo,0.5,1,0,2,0,0,0,0,0,0,0,0,9,168,153,1,0
21,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,153,1,0
22,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,116,21,0,0
23,Gesamthochschule,0.0625,1,0,16,0,0,0,0,0,0,0,0,10,4,21,0,0
24,"Essen,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,5,21,0,0
25,Fachbereich,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,97,21,0,0
26,Literatur-,0.1,1,0,10,0,0,0,0,0,0,0,0,10,4,21,0,0
27,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,4,21,0,0
28,Sprachwissenschaft,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,10,3,21,0,0
29,Den,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,174,207,1,0
30,zerbrochenen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,4,207,1,0
31,Schwanen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,9,207,1,0
32,flügel,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,207,1,0
33,legte,0.0,0,0,5,0,0,0,0,0,0,0,0,9,7,207,1,0
34,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,174,20,1,0
35,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,20,1,0
36,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,1,0
37,"Schublade,",0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,20,1,0
38,fruchtloses,0.0,0,0,11,0,0,0,0,0,0,0,0,9,7,20,1,0
39,"Tun,",0.25,1,0,4,0,0,0,0,0,0,0,0,9,10,20,1,0
40,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,1,0
41,wußte,0.0,0,0,5,0,0,0,0,0,0,0,0,9,175,21,1,0
42,"sie,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,21,1,0
43,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,21,1,0
44,albernen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,21,1,0
45,Aberglauben,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,7,21,1,0
46,"entsprungen,",0.0,0,0,12,0,0,0,0,0,0,0,0,9,175,20,1,0
47,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,9,9,20,1,0
48,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,1,0
49,Schwan,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,20,1,0
50,selbst,0.0,0,0,6,0,0,0,0,0,0,0,0,9,6,20,1,0
51,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,9,6,20,1,0
52,Tages,0.2,1,0,5,0,0,0,0,0,0,0,0,9,175,21,1,0
53,wieder,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,21,1,0
54,heilen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,6,21,1,0
55,würde.,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,21,1,0
56,Elisabeth,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,10,174,273,0,0
57,George:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,10,4,273,0,0
58,Mein,0.25,1,0,4,0,0,0,0,0,0,0,0,10,3,273,0,0
59,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,273,0,0
60,die,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,273,0,0
61,Rache,0.2,1,0,5,0,0,0,0,0,0,0,0,10,3,273,0,0
62,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,10,34,309,0,1
