,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Wemer,0.2,1,0,5,0,0,0,0,0,0,0,0,18,36,72,0,0
1,Meinefeld,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,18,9,72,0,0
2,Realität,0.125,1,0,8,0,0,0,0,0,0,0,0,46,36,159,0,0
3,und,0.0,0,0,3,0,0,0,0,0,0,0,0,46,17,159,0,0
4,Konstruktion,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,46,37,201,0,0
5,Erkenntnistheoretische,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,17,36,230,0,0
6,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,17,36,35,0,0
7,Methodologie,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,17,6,35,0,0
8,der,0.0,0,0,3,0,0,0,0,0,0,0,0,17,10,35,0,0
9,empirischen,0.0,0,0,11,0,0,0,0,0,0,0,0,17,36,35,0,0
10,Sozialforschung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,17,10,35,0,0
11,Grundlagen,0.1,1,0,10,0,0,0,0,0,0,0,0,17,206,230,0,0
12,Leske,0.2,1,0,5,0,0,0,0,0,0,0,0,19,36,535,0,0
13,+,0.0,0,0,1,0,0,0,0,0,0,0,0,21,7,535,0,0
14,"Budrich,",0.125,1,0,8,0,0,0,0,0,0,0,0,19,4,535,0,0
15,Opladen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,19,9,535,0,0
16,1995,0.0,0,0,4,4,0,0,0,0,0,1,1,19,10,535,0,0
