,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,J,1.0,1,0,1,0,0,0,0,0,0,0,0,16,116,37,0,0
1,0,0.0,0,0,1,1,0,0,0,0,0,0,0,8,0,37,0,0
2,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,2,37,0,0
3,Nur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,42,29,1,0
4,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,29,1,0
5,Liebe,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,29,1,0
6,zählt,0.0,0,0,5,0,0,0,0,0,0,0,0,12,5,29,1,0
7,-,0.0,0,0,1,0,0,0,0,0,0,0,0,12,5,29,1,0
8,Zum,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,5,29,0,0
9,Verhältnis,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,29,0,0
10,von,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,29,0,0
11,Fernsehen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,78,26,0,0
12,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,26,0,0
13,Kandidaten!,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,5,26,0,0
14,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,82,98,0,0
15,"Verse,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,98,0,0
16,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,98,0,0
17,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,98,0,0
18,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,98,0,0
19,"lese,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,98,0,0
20,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,98,0,0
21,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,98,0,0
22,Schrei,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,98,0,0
23,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,98,0,0
24,Mörders,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,98,0,0
25,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,98,0,0
26,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,82,17,0,0
27,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,0,0
28,Opfers,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,17,0,0
29,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,17,0,0
30,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,17,0,0
31,irgend,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,17,0,0
32,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,1,17,0,0
33,Art,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,17,0,0
34,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,0,0
35,"Enthüllung,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,17,0,0
36,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,82,17,0,0
37,"Absolution,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,17,0,0
38,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,17,0,0
39,Entlastung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,17,0,0
40,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,17,0,0
41,"schlaflosen,",0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,17,0,0
42,qual-,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,17,0,0
43,vollen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,82,17,0,0
44,Nächten.,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,17,0,0
45,Colin,0.2,1,0,5,0,0,0,0,0,0,0,0,8,229,137,1,0
46,Dexter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,137,1,0
47,I.,0.5,1,0,2,0,0,0,0,0,0,0,0,6,102,162,0,0
48,Nur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,6,162,0,0
49,die,0.0,0,0,3,0,0,0,0,0,0,0,0,10,5,162,0,0
50,Liebe,0.2,1,0,5,0,0,0,0,0,0,0,0,10,3,162,0,0
51,zählt,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,162,0,0
52,»Sind,0.2,0,0,5,0,0,0,0,0,0,0,0,9,24,182,0,0
53,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,182,0,0
54,Sie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,182,0,0
55,bis,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,182,0,0
56,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,182,0,0
57,beide,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,182,0,0
58,Ohren,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,182,0,0
59,verliebt?,0.0,0,0,9,0,0,0,0,0,0,0,0,9,5,182,0,0
60,Aber,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,182,0,0
61,vielleicht,0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,182,0,0
62,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,182,0,0
63,bißchen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,24,19,0,0
64,schüchtern?,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,19,0,0
65,Wollen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
66,Sie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
67,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,19,0,0
68,Ihre,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,19,0,0
69,Liebe,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
70,kämpfen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,19,0,0
71,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
72,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,19,0,0
73,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,24,19,0,0
74,Motto,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
75,>Musik,0.16666666666666666,0,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
76,sagt,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,19,0,0
77,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
78,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
79,1000,0.0,0,0,4,4,0,0,0,0,0,1,1,9,3,19,0,0
80,Worte<,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,19,0,0
81,Ihrem,0.2,1,0,5,0,0,0,0,0,0,0,0,9,0,19,0,0
82,Partner,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,19,0,0
83,dan-,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
84,ken?,0.0,0,0,4,0,0,0,0,0,0,0,0,9,24,19,0,0
85,Dann,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,19,0,0
86,rufen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
87,Sie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
88,uns,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,19,0,0
89,an!,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
90,Unser,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,19,0,0
91,>Nur-die-Liebe-zählt-Team<,0.11538461538461539,0,0,26,0,0,0,0,0,0,0,0,9,3,19,0,0
92,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,19,0,0
93,wieder,0.0,0,0,6,0,0,0,0,0,0,0,0,9,24,19,0,0
94,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
95,Sie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
96,da,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,19,0,0
97,bis,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
98,24,0.0,0,0,2,2,0,0,0,0,0,0,1,9,3,19,0,0
99,Uhr,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
100,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
101,0815.,0.0,0,0,5,4,0,0,0,0,0,0,1,9,4,19,0,0
102,Oder,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
103,schreiben,0.0,0,0,9,0,0,0,0,0,0,0,0,9,4,19,0,0
104,Sie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
105,uns:,0.0,0,0,4,0,0,1,0,0,0,0,0,9,1,19,0,0
106,">Nur-die-Liebe-zählt<,",0.09090909090909091,0,0,22,0,0,0,0,0,0,0,0,9,24,19,0,0
107,Postfach,0.125,1,0,8,0,0,0,0,0,0,0,0,9,5,19,0,0
108,123,0.0,0,0,3,3,0,0,0,0,0,0,1,9,6,19,0,0
