,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,In:,0.3333333333333333,1,0,3,0,0,1,0,0,0,0,0,12,99,86,0,0
1,"Rieländer,",0.1,1,0,10,0,0,0,0,0,0,0,0,12,6,86,0,0
2,"Klaus/Häusler,",0.14285714285714285,1,0,14,0,1,0,0,0,0,0,0,12,3,86,0,0
3,Nicole,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,86,0,0
4,"(Hg.),",0.16666666666666666,0,0,6,0,0,0,0,0,0,0,0,12,3,86,0,0
5,Konsequenzen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,99,26,0,0
6,des,0.0,0,0,3,0,0,0,0,0,0,0,0,12,2,26,0,0
7,Tourismus.,0.1,1,0,10,0,0,0,0,0,0,0,0,12,2,26,0,0
8,"1995,",0.0,0,0,5,4,0,0,0,0,0,0,1,12,2,26,0,0
9,S,1.0,1,0,1,0,0,0,0,0,0,0,0,12,3,26,0,0
10,55,0.0,0,0,2,2,0,0,0,0,0,0,1,12,3,26,0,0
11,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,14,186,145,0,0
12,Rezeption,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,14,4,145,0,0
13,des,0.0,0,0,3,0,0,0,0,0,0,0,0,14,4,145,0,0
14,Fremden,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,14,4,145,0,0
15,in,0.0,0,0,2,0,0,0,0,0,0,0,0,14,4,145,0,0
16,der,0.0,0,0,3,0,0,0,0,0,0,0,0,14,4,145,0,0
17,touristischen,0.0,0,0,13,0,0,0,0,0,0,0,0,14,221,33,0,0
18,Fotografie,0.1,1,0,10,0,0,0,0,0,0,0,0,14,4,33,0,0
19,Ingrid,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,262,192,0,0
20,Thurner,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,192,0,0
21,Voraussetzung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,99,220,0,0
22,meiner,0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,220,0,0
23,Analyse,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,220,0,0
