,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Sonderforschungsbereich,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,10,135,83,0,0
1,186,0.0,0,0,3,3,0,0,0,0,0,0,1,10,3,83,0,0
2,Statuspassagen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,16,88,181,0,0
3,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,5,181,0,0
4,Risikolagen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,181,0,0
5,im,0.0,0,0,2,0,0,0,0,0,0,0,0,16,144,38,0,0
6,Lebensverlauf,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,5,38,0,0
7,Institutionelle,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,12,137,242,0,0
8,Steuerung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,242,0,0
9,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,163,29,0,0
10,individuelle,0.0,0,0,12,0,0,0,0,0,0,0,0,12,4,29,0,0
11,Handlungsstrategien,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,12,149,29,0,0
12,Arbeits-,0.125,1,0,8,0,0,0,0,0,0,0,0,10,136,373,0,0
13,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,373,0,0
14,Ergebnisbericht,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,3,373,0,0
15,1994,0.0,0,0,4,4,0,0,0,0,0,1,1,10,183,25,0,0
16,-1996,0.0,0,0,5,4,0,0,0,0,0,0,1,10,2,25,0,0
17,"Bremen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,165,446,0,0
18,Juli,0.25,1,0,4,0,0,0,0,0,0,0,0,10,3,446,0,0
19,1996,0.0,0,0,4,4,0,0,0,0,0,1,1,10,3,446,0,0
