,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,43,270,0,0
1,Sonderforschungsbereich,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,9,12,270,0,0
2,186,0.0,0,0,3,3,0,0,0,0,0,0,1,9,13,270,0,0
3,"""Statuspassagen",0.06666666666666667,0,0,15,0,0,0,0,0,0,0,0,9,44,21,0,0
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,21,0,0
5,Risikolagen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,6,21,0,0
6,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,6,21,0,0
7,Lebensverlauf’,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,44,20,0,0
8,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
9,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
10,Bremen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
11,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,43,20,0,0
12,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
13,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
14,Deutschen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,20,0,0
15,Forschungs­,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
16,gemeinschaft,0.0,0,0,12,0,0,0,0,0,0,0,0,9,44,21,0,0
17,(DFG),0.6,0,0,5,0,0,0,0,0,0,0,0,9,2,21,0,0
18,gefördert.,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,21,0,0
19,Inhalt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,43,558,0,0
20,Zwischenbilanz:,0.06666666666666667,1,0,15,0,0,1,0,0,0,0,0,9,43,582,0,0
21,D,1.0,1,0,1,0,0,0,0,0,0,0,0,9,43,21,0,0
22,er,0.0,0,0,2,0,0,0,0,0,0,0,0,9,0,21,0,0
23,Sfb,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
24,186,0.0,0,0,3,3,0,0,0,0,0,0,1,9,3,21,0,0
25,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,21,0,0
26,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
27,vierten,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,21,0,0
28,Forschungsphase,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,43,21,0,0
29,Editorial,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,43,630,0,0
30,"Sonderforschungsbereiche,",0.04,1,0,25,0,0,0,0,0,0,0,0,9,43,656,0,0
31,"Sozialforschung,",0.0625,1,0,16,0,0,0,0,0,0,0,0,9,43,22,0,0
32,Soziologie,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,22,0,0
33,W,1.0,1,0,1,0,0,0,0,0,0,0,0,9,43,695,0,0
34,ohnquartier,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,695,0,0
35,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,695,0,0
36,Sozial­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,695,0,0
37,hilfebedürftigkeit,0.0,0,0,18,0,0,0,0,0,0,0,0,9,43,21,0,0
38,Nachrichten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,42,733,0,0
39,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,733,0,0
40,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,733,0,0
41,Sfb,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,733,0,0
42,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,9,42,760,0,0
43,pressum,0.0,0,0,7,0,0,0,0,0,0,0,0,9,0,760,0,0
44,1,0.0,0,0,1,1,0,0,0,0,0,0,1,9,187,606,0,0
45,2,0.0,0,0,1,1,0,0,0,0,0,0,1,9,186,630,0,0
46,6,0.0,0,0,1,1,0,0,0,0,0,0,1,9,187,669,0,0
47,11,0.0,0,0,2,2,0,0,0,0,0,0,1,9,182,707,0,0
48,18,0.0,0,0,2,2,0,0,0,0,0,0,1,9,182,733,0,0
49,20,0.0,0,0,2,2,0,0,0,0,0,0,1,9,181,760,0,0
50,Von,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,30,217,286,0,1
51,Statuspassagen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,30,8,286,0,1
52,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,30,7,286,0,1
53,Lebenslaufpolitik,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,30,218,66,0,1
54,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,217,349,0,1
55,Sfb,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,7,349,0,1
56,186,0.0,0,0,3,3,0,0,0,0,0,0,1,16,7,349,0,1
57,in,0.0,0,0,2,0,0,0,0,0,0,0,0,16,7,349,0,1
58,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,7,349,0,1
59,vierten,0.0,0,0,7,0,0,0,0,0,0,0,0,16,6,349,0,1
60,Forschungsphase:,0.0625,1,0,16,0,0,1,0,0,0,0,0,16,7,349,0,1
61,Rückblick,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,217,35,0,1
62,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,35,0,1
63,Perspektiven,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,4,35,0,1
64,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,217,397,0,1
65,Bremer,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,7,397,0,1
66,Sonderforschungsbereich,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,12,7,397,0,1
67,"""Statuspassagen",0.06666666666666667,0,0,15,0,0,0,0,0,0,0,0,12,8,397,0,1
68,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,7,397,0,1
69,Risikolagen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,217,26,0,1
70,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,26,0,1
71,Lebensverlauf',0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,12,4,26,0,1
72,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,26,0,1
73,bis,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,26,0,1
74,Ende,0.25,1,0,4,0,0,0,0,0,0,0,0,12,4,26,0,1
75,1999,0.0,0,0,4,4,0,0,0,0,0,1,1,12,5,26,0,1
76,weiterge­,0.0,0,0,9,0,0,0,0,0,0,0,0,12,4,26,0,1
