,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,S,1.0,1,0,1,0,0,0,0,0,0,0,0,8,88,201,0,1
1,o,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,201,0,1
2,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,201,0,1
3,d,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,201,0,1
4,erfo,0.0,0,0,4,0,0,0,0,0,0,0,0,8,0,201,0,1
5,rs,0.0,0,0,2,0,0,0,0,0,0,0,0,8,0,201,0,1
6,ch,0.0,0,0,2,0,0,0,0,0,0,0,0,8,0,201,0,1
7,u,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,201,0,1
8,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,201,0,1
9,g,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,201,0,1
10,sb,0.0,0,0,2,0,0,0,0,0,0,0,0,8,0,201,0,1
11,e,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,201,0,1
12,reich,0.0,0,0,5,0,0,0,0,0,0,0,0,8,0,201,0,1
13,1,0.0,0,0,1,1,0,0,0,0,0,0,1,8,5,201,0,1
14,8,0.0,0,0,1,1,0,0,0,0,0,0,1,8,0,201,0,1
15,6,0.0,0,0,1,1,0,0,0,0,0,0,1,8,0,201,0,1
16,D,1.0,1,0,1,0,0,0,0,0,0,0,0,8,62,278,0,0
17,er,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,278,0,0
18,Sonderforschungsbereich,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,8,12,278,0,0
19,186,0.0,0,0,3,3,0,0,0,0,0,0,1,8,13,278,0,0
20,''Statuspassagen,0.0625,0,0,16,0,0,0,0,0,0,0,0,8,63,19,0,0
21,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,19,0,0
22,R,1.0,1,0,1,0,0,0,0,0,0,0,0,8,6,19,0,0
23,isikolagen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,1,19,0,0
24,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,7,19,0,0
25,L,1.0,1,0,1,0,0,0,0,0,0,0,0,8,62,19,0,0
26,"ebensverlauf""",0.0,0,0,13,0,0,0,0,0,0,0,0,8,0,19,0,0
27,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,7,19,0,0
28,U,1.0,1,0,1,0,0,0,0,0,0,0,0,8,6,19,0,0
29,niversität,0.0,0,0,10,0,0,0,0,0,0,0,0,8,1,19,0,0
30,B,1.0,1,0,1,0,0,0,0,0,0,0,0,8,7,19,0,0
31,re­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,19,0,0
32,m,0.0,0,0,1,0,0,0,0,0,0,0,0,8,62,19,0,0
33,en,0.0,0,0,2,0,0,0,0,0,0,0,0,8,0,19,0,0
34,w,0.0,0,0,1,0,0,0,0,0,0,0,0,8,7,19,0,0
35,ird,0.0,0,0,3,0,0,0,0,0,0,0,0,8,0,19,0,0
36,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,7,19,0,0
37,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,7,19,0,0
38,D,1.0,1,0,1,0,0,0,0,0,0,0,0,8,6,19,0,0
39,eutschen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,1,19,0,0
40,F,1.0,1,0,1,0,0,0,0,0,0,0,0,8,7,19,0,0
41,or­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,0,19,0,0
42,schungsgem,0.0,0,0,10,0,0,0,0,0,0,0,0,8,62,19,0,0
43,einschaft,0.0,0,0,9,0,0,0,0,0,0,0,0,8,1,19,0,0
44,(D,0.5,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
45,FG,1.0,1,0,2,0,0,0,0,0,0,0,0,8,0,19,0,0
46,),0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,19,0,0
47,gefördert.,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,19,0,0
48,Elmar,0.2,1,0,5,0,0,0,0,0,0,0,0,13,235,284,0,1
49,Rieger*,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,3,284,0,1
50,und,0.0,0,0,3,0,0,0,0,0,0,0,0,13,4,284,0,1
51,Stephan,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,3,284,0,1
52,Leibfried**,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,13,3,284,0,1
53,Wirtschaftliche,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,22,235,316,0,1
54,Globalisierung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,22,6,316,0,1
55,und,0.0,0,0,3,0,0,0,0,0,0,0,0,22,235,47,0,1
56,Sozialpolitik,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,22,6,47,0,1
57,-,0.0,0,0,1,0,0,0,0,0,0,0,0,22,6,47,0,1
58,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,22,5,47,0,1
59,Analyse,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,22,5,47,0,1
60,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,22,235,47,0,1
61,Wechselbeziehung,0.0625,1,0,16,0,0,0,0,0,0,0,0,22,5,47,0,1
62,am,0.0,0,0,2,0,0,0,0,0,0,0,0,22,5,47,0,1
63,Bei­,0.25,1,0,4,0,0,0,0,0,0,0,0,22,5,47,0,1
64,spiel,0.0,0,0,5,0,0,0,0,0,0,0,0,22,235,47,0,1
65,der,0.0,0,0,3,0,0,0,0,0,0,0,0,22,6,47,0,1
66,USA,1.0,1,0,3,0,0,0,0,0,0,0,0,22,5,47,0,1
67,Inhalt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,61,548,0,1
68,E,1.0,1,0,1,0,0,0,0,0,0,0,0,8,61,609,0,0
69,d,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,609,0,0
70,ito,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,609,0,0
71,r,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,609,0,0
72,ia,0.0,0,0,2,0,0,0,0,0,0,0,0,8,0,609,0,0
73,l,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,609,0,0
74,W,1.0,1,0,1,0,0,0,0,0,0,0,0,8,61,574,0,0
75,ir,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,574,0,0
76,ts,0.0,0,0,2,0,0,0,0,0,0,0,0,8,0,574,0,0
77,c,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,574,0,0
78,h,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,574,0,0
79,a,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,574,0,0
80,f,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,574,0,0
81,tlic,0.0,0,0,4,0,0,0,0,0,0,0,0,8,0,574,0,0
82,h,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,574,0,0
83,e,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,574,0,0
84,G,1.0,1,0,1,0,0,0,0,0,0,0,0,8,3,574,0,0
85,lo,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,574,0,0
86,b,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,574,0,0
87,a,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,574,0,0
88,lis,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,574,0,0
89,ie,0.0,0,0,2,0,0,0,0,0,0,0,0,8,0,574,0,0
90,ru,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,574,0,0
91,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,574,0,0
92,g,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,574,0,0
93,u,0.0,0,0,1,0,0,0,0,0,0,0,0,8,61,19,0,0
94,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,19,0,0
95,d,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,19,0,0
96,S,1.0,1,0,1,0,0,0,0,0,0,0,0,8,4,19,0,0
97,o,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,19,0,0
98,z,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,19,0,0
99,ia,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,19,0,0
100,lp,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,19,0,0
101,o,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,19,0,0
102,litik,0.0,0,0,5,0,0,0,0,0,0,0,0,8,1,19,0,0
103,J,1.0,1,0,1,0,0,0,0,0,0,0,0,8,60,635,0,0
104,u,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,635,0,0
