,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Professionalisierungsstrategien:,0.03125,1,0,32,0,0,1,0,0,0,0,0,13,188,157,0,1
1,Reorganisation,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,13,88,31,0,1
2,und,0.0,0,0,3,0,0,0,0,0,0,0,0,13,3,31,0,1
3,Feminisierung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,13,3,31,0,1
4,der,0.0,0,0,3,0,0,0,0,0,0,0,0,13,3,31,0,1
5,Unternehmensberatung,0.05,1,0,20,0,0,0,0,0,0,0,0,13,3,31,0,1
6,Hedwig,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,253,207,0,0
7,Rudolph,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,207,0,0
8,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,120,279,0,0
9,Markt,0.2,1,0,5,0,0,0,0,0,0,0,0,10,3,279,0,0
10,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,279,0,0
11,Unternehmensberatung,0.05,1,0,20,0,0,0,0,0,0,0,0,10,3,279,0,0
12,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,279,0,0
13,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,279,0,0
14,Jahren,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,3,279,0,0
15,weltweit,0.0,0,0,8,0,0,0,0,0,0,0,0,10,3,279,0,0
16,gute,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,279,0,0
17,"Konjunktur,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,3,279,0,0
18,angezeigt,0.0,0,0,9,0,0,0,0,0,0,0,0,10,120,25,0,0
19,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,25,0,0
20,die,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,25,0,0
21,überdurchschnittlichen,0.0,0,0,22,0,0,0,0,0,0,0,0,10,3,25,0,0
22,Wachstumsraten,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,10,3,25,0,0
23,von,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,25,0,0
24,Umsätzen,0.125,1,0,8,0,0,0,0,0,0,0,0,10,3,25,0,0
25,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,25,0,0
26,Beschäftigten.,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,10,120,25,0,0
27,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,3,25,0,0
28,steigende,0.0,0,0,9,0,0,0,0,0,0,0,0,10,3,25,0,0
29,Auftragsvolumen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,3,25,0,0
30,verdankt,0.0,0,0,8,0,0,0,0,0,0,0,0,10,3,25,0,0
31,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,25,0,0
32,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,25,0,0
33,neuen,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,25,0,0
34,Kun-,0.25,1,0,4,0,0,0,0,0,0,0,0,10,3,25,0,0
35,dengruppen,0.0,0,0,10,0,0,0,0,0,0,0,0,10,120,25,0,0
36,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,25,0,0
37,verändertem,0.0,0,0,11,0,0,0,0,0,0,0,0,10,3,25,0,0
38,Beratungsbedarf.,0.0625,1,0,16,0,0,0,0,0,0,0,0,10,3,25,0,0
39,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,3,25,0,0
40,Markt,0.2,1,0,5,0,0,0,0,0,0,0,0,10,3,25,0,0
41,für,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,25,0,0
42,wissensintensive,0.0,0,0,16,0,0,0,0,0,0,0,0,10,3,25,0,0
43,Dienstleistungen,0.0625,1,0,16,0,0,0,0,0,0,0,0,10,120,25,0,0
44,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,10,7,25,0,0
45,jedoch,0.0,0,0,6,0,0,0,0,0,0,0,0,10,7,25,0,0
46,hart,0.0,0,0,4,0,0,0,0,0,0,0,0,10,7,25,0,0
47,umkämpft.,0.0,0,0,9,0,0,0,0,0,0,0,0,10,7,25,0,0
48,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,7,25,0,0
49,Unternehmensberater,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,10,7,25,0,0
50,ver-,0.0,0,0,4,0,0,0,0,0,0,0,0,10,7,25,0,0
51,"suchen,",0.0,0,0,7,0,0,0,0,0,0,0,0,10,120,25,0,0
52,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,25,0,0
53,Position,0.125,1,0,8,0,0,0,0,0,0,0,0,10,3,25,0,0
54,gegenüber,0.0,0,0,9,0,0,0,0,0,0,0,0,10,3,25,0,0
55,„verkammerten“,0.0,0,0,14,0,0,0,0,0,0,0,0,10,3,25,0,0
56,Berufsgruppen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,10,3,25,0,0
57,(vor,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,25,0,0
58,allem,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,25,0,0
59,Ju-,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,3,25,0,0
60,risten,0.0,0,0,6,0,0,0,0,0,0,0,0,10,120,25,0,0
61,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,4,25,0,0
62,Wirtschaftsprüfern),0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,10,4,25,0,0
63,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,10,4,25,0,0
64,sichern,0.0,0,0,7,0,0,0,0,0,0,0,0,10,4,25,0,0
65,über,0.0,0,0,4,0,0,0,0,0,0,0,0,10,4,25,0,0
66,die,0.0,0,0,3,0,0,0,0,0,0,0,0,10,4,25,0,0
67,Etablierung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,4,25,0,0
68,professionsähn-,0.0,0,0,15,0,0,0,0,0,0,0,0,10,4,25,0,0
69,licher,0.0,0,0,6,0,0,0,0,0,0,0,0,10,120,25,0,0
70,Standards.,0.1,1,0,10,0,0,0,0,0,0,0,0,10,4,25,0,0
71,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,10,4,25,0,0
72,Wettbewerb,0.1,1,0,10,0,0,0,0,0,0,0,0,10,4,25,0,0
73,um,0.0,0,0,2,0,0,0,0,0,0,0,0,10,4,25,0,0
74,die,0.0,0,0,3,0,0,0,0,0,0,0,0,10,4,25,0,0
75,„besten,0.0,0,0,7,0,0,0,0,0,0,0,0,10,4,25,0,0
76,Köpfe“,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,4,25,0,0
77,kommen,0.0,0,0,6,0,0,0,0,0,0,0,0,10,4,25,0,0
78,qualifizierte,0.0,0,0,13,0,0,0,0,0,0,0,0,10,4,25,0,0
79,Frauen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,120,25,0,0
80,zunehmend,0.0,0,0,9,0,0,0,0,0,0,0,0,10,4,25,0,0
81,in,0.0,0,0,2,0,0,0,0,0,0,0,0,10,4,25,0,0
82,den,0.0,0,0,3,0,0,0,0,0,0,0,0,10,4,25,0,0
83,Blick,0.2,1,0,5,0,0,0,0,0,0,0,0,10,4,25,0,0
84,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,10,4,25,0,0
85,männlich,0.0,0,0,8,0,0,0,0,0,0,0,0,10,4,25,0,0
86,dominierten,0.0,0,0,11,0,0,0,0,0,0,0,0,10,4,25,0,0
87,Branche.,0.125,1,0,8,0,0,0,0,0,0,0,0,10,4,25,0,0
88,Inwie-,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,4,25,0,0
89,weit,0.0,0,0,4,0,0,0,0,0,0,0,0,10,120,25,0,0
90,gelingt,0.0,0,0,7,0,0,0,0,0,0,0,0,10,3,25,0,0
91,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,25,0,0
92,Integration,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,3,25,0,0
93,von,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,25,0,0
94,"Frauen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,3,25,0,0
95,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,25,0,0
96,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,25,0,0
97,welchen,0.0,0,0,7,0,0,0,0,0,0,0,0,10,3,25,0,0
98,Bedingungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,3,25,0,0
99,resul-,0.0,0,0,6,0,0,0,0,0,0,0,0,10,3,25,0,0
100,tieren,0.0,0,0,6,0,0,0,0,0,0,0,0,10,120,25,0,0
101,Segregationen?,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,10,3,25,0,0
102,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,85,456,0,0
103,Untersuchung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,4,456,0,0
104,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,456,0,0
105,Entwicklungsdynamik,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,12,4,456,0,0
106,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,456,0,0
107,Sektor,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,4,456,0,0
108,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,456,0,0
109,Unternehmensbera-,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,12,4,456,0,0
110,tung,0.0,0,0,4,0,0,0,0,0,0,0,0,12,85,26,0,0
111,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,26,0,0
112,eingebunden,0.0,0,0,11,0,0,0,0,0,0,0,0,12,3,26,0,0
113,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,26,0,0
114,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,26,0,0
115,Forschungsprogramm,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,12,3,26,0,0
116,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,26,0,0
117,Internationalisierungspro-,0.038461538461538464,1,0,26,0,0,0,0,0,0,0,0,12,3,26,0,0
118,zessen.,0.0,0,0,7,0,0,0,0,0,0,0,0,12,85,26,0,0
119,Ausgangspunkt,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,3,26,0,0
120,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,26,0,0
121,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,26,0,0
122,gesellschaftstheoretische,0.0,0,0,25,0,0,0,0,0,0,0,0,12,3,26,0,0
123,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,26,0,0
124,akteurszentrierte,0.0,0,0,17,0,0,0,0,0,0,0,0,12,3,26,0,0
125,"Perspektive,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,85,26,0,0
126,d.h.,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,26,0,0
127,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,26,0,0
128,"Annahme,",0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,26,0,0
129,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,26,0,0
130,Internationalisierung,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,12,3,26,0,0
131,produziert,0.0,0,0,10,0,0,0,0,0,0,0,0,12,3,26,0,0
132,wird.,0.0,0,0,5,0,0,0,0,0,0,0,0,12,3,26,0,0
133,Indem,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,26,0,0
134,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,85,26,0,0
135,Modus,0.2,1,0,5,0,0,0,0,0,0,0,0,12,5,26,0,0
136,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,26,0,0
137,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,26,0,0
138,Qualität,0.125,1,0,8,0,0,0,0,0,0,0,0,12,5,26,0,0
139,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,26,0,0
140,Internationalisierung,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,12,5,26,0,0
141,selbst,0.0,0,0,6,0,0,0,0,0,0,0,0,12,5,26,0,0
142,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,26,0,0
143,Gegenstand,0.1,1,0,10,0,0,0,0,0,0,0,0,12,5,26,0,0
144,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,85,26,0,0
145,Untersuchung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,6,26,0,0
146,gemacht,0.0,0,0,7,0,0,0,0,0,0,0,0,12,6,26,0,0
147,"werden,",0.0,0,0,7,0,0,0,0,0,0,0,0,12,6,26,0,0
148,sollen,0.0,0,0,6,0,0,0,0,0,0,0,0,12,6,26,0,0
149,Zusammenhänge,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,6,26,0,0
150,geklärt,0.0,0,0,7,0,0,0,0,0,0,0,0,12,6,26,0,0
151,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,12,6,26,0,0
152,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,12,85,26,0,0
153,Macht,0.2,1,0,5,0,0,0,0,0,0,0,0,12,5,26,0,0
154,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,26,0,0
155,"Ressourcenzugang,",0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,12,4,26,0,0
156,Staat,0.2,1,0,5,0,0,0,0,0,0,0,0,12,5,26,0,0
157,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,26,0,0
158,"Markt,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,4,26,0,0
159,Interessen,0.1,1,0,10,0,0,0,0,0,0,0,0,12,4,26,0,0
160,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,26,0,0
161,In-,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,4,26,0,0
162,stitutionen.,0.0,0,0,12,0,0,0,0,0,0,0,0,12,85,26,0,0
163,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,4,26,0,0
164,"Unternehmensberatungen,",0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,12,4,26,0,0
165,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,26,0,0
166,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,26,0,0
167,Mittelpunkt,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,4,26,0,0
168,dieses,0.0,0,0,6,0,0,0,0,0,0,0,0,12,4,26,0,0
169,Beitrages,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,4,26,0,0
170,"stehen,",0.0,0,0,7,0,0,0,0,0,0,0,0,12,85,26,0,0
171,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,26,0,0
172,einerseits,0.0,0,0,10,0,0,0,0,0,0,0,0,12,4,26,0,0
173,Promotoren,0.1,1,0,10,0,0,0,0,0,0,0,0,12,4,26,0,0
174,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,26,0,0
175,"Internationalisierung,",0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,12,4,26,0,0
176,andererseits,0.0,0,0,12,0,0,0,0,0,0,0,0,12,4,26,0,0
177,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,26,0,0
178,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,12,85,26,0,0
179,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,26,0,0
180,Akteure,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,4,26,0,0
181,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,26,0,0
182,eigener,0.0,0,0,7,0,0,0,0,0,0,0,0,12,4,26,0,0
183,"Sache,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,4,26,0,0
184,denn,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,26,0,0
185,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,26,0,0
186,den,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,26,0,0
187,80er,0.0,0,0,4,2,0,0,0,0,0,0,0,12,4,26,0,0
188,Jahren,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,26,0,0
189,restrukturieren,0.0,0,0,15,0,0,0,0,0,0,0,0,12,4,26,0,0
190,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,85,26,0,0
191,internationalisieren,0.0,0,0,20,0,0,0,0,0,0,0,0,12,5,26,0,0
192,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,26,0,0
193,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,12,5,26,0,0
194,selbst.,0.0,0,0,7,0,0,0,0,0,0,0,0,12,5,26,0,0
195,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,5,26,0,0
196,europäische,0.0,0,0,11,0,0,0,0,0,0,0,0,12,5,26,0,0
197,Integration,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,5,26,0,0
198,impliziert,0.0,0,0,10,0,0,0,0,0,0,0,0,12,5,26,0,0
199,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,12,85,26,0,0
200,Erweiterung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,26,0,0
201,des,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,26,0,0
202,(potentiellen),0.0,0,0,14,0,0,0,0,0,0,0,0,12,3,26,0,0
203,"Marktes,",0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,26,0,0
204,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,26,0,0
205,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,26,0,0
206,neue,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,26,0,0
207,Wettbewerber.,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,3,26,0,0
208,Konkurrenzintensive,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,12,107,646,0,0
209,Märkte,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,646,0,0
210,stellen,0.0,0,0,7,0,0,0,0,0,0,0,0,12,3,646,0,0
211,für,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,646,0,0
212,Unternehmen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,646,0,0
213,ständige,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,646,0,0
214,Herausforde-,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,3,646,0,0
215,rungen,0.0,0,0,6,0,0,0,0,0,0,0,0,12,85,26,0,0
216,"dar,",0.0,0,0,4,0,0,0,0,0,0,0,0,12,5,26,0,0
217,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,12,5,26,0,0
218,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,26,0,0
219,ihren,0.0,0,0,5,0,0,0,0,0,0,0,0,12,5,26,0,0
