,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Jo,0.5,1,0,2,0,0,0,0,0,0,0,0,16,29,58,0,1
1,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,3,58,0,1
2,Hermeneutische,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,14,62,96,0,1
3,Polizeiforschung,0.0625,1,0,16,0,0,0,0,0,0,0,0,14,171,96,0,1
4,1,0.0,0,0,1,1,0,0,0,0,0,0,1,12,29,167,0,1
5,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,9,167,0,1
6,Schwierigkeiten,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,12,6,167,0,1
7,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,172,167,0,1
8,Erforschung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,5,167,0,1
9,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,272,167,0,1
10,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,5,167,0,1
11,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,9,167,0,1
12,Polizei,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,5,167,0,1
13,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,11,28,202,0,0
14,empirische,0.0,0,0,10,0,0,0,0,0,0,0,0,11,5,202,0,0
15,Sozialforschung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,11,8,202,0,0
16,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,11,10,202,0,0
17,in,0.0,0,0,2,0,0,0,0,0,0,0,0,11,5,202,0,0
18,den,0.0,0,0,3,0,0,0,0,0,0,0,0,11,7,202,0,0
19,letzten,0.0,0,0,7,0,0,0,0,0,0,0,0,11,6,202,0,0
20,Jahrzehnten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,11,7,202,0,0
21,viele,0.0,0,0,5,0,0,0,0,0,0,0,0,11,9,202,0,0
