,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,18,127,244,0,0
1,Impact,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,18,4,244,0,0
2,of,0.0,0,0,2,0,0,0,0,0,0,0,0,18,4,244,0,0
3,European,0.125,1,0,8,0,0,0,0,0,0,0,0,18,4,244,0,0
4,Institutionalisation,0.05,1,0,20,0,0,0,0,0,0,0,0,18,4,244,0,0
5,on,0.0,0,0,2,0,0,0,0,0,0,0,0,18,196,264,0,0
6,Professional,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,18,4,264,0,0
7,Services:,0.1111111111111111,1,0,9,0,0,1,0,0,0,0,0,18,4,264,0,0
8,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,18,159,285,0,0
9,Case,0.25,1,0,4,0,0,0,0,0,0,0,0,18,4,285,0,0
10,of,0.0,0,0,2,0,0,0,0,0,0,0,0,18,4,285,0,0
11,Business,0.125,1,0,8,0,0,0,0,0,0,0,0,18,4,285,0,0
12,Consultants,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,18,4,285,0,0
13,Hedwig,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,253,381,0,0
14,Rudolph,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,381,0,0
15,Social,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,175,25,0,0
16,Science,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,25,0,0
17,Research,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
18,Center,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,25,0,0
19,Berlin,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,25,0,0
20,(WZB),0.6,0,0,5,0,0,0,0,0,0,0,0,12,3,25,0,0
21,Research,0.125,1,0,8,0,0,0,0,0,0,0,0,12,156,25,0,0
22,Unit,0.25,1,0,4,0,0,0,0,0,0,0,0,12,3,25,0,0
23,“Internationalization,0.047619047619047616,0,0,21,0,0,0,0,0,0,0,0,12,3,25,0,0
24,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
25,Organization”,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,3,25,0,0
26,Rudolph@wz-berlin.de,0.05,1,0,20,0,0,0,1,0,0,0,0,12,236,25,0,0
27,WZB,1.0,1,0,3,0,0,0,0,0,0,0,0,12,264,492,0,0
28,-,0.0,0,0,1,0,0,0,0,0,0,0,0,12,3,492,0,0
29,INTO,1.0,1,0,4,0,0,0,0,0,0,0,0,12,3,492,0,0
30,Reichpietschufer,0.0625,1,0,16,0,0,0,0,0,0,0,0,12,244,25,0,0
31,50,0.0,0,0,2,2,0,0,0,0,0,0,1,12,3,25,0,0
32,D-10785,0.14285714285714285,1,0,7,5,0,0,0,0,0,0,0,11,257,25,0,0
33,Berlin,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,11,3,25,0,0
