,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,„Über,0.2,0,0,5,0,0,0,0,0,0,0,0,18,160,139,0,0
1,sieben,0.0,0,0,6,0,0,0,0,0,0,0,0,18,4,139,0,0
2,Brücken,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,18,4,139,0,0
3,mußt,0.0,0,0,4,0,0,0,0,0,0,0,0,18,4,139,0,0
4,Du,0.5,1,0,2,0,0,0,0,0,0,0,0,18,4,139,0,0
5,gehen...“:,0.0,0,0,10,0,0,1,0,0,0,0,0,18,4,139,0,0
6,Lifeworlds,0.1,1,0,10,0,0,0,0,0,0,0,0,18,163,195,0,0
7,as,0.0,0,0,2,0,0,0,0,0,0,0,0,18,4,195,0,0
8,Places,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,18,4,195,0,0
9,of,0.0,0,0,2,0,0,0,0,0,0,0,0,18,4,195,0,0
10,Socialisation,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,18,4,195,0,0
11,and,0.0,0,0,3,0,0,0,0,0,0,0,0,18,4,195,0,0
12,Biographical,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,18,168,236,0,0
13,Transformation,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,18,4,236,0,0
14,Work,0.25,1,0,4,0,0,0,0,0,0,0,0,18,4,236,0,0
15,A,1.0,1,0,1,0,0,0,0,0,0,0,0,18,183,348,0,0
16,Plea,0.25,1,0,4,0,0,0,0,0,0,0,0,18,3,348,0,0
17,for,0.0,0,0,3,0,0,0,0,0,0,0,0,18,4,348,0,0
18,the,0.0,0,0,3,0,0,0,0,0,0,0,0,18,4,348,0,0
19,Cooperation,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,18,4,348,0,0
20,between,0.0,0,0,7,0,0,0,0,0,0,0,0,18,4,348,0,0
21,Quantitative,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,18,192,389,0,0
22,and,0.0,0,0,3,0,0,0,0,0,0,0,0,18,4,389,0,0
23,Qualitative,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,18,4,389,0,0
24,Transformation,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,18,221,445,0,0
25,Research,0.125,1,0,8,0,0,0,0,0,0,0,0,18,4,445,0,0
26,Anna,0.25,1,0,4,0,0,0,0,0,0,0,0,10,268,502,0,0
27,Schwarz,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,2,502,0,0
28,Posing,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,85,613,0,1
29,the,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,613,0,1
30,problem,0.0,0,0,7,0,0,0,0,0,0,0,0,10,2,613,0,1
31,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,85,657,0,0
32,song,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,657,0,0
33,“Über,0.2,0,0,5,0,0,0,0,0,0,0,0,10,3,657,0,0
34,sieben,0.0,0,0,6,0,0,0,0,0,0,0,0,10,3,657,0,0
35,Brücken,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,3,657,0,0
36,musst,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,657,0,0
37,Du,0.5,1,0,2,0,0,0,0,0,0,0,0,10,3,657,0,0
38,gehen“,0.0,0,0,6,0,0,0,0,0,0,0,0,10,3,657,0,0
39,(Over,0.2,0,0,5,0,0,0,0,0,0,0,0,10,3,657,0,0
40,Seven,0.2,1,0,5,0,0,0,0,0,0,0,0,10,3,657,0,0
41,Bridges,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,3,657,0,0
42,You,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,3,657,0,0
43,Must,0.25,1,0,4,0,0,0,0,0,0,0,0,10,3,657,0,0
44,Go),0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,3,657,0,0
45,by,0.0,0,0,2,0,0,0,0,0,0,0,0,10,3,657,0,0
46,the,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,657,0,0
47,East,0.25,1,0,4,0,0,0,0,0,0,0,0,10,85,32,0,0
48,German,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,3,32,0,0
49,rock,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,32,0,0
50,group,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,32,0,0
51,“Karat”,0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,10,3,32,0,0
52,has,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,32,0,0
53,enjoyed,0.0,0,0,7,0,0,0,0,0,0,0,0,10,3,32,0,0
54,great,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,32,0,0
55,popularity,0.0,0,0,10,0,0,0,0,0,0,0,0,10,3,32,0,0
56,since,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,32,0,0
57,the,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,32,0,0
58,end,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,32,0,0
59,of,0.0,0,0,2,0,0,0,0,0,0,0,0,10,3,32,0,0
60,the,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,32,0,0
61,"seventies,",0.0,0,0,10,0,0,0,0,0,0,0,0,10,3,32,0,0
62,including,0.0,0,0,9,0,0,0,0,0,0,0,0,10,85,32,0,0
63,the,0.0,0,0,3,0,0,0,0,0,0,0,0,10,6,32,0,0
64,"later,",0.0,0,0,6,0,0,0,0,0,0,0,0,10,6,32,0,0
65,West,0.25,1,0,4,0,0,0,0,0,0,0,0,10,6,32,0,0
66,"German,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,6,32,0,0
67,version,0.0,0,0,7,0,0,0,0,0,0,0,0,10,6,32,0,0
68,of,0.0,0,0,2,0,0,0,0,0,0,0,0,10,6,32,0,0
69,"it,",0.0,0,0,3,0,0,0,0,0,0,0,0,10,6,32,0,0
70,sung,0.0,0,0,4,0,0,0,0,0,0,0,0,10,6,32,0,0
71,by,0.0,0,0,2,0,0,0,0,0,0,0,0,10,6,32,0,0
72,Peter,0.2,1,0,5,0,0,0,0,0,0,0,0,10,6,32,0,0
73,Maffay.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,6,32,0,0
74,It,0.5,1,0,2,0,0,0,0,0,0,0,0,10,6,32,0,0
75,conveyed,0.0,0,0,8,0,0,0,0,0,0,0,0,10,6,32,0,0
