,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,105,90,0,1
1,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,90,0,1
2,Series,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,90,0,1
3,of,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,90,0,1
4,the,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,90,0,1
5,Research,0.125,1,0,8,0,0,0,0,0,0,0,0,16,4,90,0,1
6,Network,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,90,0,1
7,1989,0.0,0,0,4,4,0,0,0,0,0,1,1,16,4,90,0,1
8,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,231,145,0,1
9,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,13,3,145,0,1
10,4/2008,0.0,0,0,6,5,1,0,0,0,0,0,1,13,3,145,0,1
11,ISSN,1.0,1,0,4,0,0,0,0,0,0,0,0,13,252,167,0,1
12,1867-2833,0.0,0,0,9,8,0,0,0,0,0,0,0,13,3,167,0,1
13,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,19,99,239,0,1
14,quality,0.0,0,0,7,0,0,0,0,0,0,0,0,19,5,239,0,1
15,of,0.0,0,0,2,0,0,0,0,0,0,0,0,19,5,239,0,1
16,democracy,0.0,0,0,9,0,0,0,0,0,0,0,0,19,5,239,0,1
17,in,0.0,0,0,2,0,0,0,0,0,0,0,0,19,5,239,0,1
18,Europe:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,19,5,239,0,1
19,Soviet,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,19,5,239,0,1
20,illegitimacy,0.0,0,0,12,0,0,0,0,0,0,0,0,19,158,43,0,1
21,and,0.0,0,0,3,0,0,0,0,0,0,0,0,19,5,43,0,1
22,the,0.0,0,0,3,0,0,0,0,0,0,0,0,19,5,43,0,1
23,negotiated,0.0,0,0,10,0,0,0,0,0,0,0,0,19,5,43,0,1
24,revolutions,0.0,0,0,11,0,0,0,0,0,0,0,0,19,213,42,0,1
25,of,0.0,0,0,2,0,0,0,0,0,0,0,0,19,5,42,0,1
26,1989,0.0,0,0,4,4,0,0,0,0,0,1,1,19,5,42,0,1
27,Chris,0.2,1,0,5,0,0,0,0,0,0,0,0,12,256,323,0,1
28,Armbruster,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,323,0,1
29,Executive,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,188,25,0,0
30,"Director,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,25,0,0
