,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,107,91,0,1
1,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,91,0,1
2,Series,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,91,0,1
3,of,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,91,0,1
4,the,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,91,0,1
5,Research,0.125,1,0,8,0,0,0,0,0,0,0,0,16,4,91,0,1
6,Network,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,91,0,1
7,1989,0.0,0,0,4,4,0,0,0,0,0,1,1,16,4,91,0,1
8,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,233,146,0,1
9,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,13,3,146,0,1
10,5/2008,0.0,0,0,6,5,1,0,0,0,0,0,1,13,3,146,0,1
11,ISSN,1.0,1,0,4,0,0,0,0,0,0,0,0,13,254,168,0,1
12,1867-2833,0.0,0,0,9,8,0,0,0,0,0,0,0,13,3,168,0,1
13,Market,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,19,119,240,0,1
14,Transition,0.1,1,0,10,0,0,0,0,0,0,0,0,19,5,240,0,1
15,‘One,0.25,0,0,4,0,0,0,0,0,0,0,0,19,5,240,0,1
16,MBA,1.0,1,0,3,0,0,0,0,0,0,0,0,19,5,240,0,1
17,at,0.0,0,0,2,0,0,0,0,0,0,0,0,19,5,240,0,1
18,a,0.0,0,0,1,0,0,0,0,0,0,0,0,19,5,240,0,1
19,Time:’,0.16666666666666666,1,0,6,0,0,1,0,0,0,0,0,19,5,240,0,1
20,Institutionalization,0.05,1,0,20,0,0,0,0,0,0,0,0,12,125,267,0,1
21,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,267,0,1
22,Management,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,267,0,1
23,Education,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,267,0,1
24,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,267,0,1
25,Postsocialism1,0.07142857142857142,1,0,14,1,0,0,0,0,0,0,0,12,3,267,0,1
26,Nina,0.25,1,0,4,0,0,0,0,0,0,0,0,12,250,322,0,1
27,"Bandelj,",0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,322,0,1
28,Ph.D.,0.4,1,0,5,0,0,0,0,0,0,0,0,12,3,322,0,1
29,Assistant,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,254,25,0,0
30,Professor,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,25,0,0
31,Department,0.1,1,0,10,0,0,0,0,0,0,0,0,12,240,25,0,0
32,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
33,Sociology,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,25,0,0
34,University,0.1,1,0,10,0,0,0,0,0,0,0,0,12,227,25,0,0
35,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
36,"California,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,25,0,0
37,Irvine,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,25,0,0
38,nbandelj@uci.edu,0.0,0,0,16,0,0,0,1,1,0,0,0,12,257,25,0,0
39,Abstract,0.125,1,0,8,0,0,0,0,0,0,0,0,12,72,432,0,1
40,Can,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,72,25,0,0
41,institutionalization,0.0,0,0,20,0,0,0,0,0,0,0,0,12,9,25,0,0
42,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,9,25,0,0
43,organizational,0.0,0,0,14,0,0,0,0,0,0,0,0,12,9,25,0,0
44,fields,0.0,0,0,6,0,0,0,0,0,0,0,0,12,9,25,0,0
45,be,0.0,0,0,2,0,0,0,0,0,0,0,0,12,9,25,0,0
46,led,0.0,0,0,3,0,0,0,0,0,0,0,0,12,9,25,0,0
47,from,0.0,0,0,4,0,0,0,0,0,0,0,0,12,9,25,0,0
48,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,9,25,0,0
49,outside?,0.0,0,0,8,0,0,0,0,0,0,0,0,12,9,25,0,0
50,What,0.25,1,0,4,0,0,0,0,0,0,0,0,12,9,25,0,0
51,consequences,0.0,0,0,12,0,0,0,0,0,0,0,0,12,72,25,0,0
52,do,0.0,0,0,2,0,0,0,0,0,0,0,0,12,8,25,0,0
53,new,0.0,0,0,3,0,0,0,0,0,0,0,0,12,8,25,0,0
54,organizational,0.0,0,0,14,0,0,0,0,0,0,0,0,12,8,25,0,0
55,fields,0.0,0,0,6,0,0,0,0,0,0,0,0,12,8,25,0,0
56,have,0.0,0,0,4,0,0,0,0,0,0,0,0,12,8,25,0,0
57,for,0.0,0,0,3,0,0,0,0,0,0,0,0,12,8,25,0,0
58,large,0.0,0,0,5,0,0,0,0,0,0,0,0,12,8,25,0,0
59,scale,0.0,0,0,5,0,0,0,0,0,0,0,0,12,8,25,0,0
60,social,0.0,0,0,6,0,0,0,0,0,0,0,0,12,8,25,0,0
61,change?,0.0,0,0,7,0,0,0,0,0,0,0,0,12,8,25,0,0
62,Examining,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,72,25,0,0
63,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
64,institutionalization,0.0,0,0,20,0,0,0,0,0,0,0,0,12,3,25,0,0
65,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
66,management,0.0,0,0,10,0,0,0,0,0,0,0,0,12,3,25,0,0
67,education,0.0,0,0,9,0,0,0,0,0,0,0,0,12,3,25,0,0
68,field,0.0,0,0,5,0,0,0,0,0,0,0,0,12,3,25,0,0
69,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
70,Central,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,25,0,0
71,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
72,Eastern,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,25,0,0
73,Europe,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,72,25,0,0
74,since,0.0,0,0,5,0,0,0,0,0,0,0,0,12,5,25,0,0
75,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,25,0,0
76,fall,0.0,0,0,4,0,0,0,0,0,0,0,0,12,5,25,0,0
77,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,5,25,0,0
78,Communism,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,5,25,0,0
79,provides,0.0,0,0,8,0,0,0,0,0,0,0,0,12,5,25,0,0
80,an,0.0,0,0,2,0,0,0,0,0,0,0,0,12,5,25,0,0
81,opportune,0.0,0,0,9,0,0,0,0,0,0,0,0,12,5,25,0,0
82,research,0.0,0,0,8,0,0,0,0,0,0,0,0,12,5,25,0,0
83,site,0.0,0,0,4,0,0,0,0,0,0,0,0,12,5,25,0,0
84,to,0.0,0,0,2,0,0,0,0,0,0,0,0,12,5,25,0,0
85,address,0.0,0,0,7,0,0,0,0,0,0,0,0,12,5,25,0,0
86,both,0.0,0,0,4,0,0,0,0,0,0,0,0,12,72,25,0,0
87,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
88,these,0.0,0,0,5,0,0,0,0,0,0,0,0,12,3,25,0,0
89,questions.,0.0,0,0,10,0,0,0,0,0,0,0,0,12,3,25,0,0
90,Using,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,25,0,0
91,a,0.0,0,0,1,0,0,0,0,0,0,0,0,12,3,25,0,0
92,variety,0.0,0,0,7,0,0,0,0,0,0,0,0,12,3,25,0,0
93,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
94,qualitative,0.0,0,0,11,0,0,0,0,0,0,0,0,12,3,25,0,0
95,data,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,25,0,0
96,including,0.0,0,0,9,0,0,0,0,0,0,0,0,12,3,25,0,0
97,content,0.0,0,0,7,0,0,0,0,0,0,0,0,12,3,25,0,0
98,analysis,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
99,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
100,websites,0.0,0,0,8,0,0,0,0,0,0,0,0,12,72,25,0,0
101,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,8,25,0,0
102,an,0.0,0,0,2,0,0,0,0,0,0,0,0,12,8,25,0,0
103,open-ended,0.0,0,0,10,0,0,0,0,0,0,0,0,12,8,25,0,0
104,survey,0.0,0,0,6,0,0,0,0,0,0,0,0,12,8,25,0,0
105,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,8,25,0,0
106,"administrators,",0.0,0,0,15,0,0,0,0,0,0,0,0,12,8,25,0,0
107,we,0.0,0,0,2,0,0,0,0,0,0,0,0,12,8,25,0,0
108,outline,0.0,0,0,7,0,0,0,0,0,0,0,0,12,8,25,0,0
109,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,8,25,0,0
110,"coercive,",0.0,0,0,9,0,0,0,0,0,0,0,0,12,8,25,0,0
111,normative,0.0,0,0,9,0,0,0,0,0,0,0,0,12,72,25,0,0
112,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,25,0,0
113,mimetic,0.0,0,0,7,0,0,0,0,0,0,0,0,12,4,25,0,0
114,processes,0.0,0,0,9,0,0,0,0,0,0,0,0,12,4,25,0,0
115,that,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,25,0,0
116,have,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,25,0,0
117,contributed,0.0,0,0,11,0,0,0,0,0,0,0,0,12,4,25,0,0
118,to,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,25,0,0
119,field,0.0,0,0,5,0,0,0,0,0,0,0,0,12,4,25,0,0
120,institutionalization.,0.0,0,0,21,0,0,0,0,0,0,0,0,12,4,25,0,0
121,We,0.5,1,0,2,0,0,0,0,0,0,0,0,12,4,25,0,0
122,point,0.0,0,0,5,0,0,0,0,0,0,0,0,12,72,25,0,0
123,to,0.0,0,0,2,0,0,0,0,0,0,0,0,12,6,25,0,0
124,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,25,0,0
125,consequential,0.0,0,0,13,0,0,0,0,0,0,0,0,12,6,25,0,0
126,role,0.0,0,0,4,0,0,0,0,0,0,0,0,12,6,25,0,0
127,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,6,25,0,0
128,international,0.0,0,0,13,0,0,0,0,0,0,0,0,12,6,25,0,0
129,actors,0.0,0,0,6,0,0,0,0,0,0,0,0,12,6,25,0,0
130,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,25,0,0
131,East-West,0.2222222222222222,1,0,9,0,0,0,0,0,0,0,0,12,6,25,0,0
132,networks,0.0,0,0,8,0,0,0,0,0,0,0,0,12,6,25,0,0
133,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,25,0,0
134,argue,0.0,0,0,5,0,0,0,0,0,0,0,0,12,72,25,0,0
135,that,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,25,0,0
136,this,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,25,0,0
137,institutionalization,0.0,0,0,20,0,0,0,0,0,0,0,0,12,4,25,0,0
138,has,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,25,0,0
139,been,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,25,0,0
140,largely,0.0,0,0,7,0,0,0,0,0,0,0,0,12,4,25,0,0
141,led,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,25,0,0
142,from,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,25,0,0
143,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,25,0,0
144,outside.,0.0,0,0,8,0,0,0,0,0,0,0,0,12,4,25,0,0
145,"Moreover,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,8,25,0,0
146,as,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,25,0,0
147,sites,0.0,0,0,5,0,0,0,0,0,0,0,0,12,72,25,0,0
148,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,7,25,0,0
149,market-based,0.0,0,0,12,0,0,0,0,0,0,0,0,12,7,25,0,0
150,knowledge,0.0,0,0,9,0,0,0,0,0,0,0,0,12,7,25,0,0
151,"diffusion,",0.0,0,0,10,0,0,0,0,0,0,0,0,12,7,25,0,0
152,often,0.0,0,0,5,0,0,0,0,0,0,0,0,12,7,25,0,0
153,created,0.0,0,0,7,0,0,0,0,0,0,0,0,12,7,25,0,0
154,with,0.0,0,0,4,0,0,0,0,0,0,0,0,12,7,25,0,0
155,a,0.0,0,0,1,0,0,0,0,0,0,0,0,12,7,25,0,0
156,goal,0.0,0,0,4,0,0,0,0,0,0,0,0,12,7,25,0,0
157,to,0.0,0,0,2,0,0,0,0,0,0,0,0,12,7,25,0,0
158,facilitate,0.0,0,0,10,0,0,0,0,0,0,0,0,12,7,25,0,0
159,postsocialist,0.0,0,0,13,0,0,0,0,0,0,0,0,12,72,25,0,0
160,"transformations,",0.0,0,0,16,0,0,0,0,0,0,0,0,12,4,25,0,0
161,management,0.0,0,0,10,0,0,0,0,0,0,0,0,12,4,25,0,0
162,schools,0.0,0,0,7,0,0,0,0,0,0,0,0,12,5,25,0,0
163,have,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,25,0,0
164,been,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,25,0,0
165,crucial,0.0,0,0,7,0,0,0,0,0,0,0,0,12,4,25,0,0
166,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,5,25,0,0
167,helping,0.0,0,0,7,0,0,0,0,0,0,0,0,12,5,25,0,0
168,build,0.0,0,0,5,0,0,0,0,0,0,0,0,12,4,25,0,0
169,capitalism,0.0,0,0,10,0,0,0,0,0,0,0,0,12,72,25,0,0
170,from,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,25,0,0
171,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
172,bottom,0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,25,0,0
173,"up,",0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
174,one,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
175,MBA,1.0,1,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
176,at,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
177,a,0.0,0,0,1,0,0,0,0,0,0,0,0,12,3,25,0,0
178,time.,0.0,0,0,5,0,0,0,0,0,0,0,0,12,3,25,0,0
179,Keywords,0.125,1,0,8,0,0,0,0,0,0,0,0,12,72,625,0,1
180,Market,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,72,25,0,0
181,"Transition,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,11,25,0,0
182,Central,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,11,25,0,0
183,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,11,25,0,0
184,Eastern,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,11,25,0,0
185,"Europe,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,11,25,0,0
186,"Institutionalism,",0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,12,11,25,0,0
187,Management,0.1,1,0,10,0,0,0,0,0,0,0,0,12,11,25,0,0
188,"Education,",0.1,1,0,10,0,0,0,0,0,0,0,0,12,72,25,0,0
189,East-West,0.2222222222222222,1,0,9,0,0,0,0,0,0,0,0,12,3,25,0,0
190,Networks,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
191,1The,0.25,0,0,4,1,0,0,0,0,0,0,0,12,72,692,0,0
192,author,0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,692,0,0
193,thanks,0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,692,0,0
194,Sandy,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,692,0,0
195,Jacoby,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,692,0,0
196,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,692,0,0
197,Chris,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,692,0,0
198,Armbruster,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,692,0,0
199,for,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,692,0,0
200,their,0.0,0,0,5,0,0,0,0,0,0,0,0,12,3,692,0,0
