,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,105,90,0,1
1,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,90,0,1
2,Series,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,90,0,1
3,of,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,90,0,1
4,the,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,90,0,1
5,Research,0.125,1,0,8,0,0,0,0,0,0,0,0,16,4,90,0,1
6,Network,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,90,0,1
7,1989,0.0,0,0,4,4,0,0,0,0,0,1,1,16,4,90,0,1
8,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,231,145,0,1
9,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,13,3,145,0,1
10,1/2008,0.0,0,0,6,5,1,0,0,0,0,0,1,13,3,145,0,1
11,ISSN,1.0,1,0,4,0,0,0,0,0,0,0,0,13,252,167,0,1
12,1867-2833,0.0,0,0,9,8,0,0,0,0,0,0,0,13,3,167,0,1
13,1989,0.0,0,0,4,4,0,0,0,0,0,1,1,19,172,238,0,0
14,and,0.0,0,0,3,0,0,0,0,0,0,0,0,19,5,238,0,0
15,why,0.0,0,0,3,0,0,0,0,0,0,0,0,19,5,238,0,0
16,we,0.0,0,0,2,0,0,0,0,0,0,0,0,19,5,238,0,0
17,got,0.0,0,0,3,0,0,0,0,0,0,0,0,19,5,238,0,0
18,it,0.0,0,0,2,0,0,0,0,0,0,0,0,19,5,238,0,0
19,wrong,0.0,0,0,5,0,0,0,0,0,0,0,0,19,5,238,0,0
20,Michael,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,269,293,0,1
21,Cox,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,3,293,0,1
22,IDEAS,1.0,1,0,5,0,0,0,0,0,0,0,0,12,162,25,0,0
23,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
24,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
25,Department,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,25,0,0
26,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
27,International,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,3,25,0,0
28,"Relations,",0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,25,0,0
29,London,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,168,25,0,0
30,School,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,25,0,0
