,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,107,91,0,1
1,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,91,0,1
2,Series,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,91,0,1
3,of,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,91,0,1
4,the,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,91,0,1
5,Research,0.125,1,0,8,0,0,0,0,0,0,0,0,16,4,91,0,1
6,Network,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,91,0,1
7,1989,0.0,0,0,4,4,0,0,0,0,0,1,1,16,4,91,0,1
8,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,233,146,0,1
9,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,13,3,146,0,1
10,7/2008,0.0,0,0,6,5,1,0,0,0,0,0,1,13,3,146,0,1
11,ISSN,1.0,1,0,4,0,0,0,0,0,0,0,0,13,254,174,0,1
12,1867-2833,0.0,0,0,9,8,0,0,0,0,0,0,0,13,3,174,0,1
13,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,19,82,226,0,1
14,“Goodbye,0.125,0,0,8,0,0,0,0,0,0,0,0,19,5,226,0,1
15,Petrovka”,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,19,5,226,0,1
16,Plan:,0.2,1,0,5,0,0,1,0,0,0,0,0,19,5,226,0,1
17,Moral,0.2,1,0,5,0,0,0,0,0,0,0,0,19,5,226,0,1
18,Economy,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,19,5,226,0,1
19,of,0.0,0,0,2,0,0,0,0,0,0,0,0,19,124,252,0,1
20,File,0.25,1,0,4,0,0,0,0,0,0,0,0,19,5,252,0,1
21,Sharing,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,19,5,252,0,1
22,in,0.0,0,0,2,0,0,0,0,0,0,0,0,19,5,252,0,1
23,Post-Soviet,0.18181818181818182,1,0,11,0,0,0,0,0,0,0,0,19,5,252,0,1
24,Ukraine1,0.125,1,0,8,1,0,0,0,0,0,0,0,19,5,252,0,0
25,Maria,0.2,1,0,5,0,0,0,0,0,0,0,0,12,271,296,0,1
26,Haigh,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,296,0,1
27,Assistant,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,254,27,0,0
28,Professor,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,27,0,0
29,School,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,227,327,0,0
30,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,327,0,0
31,Information,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,327,0,0
32,Studies,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,327,0,0
33,University,0.1,1,0,10,0,0,0,0,0,0,0,0,12,213,343,0,0
34,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,343,0,0
35,Wisconsin-Milwaukee,0.10526315789473684,1,0,19,0,0,0,0,0,0,0,0,12,3,343,0,0
36,mhaigh@uwm.edu,0.0,0,0,14,0,0,0,1,1,0,0,0,12,255,359,0,0
37,Abstract,0.125,1,0,8,0,0,0,0,0,0,0,0,12,72,401,0,1
38,"Ukraine,",0.125,1,0,8,0,0,0,0,0,0,0,0,12,72,27,0,0
39,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,27,0,0
40,second,0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,27,0,0
41,most,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,27,0,0
42,populous,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,27,0,0
43,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,27,0,0
44,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,27,0,0
45,former,0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,27,0,0
46,Soviet,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,27,0,0
47,"republics,",0.0,0,0,10,0,0,0,0,0,0,0,0,12,3,27,0,0
48,had,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,27,0,0
49,been,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,27,0,0
50,named,0.0,0,0,5,0,0,0,0,0,0,0,0,12,3,27,0,0
51,as,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,27,0,0
52,one,0.0,0,0,3,0,0,0,0,0,0,0,0,12,72,25,0,0
53,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,6,25,0,0
54,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,25,0,0
55,ten,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,25,0,0
56,“priority,0.0,0,0,9,0,0,0,0,0,0,0,0,12,6,25,0,0
57,countries”,0.0,0,0,10,0,0,0,0,0,0,0,0,12,6,25,0,0
58,with,0.0,0,0,4,0,0,0,0,0,0,0,0,12,6,25,0,0
59,“unacceptable,0.0,0,0,13,0,0,0,0,0,0,0,0,12,6,25,0,0
60,piracy,0.0,0,0,6,0,0,0,0,0,0,0,0,12,6,25,0,0
61,rates.”,0.0,0,0,7,0,0,0,0,0,0,0,0,12,6,25,0,0
62,Kiev’s,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,6,25,0,0
63,open-air,0.0,0,0,8,0,0,0,0,0,0,0,0,12,6,25,0,0
64,Petrovka,0.125,1,0,8,0,0,0,0,0,0,0,0,12,72,25,0,0
65,Market,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,5,25,0,0
66,has,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,25,0,0
67,become,0.0,0,0,6,0,0,0,0,0,0,0,0,12,5,25,0,0
68,a,0.0,0,0,1,0,0,0,0,0,0,0,0,12,5,25,0,0
69,symbol,0.0,0,0,6,0,0,0,0,0,0,0,0,12,5,25,0,0
70,for,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,25,0,0
71,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,25,0,0
72,blatant,0.0,0,0,7,0,0,0,0,0,0,0,0,12,5,25,0,0
73,distribution,0.0,0,0,12,0,0,0,0,0,0,0,0,12,5,25,0,0
74,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,5,25,0,0
75,pirated,0.0,0,0,7,0,0,0,0,0,0,0,0,12,5,25,0,0
76,"books,",0.0,0,0,6,0,0,0,0,0,0,0,0,12,5,25,0,0
77,"films,",0.0,0,0,6,0,0,0,0,0,0,0,0,12,72,25,0,0
78,"music,",0.0,0,0,6,0,0,0,0,0,0,0,0,12,6,25,0,0
79,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,25,0,0
80,software.,0.0,0,0,9,0,0,0,0,0,0,0,0,12,6,25,0,0
81,As,0.5,1,0,2,0,0,0,0,0,0,0,0,12,6,25,0,0
82,living,0.0,0,0,6,0,0,0,0,0,0,0,0,12,6,25,0,0
83,standards,0.0,0,0,9,0,0,0,0,0,0,0,0,12,6,25,0,0
84,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,25,0,0
85,disposable,0.0,0,0,10,0,0,0,0,0,0,0,0,12,6,25,0,0
86,incomes,0.0,0,0,7,0,0,0,0,0,0,0,0,12,6,25,0,0
87,have,0.0,0,0,4,0,0,0,0,0,0,0,0,12,6,25,0,0
88,risen,0.0,0,0,5,0,0,0,0,0,0,0,0,12,6,25,0,0
89,dramatically,0.0,0,0,12,0,0,0,0,0,0,0,0,12,72,25,0,0
90,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
91,recent,0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,25,0,0
92,"years,",0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,25,0,0
93,Ukrainians,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,25,0,0
94,are,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
95,turning,0.0,0,0,7,0,0,0,0,0,0,0,0,12,3,25,0,0
96,increasingly,0.0,0,0,12,0,0,0,0,0,0,0,0,12,3,25,0,0
97,toward,0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,25,0,0
98,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
99,Internet,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
100,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
101,to,0.0,0,0,2,0,0,0,0,0,0,0,0,12,72,25,0,0
102,newly-available,0.0,0,0,15,0,0,0,0,0,0,0,0,12,6,25,0,0
103,high,0.0,0,0,4,0,0,0,0,0,0,0,0,12,6,25,0,0
104,bandwidth,0.0,0,0,9,0,0,0,0,0,0,0,0,12,6,25,0,0
105,networks,0.0,0,0,8,0,0,0,0,0,0,0,0,12,6,25,0,0
106,as,0.0,0,0,2,0,0,0,0,0,0,0,0,12,6,25,0,0
107,a,0.0,0,0,1,0,0,0,0,0,0,0,0,12,6,25,0,0
108,new,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,25,0,0
109,medium,0.0,0,0,6,0,0,0,0,0,0,0,0,12,6,25,0,0
110,for,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,25,0,0
111,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,25,0,0
112,exchange,0.0,0,0,8,0,0,0,0,0,0,0,0,12,6,25,0,0
113,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,6,25,0,0
114,"music,",0.0,0,0,6,0,0,0,0,0,0,0,0,12,72,25,0,0
115,"films,",0.0,0,0,6,0,0,0,0,0,0,0,0,12,7,25,0,0
116,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,7,25,0,0
117,computer,0.0,0,0,8,0,0,0,0,0,0,0,0,12,7,25,0,0
118,software.,0.0,0,0,9,0,0,0,0,0,0,0,0,12,7,25,0,0
119,Drawing,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,7,25,0,0
120,upon,0.0,0,0,4,0,0,0,0,0,0,0,0,12,7,25,0,0
121,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,7,25,0,0
122,explanatory,0.0,0,0,11,0,0,0,0,0,0,0,0,12,7,25,0,0
123,resources,0.0,0,0,9,0,0,0,0,0,0,0,0,12,7,25,0,0
124,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,7,25,0,0
125,science,0.0,0,0,7,0,0,0,0,0,0,0,0,11,72,25,0,0
126,"studies,",0.0,0,0,8,0,0,0,0,0,0,0,0,11,4,25,0,0
127,particularly,0.0,0,0,12,0,0,0,0,0,0,0,0,11,4,25,0,0
128,the,0.0,0,0,3,0,0,0,0,0,0,0,0,11,4,25,0,0
129,well-established,0.0,0,0,16,0,0,0,0,0,0,0,0,11,4,25,0,0
130,literature,0.0,0,0,10,0,0,0,0,0,0,0,0,11,4,25,0,0
131,on,0.0,0,0,2,0,0,0,0,0,0,0,0,11,4,25,0,0
132,the,0.0,0,0,3,0,0,0,0,0,0,0,0,11,4,25,0,0
133,social,0.0,0,0,6,0,0,0,0,0,0,0,0,11,4,25,0,0
134,construction,0.0,0,0,12,0,0,0,0,0,0,0,0,11,4,25,0,0
135,of,0.0,0,0,2,0,0,0,0,0,0,0,0,11,4,25,0,0
136,technological,0.0,0,0,13,0,0,0,0,0,0,0,0,12,72,25,0,0
137,"systems,",0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
138,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
139,author,0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,25,0,0
140,argues,0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,25,0,0
141,that,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,25,0,0
142,Ukrainians,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,25,0,0
143,are,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
144,literally,0.0,0,0,9,0,0,0,0,0,0,0,0,12,3,25,0,0
145,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
146,metaphorically,0.0,0,0,14,0,0,0,0,0,0,0,0,12,3,25,0,0
147,reconstructing,0.0,0,0,14,0,0,0,0,0,0,0,0,12,72,25,0,0
148,imported,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
149,Internet,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
150,technologies,0.0,0,0,12,0,0,0,0,0,0,0,0,12,3,25,0,0
151,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
152,accordance,0.0,0,0,10,0,0,0,0,0,0,0,0,12,3,25,0,0
153,with,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,25,0,0
154,their,0.0,0,0,5,0,0,0,0,0,0,0,0,12,3,25,0,0
155,own,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
156,culture.,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
157,To,0.5,1,0,2,0,0,0,0,0,0,0,0,12,72,560,0,0
158,explain,0.0,0,0,7,0,0,0,0,0,0,0,0,12,6,560,0,0
159,this,0.0,0,0,4,0,0,0,0,0,0,0,0,12,6,560,0,0
160,distinctive,0.0,0,0,11,0,0,0,0,0,0,0,0,12,6,560,0,0
161,technological,0.0,0,0,13,0,0,0,0,0,0,0,0,12,6,560,0,0
162,path,0.0,0,0,4,0,0,0,0,0,0,0,0,12,6,560,0,0
163,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,560,0,0
164,author,0.0,0,0,6,0,0,0,0,0,0,0,0,12,6,560,0,0
165,examines,0.0,0,0,8,0,0,0,0,0,0,0,0,12,6,560,0,0
166,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,560,0,0
167,interaction,0.0,0,0,11,0,0,0,0,0,0,0,0,12,6,560,0,0
168,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,6,560,0,0
169,"technologies,",0.0,0,0,13,0,0,0,0,0,0,0,0,12,72,25,0,0
170,"users,",0.0,0,0,6,0,0,0,0,0,0,0,0,12,4,25,0,0
171,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,25,0,0
172,regulatory,0.0,0,0,10,0,0,0,0,0,0,0,0,12,4,25,0,0
173,regimes.,0.0,0,0,8,0,0,0,0,0,0,0,0,12,4,25,0,0
174,These,0.2,1,0,5,0,0,0,0,0,0,0,0,12,4,25,0,0
175,have,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,25,0,0
176,shaped,0.0,0,0,6,0,0,0,0,0,0,0,0,12,4,25,0,0
177,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,25,0,0
178,understanding,0.0,0,0,13,0,0,0,0,0,0,0,0,12,4,25,0,0
179,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,25,0,0
180,ordinary,0.0,0,0,8,0,0,0,0,0,0,0,0,12,72,25,0,0
181,Ukrainian,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,5,25,0,0
182,Internet,0.125,1,0,8,0,0,0,0,0,0,0,0,12,5,25,0,0
183,users,0.0,0,0,5,0,0,0,0,0,0,0,0,12,5,25,0,0
184,toward,0.0,0,0,6,0,0,0,0,0,0,0,0,12,5,25,0,0
185,"what,",0.0,0,0,5,0,0,0,0,0,0,0,0,12,5,25,0,0
186,following,0.0,0,0,9,0,0,0,0,0,0,0,0,12,5,25,0,0
187,E.P.,0.5,1,0,4,0,0,0,0,0,0,0,0,12,5,25,0,0
188,"Thompson,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,5,25,0,0
189,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,25,0,0
190,author,0.0,0,0,6,0,0,0,0,0,0,0,0,12,5,25,0,0
191,calls,0.0,0,0,5,0,0,0,0,0,0,0,0,12,72,25,0,0
192,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,25,0,0
193,“moral,0.0,0,0,6,0,0,0,0,0,0,0,0,12,4,25,0,0
194,economy”,0.0,0,0,8,0,0,0,0,0,0,0,0,12,4,25,0,0
195,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,25,0,0
196,copyright,0.0,0,0,9,0,0,0,0,0,0,0,0,12,4,25,0,0
197,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,25,0,0
198,file,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,25,0,0
199,sharing.,0.0,0,0,8,0,0,0,0,0,0,0,0,12,4,25,0,0
200,I,1.0,1,0,1,0,0,0,0,0,0,0,0,12,4,25,0,0
201,probe,0.0,0,0,5,0,0,0,0,0,0,0,0,12,4,25,0,0
