,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,107,91,0,1
1,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,91,0,1
2,Series,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,91,0,1
3,of,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,91,0,1
4,the,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,91,0,1
5,Research,0.125,1,0,8,0,0,0,0,0,0,0,0,16,4,91,0,1
6,Network,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,91,0,1
7,1989,0.0,0,0,4,4,0,0,0,0,0,1,1,16,4,91,0,1
8,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,233,184,0,1
9,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,13,3,184,0,1
10,8/2008,0.0,0,0,6,5,1,0,0,0,0,0,1,13,3,184,0,1
11,ISSN,1.0,1,0,4,0,0,0,0,0,0,0,0,13,254,213,0,1
12,1867-2833,0.0,0,0,9,8,0,0,0,0,0,0,0,13,3,213,0,1
13,Does,0.25,1,0,4,0,0,0,0,0,0,0,0,19,75,321,0,1
14,Talent,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,19,5,321,0,1
15,Migration,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,19,5,321,0,1
16,Increase,0.125,1,0,8,0,0,0,0,0,0,0,0,19,5,321,0,1
17,the,0.0,0,0,3,0,0,0,0,0,0,0,0,19,5,321,0,1
18,Gap,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,19,5,321,0,1
19,between,0.0,0,0,7,0,0,0,0,0,0,0,0,19,5,321,0,1
20,1,0.0,0,0,1,1,0,0,0,0,0,0,1,13,376,34,0,0
21,East,0.25,1,0,4,0,0,0,0,0,0,0,0,19,227,24,0,1
22,and,0.0,0,0,3,0,0,0,0,0,0,0,0,19,5,24,0,1
23,West?,0.2,1,0,5,0,0,0,0,0,0,0,0,19,5,24,0,1
24,d'Artis,0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,12,267,414,0,1
25,Kancs,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,414,0,1
26,London,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,137,434,0,0
27,School,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,434,0,0
28,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,434,0,0
29,Economics,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,434,0,0
30,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,434,0,0
31,Catholic,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,434,0,0
32,University,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,434,0,0
33,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,434,0,0
34,Leuven,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,434,0,0
35,e-mail:,0.0,0,0,7,0,0,1,0,0,0,0,0,12,217,27,0,0
36,kancs@econ.kuleuven.be,0.0,0,0,22,0,0,0,1,0,0,0,0,12,3,27,0,0
37,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,295,475,0,0
38,Julda,0.2,1,0,5,0,0,0,0,0,0,0,0,12,268,509,0,1
39,Kielyte,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,509,0,1
40,London,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,134,529,0,0
41,School,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,529,0,0
42,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,529,0,0
43,Economics,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,529,0,0
44,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,529,0,0
45,Australian,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,529,0,0
46,National,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,529,0,0
47,University.,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,529,0,0
48,e-mail:,0.0,0,0,7,0,0,1,0,0,0,0,0,12,239,25,0,0
49,kielyte@lse.ac.uk,0.0,0,0,17,0,0,0,1,0,0,0,0,12,3,25,0,0
50,August,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,1,12,272,642,0,0
51,2008,0.0,0,0,4,4,0,0,0,0,0,1,1,12,3,642,0,0
52,                                                           ,0.0,0,0,59,0,0,0,0,0,0,0,0,10,72,696,0,0
53,1The,0.25,0,0,4,1,0,0,0,0,0,0,0,11,72,23,0,0
54,authors,0.0,0,0,7,0,0,0,0,0,0,0,0,10,2,23,0,0
55,acknowledge,0.0,0,0,11,0,0,0,0,0,0,0,0,10,2,23,0,0
56,helpful,0.0,0,0,7,0,0,0,0,0,0,0,0,10,2,23,0,0
57,comments,0.0,0,0,8,0,0,0,0,0,0,0,0,10,2,23,0,0
58,from,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,23,0,0
59,Pavel,0.2,1,0,5,0,0,0,0,0,0,0,0,10,2,23,0,0
60,Chiaian,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,2,23,0,0
61,and,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,23,0,0
62,seminar,0.0,0,0,7,0,0,0,0,0,0,0,0,10,3,23,0,0
63,participants,0.0,0,0,12,0,0,0,0,0,0,0,0,10,2,23,0,0
64,at,0.0,0,0,2,0,0,0,0,0,0,0,0,10,2,23,0,0
65,the,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,23,0,0
66,London,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,2,23,0,0
67,School,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,3,23,0,0
68,of,0.0,0,0,2,0,0,0,0,0,0,0,0,10,2,23,0,0
69,Economics.,0.1,1,0,10,0,0,0,0,0,0,0,0,10,72,23,0,0
