,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,13,134,203,0,1
1,Rolle,0.2,1,0,5,0,0,0,0,0,0,0,0,13,2,203,0,1
2,der,0.0,0,0,3,0,0,0,0,0,0,0,0,13,2,203,0,1
3,Marktforschung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,13,2,203,0,1
4,in,0.0,0,0,2,0,0,0,0,0,0,0,0,13,2,203,0,1
5,der,0.0,0,0,3,0,0,0,0,0,0,0,0,13,2,203,0,1
6,Konsumgesellschaft,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,13,2,203,0,1
7,Kay-Volker,0.2,1,0,10,0,0,0,0,0,0,0,0,12,134,228,1,0
8,Koschel,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,2,228,1,0
9,"„Nun,",0.2,0,0,5,0,0,0,0,0,0,0,0,9,154,284,0,0
10,sehen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,284,0,0
11,"Sie,",0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,284,0,0
12,Miss,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,284,0,0
13,"Ford,",0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,284,0,0
14,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,284,0,0
15,leben,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,284,0,0
16,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,284,0,0
17,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,284,0,0
18,komplizierten,0.0,0,0,13,0,0,0,0,0,0,0,0,9,3,284,0,0
19,"Gesellschaft,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,3,284,0,0
20,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,284,0,0
21,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,284,0,0
