,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,106,90,0,1
1,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,90,0,1
2,Series,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,90,0,1
3,of,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,90,0,1
4,the,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,90,0,1
5,Research,0.125,1,0,8,0,0,0,0,0,0,0,0,16,4,90,0,1
6,Network,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,90,0,1
7,1989,0.0,0,0,4,4,0,0,0,0,0,1,1,16,4,90,0,1
8,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,231,145,0,1
9,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,13,3,145,0,1
10,2/2008,0.0,0,0,6,5,1,0,0,0,0,0,1,13,3,145,0,1
11,ISSN,1.0,1,0,4,0,0,0,0,0,0,0,0,13,252,167,0,1
12,1867-2833,0.0,0,0,9,8,0,0,0,0,0,0,0,13,3,167,0,1
13,EU-focused,0.2,1,0,10,0,0,0,0,0,0,0,0,19,99,225,0,1
14,knowledge,0.0,0,0,9,0,0,0,0,0,0,0,0,19,5,225,0,1
15,and,0.0,0,0,3,0,0,0,0,0,0,0,0,19,5,225,0,1
16,its,0.0,0,0,3,0,0,0,0,0,0,0,0,19,5,225,0,1
17,potential,0.0,0,0,9,0,0,0,0,0,0,0,0,19,5,225,0,1
18,for,0.0,0,0,3,0,0,0,0,0,0,0,0,19,5,225,0,1
19,mobilization,0.0,0,0,12,0,0,0,0,0,0,0,0,19,246,43,0,1
20,Karin,0.2,1,0,5,0,0,0,0,0,0,0,0,12,269,275,0,1
21,Pieper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,275,0,1
22,Institute,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,212,25,0,0
23,for,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
24,East,0.25,1,0,4,0,0,0,0,0,0,0,0,12,3,25,0,0
25,European,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
26,Studies,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,25,0,0
27,Free,0.25,1,0,4,0,0,0,0,0,0,0,0,12,240,25,0,0
28,University,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,25,0,0
29,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
30,Berlin,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,25,0,0
31,karin.pieper@fu-berlin.de,0.0,0,0,25,0,0,0,1,0,0,0,0,12,237,25,0,0
32,Abstract,0.125,1,0,8,0,0,0,0,0,0,0,0,12,85,344,0,1
33,After,0.2,1,0,5,0,0,0,0,0,0,0,0,12,85,25,0,0
