,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,106,100,0,1
1,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,100,0,1
2,Series,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,100,0,1
3,of,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,100,0,1
4,the,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,100,0,1
5,Research,0.125,1,0,8,0,0,0,0,0,0,0,0,16,4,100,0,1
6,Network,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,100,0,1
7,1989,0.0,0,0,4,4,0,0,0,0,0,1,1,16,4,100,0,1
8,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,231,155,0,1
9,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,13,3,155,0,1
10,3/2008,0.0,0,0,6,5,1,0,0,0,0,0,1,13,3,155,0,1
11,ISSN,1.0,1,0,4,0,0,0,0,0,0,0,0,13,252,177,0,1
12,1867-2833,0.0,0,0,9,8,0,0,0,0,0,0,0,13,3,177,0,1
13,East,0.25,1,0,4,0,0,0,0,0,0,0,0,19,109,249,0,1
14,German,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,19,5,249,0,1
15,and,0.0,0,0,3,0,0,0,0,0,0,0,0,19,5,249,0,1
16,Polish,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,19,5,249,0,1
17,Opposition,0.1,1,0,10,0,0,0,0,0,0,0,0,19,5,249,0,1
18,during,0.0,0,0,6,0,0,0,0,0,0,0,0,19,5,249,0,1
19,the,0.0,0,0,3,0,0,0,0,0,0,0,0,19,151,42,0,1
20,Last,0.25,1,0,4,0,0,0,0,0,0,0,0,19,5,42,0,1
21,Decade,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,19,5,42,0,1
22,of,0.0,0,0,2,0,0,0,0,0,0,0,0,19,5,42,0,1
23,the,0.0,0,0,3,0,0,0,0,0,0,0,0,19,5,42,0,1
24,Cold,0.25,1,0,4,0,0,0,0,0,0,0,0,19,5,42,0,1
25,War,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,19,5,42,0,1
26,Karolina,0.125,1,0,8,0,0,0,0,0,0,0,0,12,268,340,0,1
27,Pietras,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,340,0,1
28,Université,0.1,1,0,10,0,0,0,0,0,0,0,0,12,231,359,0,0
29,Paris,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,359,0,0
30,IV,1.0,1,0,2,0,0,0,0,0,0,0,0,12,3,359,0,0
31,–,0.0,0,0,1,0,0,0,0,0,0,0,0,12,3,359,0,0
32,Sorbonne,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,359,0,0
33,Département,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,246,25,0,0
34,de,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
35,polonais,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
36,UFR,1.0,1,0,3,0,0,0,0,0,0,0,0,12,258,25,0,0
37,d’études,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
38,slaves,0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,25,0,0
39,Abstract,0.125,1,0,8,0,0,0,0,0,0,0,0,12,85,429,0,1
40,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,85,25,0,0
