,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,116,102,0,1
1,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,102,0,1
2,Series,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,102,0,1
3,of,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,102,0,1
4,the,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,102,0,1
5,Research,0.125,1,0,8,0,0,0,0,0,0,0,0,16,4,102,0,1
6,Network,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,102,0,1
7,1989,0.0,0,0,4,4,0,0,0,0,0,1,1,16,4,102,0,1
8,What's,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,19,93,237,0,1
9,Wrong,0.2,1,0,5,0,0,0,0,0,0,0,0,19,5,237,0,1
10,With,0.25,1,0,4,0,0,0,0,0,0,0,0,19,5,237,0,1
11,the,0.0,0,0,3,0,0,0,0,0,0,0,0,19,5,237,0,1
12,Concept,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,19,5,237,0,1
13,of,0.0,0,0,2,0,0,0,0,0,0,0,0,19,5,237,0,1
14,Multiple,0.125,1,0,8,0,0,0,0,0,0,0,0,19,5,237,0,1
15,Modernities?*,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,19,232,42,0,0
16,Working,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,234,164,0,1
17,Paper,0.2,1,0,5,0,0,0,0,0,0,0,0,13,3,164,0,1
18,6/2008,0.0,0,0,6,5,1,0,0,0,0,0,1,13,3,164,0,1
19,ISSN,1.0,1,0,4,0,0,0,0,0,0,0,0,13,257,189,0,1
20,1867-2833,0.0,0,0,9,8,0,0,0,0,0,0,0,13,3,189,0,1
21,Volker,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,267,287,0,0
22,H.,0.5,1,0,2,0,0,0,0,0,0,0,0,12,3,287,0,0
23,Schmidt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,287,0,0
24,Department,0.1,1,0,10,0,0,0,0,0,0,0,0,12,249,25,0,0
25,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
26,Sociology,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,25,0,0
27,National,0.125,1,0,8,0,0,0,0,0,0,0,0,12,229,25,0,0
28,University,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,25,0,0
29,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
30,Singapore,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,25,0,0
31,Abstract,0.125,1,0,8,0,0,0,0,0,0,0,0,12,70,367,0,1
32,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,70,387,0,0
33,concept,0.0,0,0,7,0,0,0,0,0,0,0,0,12,4,387,0,0
34,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,387,0,0
35,multiple,0.0,0,0,8,0,0,0,0,0,0,0,0,12,4,387,0,0
36,modernities,0.0,0,0,11,0,0,0,0,0,0,0,0,12,4,387,0,0
37,has,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,387,0,0
38,been,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,387,0,0
39,developed,0.0,0,0,9,0,0,0,0,0,0,0,0,12,4,387,0,0
40,with,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,387,0,0
41,a,0.0,0,0,1,0,0,0,0,0,0,0,0,12,4,387,0,0
42,view,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,387,0,0
43,to,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,387,0,0
44,highlighting,0.0,0,0,12,0,0,0,0,0,0,0,0,12,4,387,0,0
45,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,70,25,0,0
46,ways,0.0,0,0,4,0,0,0,0,0,0,0,0,12,7,25,0,0
47,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,7,25,0,0
48,which,0.0,0,0,5,0,0,0,0,0,0,0,0,12,7,25,0,0
49,modern,0.0,0,0,6,0,0,0,0,0,0,0,0,12,7,25,0,0
50,societies,0.0,0,0,9,0,0,0,0,0,0,0,0,12,7,25,0,0
51,differ,0.0,0,0,6,0,0,0,0,0,0,0,0,12,7,25,0,0
