,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,M,1.0,1,0,1,0,0,0,0,0,0,0,0,10,276,43,0,0
1,e,0.0,0,0,1,0,0,0,0,0,0,0,0,10,286,43,0,0
2,M,1.0,1,0,1,0,0,0,0,0,0,0,0,10,294,43,0,0
3,b,0.0,0,0,1,0,0,0,0,0,0,0,0,10,304,43,0,0
4,e,0.0,0,0,1,0,0,0,0,0,0,0,0,10,0,43,0,0
5,r,0.0,0,0,1,0,0,0,0,0,0,0,0,10,0,43,0,0
6,O,1.0,1,0,1,0,0,0,0,0,0,0,0,10,308,43,0,0
7,r,0.0,0,0,1,0,0,0,0,0,0,0,0,10,316,43,0,0
8,g,0.0,0,0,1,0,0,0,0,0,0,0,0,10,0,43,0,0
9,a,0.0,0,0,1,0,0,0,0,0,0,0,0,10,0,43,0,0
10,nt,0.0,0,0,2,0,0,0,0,0,0,0,0,10,0,43,0,0
11,i,0.0,0,0,1,0,0,0,0,0,0,0,0,10,0,43,0,0
12,s,0.0,0,0,1,0,0,0,0,0,0,0,0,10,0,43,0,0
13,O,1.0,1,0,1,0,0,0,0,0,0,0,0,10,400,43,0,0
14,n,0.0,0,0,1,0,0,0,0,0,0,0,0,10,409,43,0,0
15,F,1.0,1,0,1,0,0,0,0,0,0,0,0,10,412,43,0,0
16,O,1.0,1,0,1,0,0,0,0,0,0,0,0,10,427,43,0,0
17,r,0.0,0,0,1,0,0,0,0,0,0,0,0,10,435,43,0,0
18,a,0.0,0,0,1,0,0,0,0,0,0,0,0,10,0,43,0,0
19,S,1.0,1,0,1,0,0,0,0,0,0,0,0,20,269,76,0,0
20,o,0.0,0,0,1,0,0,0,0,0,0,0,0,20,269,44,0,0
21,C,1.0,1,0,1,0,0,0,0,0,0,0,0,20,269,44,0,0
22,t,0.0,0,0,1,0,0,0,0,0,0,0,0,20,282,76,0,0
23,f,0.0,0,0,1,0,0,0,0,0,0,0,0,20,280,44,0,0
24,e,0.0,0,0,1,0,0,0,0,0,0,0,0,20,283,44,0,0
25,at,0.0,0,0,2,0,0,0,0,0,0,0,0,20,289,76,0,0
26,S,1.0,1,0,1,0,0,0,0,0,0,0,0,20,292,44,0,0
27,n,0.0,0,0,1,0,0,0,0,0,0,0,0,20,294,44,0,0
28,u,0.0,0,0,1,0,0,0,0,0,0,0,0,20,306,76,0,0
29,o,0.0,0,0,1,0,0,0,0,0,0,0,0,20,305,44,0,0
30,tr,0.0,0,0,2,0,0,0,0,0,0,0,0,20,306,44,0,0
31,s,0.0,0,0,1,0,0,0,0,0,0,0,0,20,318,76,0,0
32,a,0.0,0,0,1,0,0,0,0,0,0,0,0,20,5,76,0,0
33,cia,0.0,0,0,3,0,0,0,0,0,0,0,0,20,317,44,0,0
34,a,0.0,0,0,1,0,0,0,0,0,0,0,0,20,319,44,0,0
35,l,0.0,0,0,1,0,0,0,0,0,0,0,0,20,0,44,0,0
36,n,0.0,0,0,1,0,0,0,0,0,0,0,0,20,345,76,0,0
37,l,0.0,0,0,1,0,0,0,0,0,0,0,0,20,344,44,0,0
38,a,0.0,0,0,1,0,0,0,0,0,0,0,0,20,341,44,0,0
39,d,0.0,0,0,1,0,0,0,0,0,0,0,0,20,356,76,0,0
40,S,1.0,1,0,1,0,0,0,0,0,0,0,0,20,354,44,0,0
41,n,0.0,0,0,1,0,0,0,0,0,0,0,0,20,352,44,0,0
42,Deve,0.25,1,0,4,0,0,0,0,0,0,0,0,20,374,76,0,0
43,cienc,0.0,0,0,5,0,0,0,0,0,0,0,0,20,367,44,0,0
44,d,0.0,0,0,1,0,0,0,0,0,0,0,0,20,364,44,0,0
45,Ea,0.5,1,0,2,0,0,0,0,0,0,0,0,20,5,44,0,0
46,s,0.0,0,0,1,0,0,0,0,0,0,0,0,20,0,44,0,0
47,l,0.0,0,0,1,0,0,0,0,0,0,0,0,20,420,76,0,0
48,e,0.0,0,0,1,0,0,0,0,0,0,0,0,20,417,44,0,0
49,te,0.0,0,0,2,0,0,0,0,0,0,0,0,20,416,44,0,0
