,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Mitteilungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,136,50,1,0
1,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,50,1,0
2,Anthropologischen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,12,2,50,1,0
3,Gesellschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,3,50,1,0
4,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,50,1,0
5,Wien,0.25,1,0,4,0,0,0,0,0,0,0,0,12,3,50,1,0
6,(MAGW),0.6666666666666666,0,0,6,0,0,0,0,0,0,0,0,12,3,50,1,0
7,Band,0.25,1,0,4,0,0,0,0,0,0,0,0,12,241,26,0,0
8,"129,",0.0,0,0,4,3,0,0,0,0,0,0,1,12,3,26,0,0
9,"1999,",0.0,0,0,5,4,0,0,0,0,0,0,1,12,3,26,0,0
10,S,1.0,1,0,1,0,0,0,0,0,0,0,0,12,3,26,0,0
11,227,0.0,0,0,3,3,0,0,0,0,0,0,1,12,3,26,0,0
12,Wissenschaftstourismus:,0.043478260869565216,1,0,23,0,0,1,0,0,0,0,0,12,166,160,0,1
13,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,3,160,0,1
14,Forscher,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,160,0,1
15,als,0.0,0,0,3,0,0,0,0,0,0,0,0,12,2,160,0,1
16,Tourist?,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,160,0,1
17,Von,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,287,188,0,0
18,INGRID,1.0,1,0,6,0,0,0,0,0,0,0,0,12,231,216,0,0
19,"THURNER,",0.875,1,0,8,0,0,0,0,0,0,0,0,12,3,216,0,0
20,Wien,0.25,1,0,4,0,0,0,0,0,0,0,0,12,3,216,0,0
21,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,12,254,258,0,0
22,"Reisen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,90,287,0,0
23,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,287,0,0
