,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Literaturbesprechungen,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,10,41,45,1,1
1,153,0.0,0,0,3,3,0,0,0,0,0,0,1,9,376,45,0,0
2,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,9,41,72,0,0
3,popularen,0.0,0,0,9,0,0,0,0,0,0,0,0,9,4,72,0,0
4,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,72,0,0
5,Unterschied,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,72,0,0
6,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,72,0,0
7,'bildungsbürgerlich',0.0,0,0,20,0,0,0,0,0,0,0,0,9,5,72,0,0
8,geprägten,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,72,0,0
9,Schreibkultur,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,5,72,0,0
10,herauszuarbeiten.,0.0,0,0,17,0,0,0,0,0,0,0,0,9,41,21,0,0
11,Dazu,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,21,0,0
12,bedarf,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,21,0,0
13,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,21,0,0
14,umfangreicher,0.0,0,0,13,0,0,0,0,0,0,0,0,9,5,21,0,0
15,"Umfragen,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,5,21,0,0
16,"""vor",0.0,0,0,4,0,0,0,0,0,0,0,0,9,6,21,0,0
17,allem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,21,0,0
18,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,21,0,0
19,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,21,0,0
20,Analyse,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,41,21,0,0
21,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
22,verschiedenen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,4,21,0,0
23,Schreibpraxen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,5,21,0,0
24,"selbst""",0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,21,0,0
25,(253).,0.0,0,0,6,3,0,0,0,0,0,0,0,9,4,21,0,0
26,Doch,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,21,0,0
27,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,21,0,0
28,diese,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,21,0,0
29,Untersu-,0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,21,0,0
30,chung,0.0,0,0,5,0,0,0,0,0,0,0,0,9,41,21,0,0
31,gehört,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,21,0,0
32,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
33,"Sammeln,",0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,21,0,0
34,denn,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,21,0,0
35,ohne,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,21,0,0
36,ausreichende,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,21,0,0
37,Anzahl,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,21,0,0
38,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
39,Textbeispielenkeine,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,9,2,21,0,0
40,'komparatistische,0.0,0,0,17,0,0,0,0,0,0,0,0,9,41,21,0,0
41,Textanalyse'.,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,21,0,0
42,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,55,21,0,0
43,Anhang,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,21,0,0
44,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
45,'Quellentexten',0.06666666666666667,0,0,15,0,0,0,0,0,0,0,0,9,3,21,0,0
46,(265-312),0.0,0,0,9,6,0,0,0,0,0,0,0,9,1,21,0,0
47,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
48,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,21,0,0
49,"anzuzeigen,",0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,21,0,0
50,denn,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,21,0,0
51,dort,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,21,0,0
52,finden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,21,0,0
53,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,41,21,0,0
54,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,21,0,0
55,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
56,'Dokumente,0.1,0,0,10,0,0,0,0,0,0,0,0,9,2,21,0,0
57,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
58,Kurzschrift,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,21,0,0
59,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,21,0,0
60,17.,0.0,0,0,3,2,0,0,0,0,0,0,1,9,3,21,0,0
61,"Jahrhundert',",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,21,0,0
62,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,21,0,0
63,Tintenrezepten,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,2,21,0,0
64,(18.,0.0,0,0,4,2,0,0,0,0,0,0,0,9,1,21,0,0
65,"Jh.),",0.2,1,0,5,0,0,0,0,0,0,0,0,9,41,21,0,0
66,Schulberichte,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,3,21,0,0
67,(Ende,0.2,0,0,5,0,0,0,0,0,0,0,0,9,2,21,0,0
68,18.,0.0,0,0,3,2,0,0,0,0,0,0,1,9,3,21,0,0
69,Jh.),0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,21,0,0
70,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
71,Kinderbriefe,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,21,0,0
72,(nach,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,21,0,0
73,"1800),",0.0,0,0,6,4,0,0,0,0,0,0,0,9,3,21,0,0
74,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,21,0,0
75,schließlich,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,21,0,0
76,(295,0.0,0,0,4,3,0,0,0,0,0,0,0,9,41,21,0,0
