,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Institutionalisierung,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,13,79,72,0,0
1,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,13,2,72,0,0
2,Individualisierung,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,13,3,72,0,0
3,des,0.0,0,0,3,0,0,0,0,0,0,0,0,13,3,72,0,0
4,Lebenslaufs?,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,13,177,31,0,0
5,Anmerkungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,110,111,0,0
6,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,11,2,111,0,0
7,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,111,0,0
8,festgefahrenen,0.0,0,0,14,0,0,0,0,0,0,0,0,9,2,111,0,0
9,Debatte1,0.125,1,0,8,1,0,0,0,0,0,0,0,9,3,111,0,0
10,Monika,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,164,140,0,0
11,Wohlrab-Sahr,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,9,2,140,0,0
12,Einleitung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,41,176,0,1
13,An,0.5,1,0,2,0,0,0,0,0,0,0,0,9,41,196,0,0
14,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,196,0,0
15,Frage,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,196,0,0
16,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,196,0,0
17,"""Individualisierung""",0.05,0,0,20,0,0,0,0,0,0,0,0,9,4,196,0,0
18,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,196,0,0
19,Lebensführung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,4,196,0,0
20,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,196,0,0
21,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,196,0,0
22,"""De-Insti-",0.2,0,0,10,0,0,0,0,0,0,0,0,9,5,196,0,0
23,"tutionalisierung""",0.0,0,0,17,0,0,0,0,0,0,0,0,9,41,21,0,0
24,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,21,0,0
25,Lebenslaufs,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,21,0,0
26,scheiden,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,21,0,0
27,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,21,0,0
28,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,21,0,0
29,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
30,Soziologie,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,21,0,0
31,derzeit,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,21,0,0
32,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
33,Geister?,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,21,0,0
34,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,40,21,0,0
35,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
36,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
37,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,21,0,0
38,schon,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,21,0,0
39,fast,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,21,0,0
40,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,21,0,0
41,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
42,Bestand,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,21,0,0
43,soziologischen,0.0,0,0,14,0,0,0,0,0,0,0,0,9,2,21,0,0
44,Alltagswissens,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,2,21,0,0
45,abgesun-,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,21,0,0
46,ken,0.0,0,0,3,0,0,0,0,0,0,0,0,9,40,21,0,0
47,"ist,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,21,0,0
48,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
49,kaum,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,1
50,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,21,0,0
51,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,21,0,0
52,Begründung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,21,0,0
53,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,21,0,0
54,bedürfen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,21,0,0
55,"scheint,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,21,0,0
56,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
57,andere,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,21,0,0
58,zumindest,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,21,0,0
59,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,40,21,0,0
60,plausible,0.0,0,0,9,0,0,0,0,0,0,0,0,9,4,21,0,0
61,Interpretationsfolie,0.05,1,0,20,0,0,0,0,0,0,0,0,9,5,21,0,0
62,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
63,heterogene,0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,21,0,0
64,empirische,0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,21,0,0
65,Befunde,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,21,0,0
66,"liefert,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,21,0,0
67,be-,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,21,0,0
68,trachten,0.0,0,0,8,0,0,0,0,0,0,0,0,9,40,21,0,0
69,dritte,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,21,0,0
70,weitgehend,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,21,0,0
71,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
72,Resultat,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,21,0,0
73,zeitgeistheischender,0.0,0,0,20,0,0,0,0,0,0,0,0,9,3,21,0,0
74,"Aufgeregtheit,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,2,21,0,0
75,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,21,0,0
76,nähe-,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,21,0,0
77,rer,0.0,0,0,3,0,0,0,0,0,0,0,0,9,40,21,0,0
78,Überprüfung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,21,0,0
79,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,21,0,0
80,standhält.,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,21,0,0
81,Allerdings,0.1,1,0,10,0,0,0,0,0,0,0,0,9,54,21,0,0
82,scheinen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,21,0,0
83,solche,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,21,0,0
84,Einschätzungen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,3,21,0,0
85,oft,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,21,0,0
86,eher,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,21,0,0
87,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,21,0,0
88,theoretischen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,5,21,0,0
89,Grund-,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,21,0,0
90,positionen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,40,21,0,0
91,abzuhängen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,21,0,0
92,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
93,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
94,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
95,vermeintlich,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,21,0,0
96,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
97,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,21,0,0
98,sprechenden,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,21,0,0
99,"""harten""",0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,21,0,0
100,Fak-,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,21,0,0
101,ten.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,40,21,0,0
102,Dies,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,21,0,0
103,zeigt,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,21,0,0
104,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,21,0,0
105,-,0.0,0,0,1,0,0,0,0,0,0,0,0,10,3,21,0,0
106,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
107,genauerer,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,21,0,0
108,Betrachtung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,21,0,0
109,-,0.0,0,0,1,0,0,0,0,0,0,0,0,10,3,21,0,0
110,oft,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
111,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,21,0,0
112,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
113,unterschiedlichen,0.0,0,0,17,0,0,0,0,0,0,0,0,9,3,21,0,0
114,Inter-,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,21,0,0
115,pretation,0.0,0,0,9,0,0,0,0,0,0,0,0,9,40,22,0,0
116,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
117,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
118,derselben,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,22,0,0
119,Befunde.,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,22,0,0
120,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
121,illustratives,0.0,0,0,13,0,0,0,0,0,0,0,0,9,3,22,0,0
122,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,22,0,0
123,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
