,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,128,0.0,0,0,3,3,0,0,0,0,0,0,1,10,52,28,1,0
1,Monika,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,51,59,1,0
2,Wohlrab-Sahr,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,12,4,59,1,0
3,Empathie,0.125,1,0,8,0,0,0,0,0,0,0,0,18,52,88,0,0
4,als,0.0,0,0,3,0,0,0,0,0,0,0,0,18,5,88,0,0
5,methodisches,0.0,0,0,12,0,0,0,0,0,0,0,0,18,52,38,0,0
6,Prinzip?,0.125,1,0,8,0,0,0,0,0,0,0,0,18,52,38,0,0
7,Entdzflerenzierung,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,12,52,148,1,0
8,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,148,1,0
9,RefZe-,0.3333333333333333,1,0,6,0,0,0,0,0,0,0,0,12,3,148,1,0
10,xivitätsverlust,0.0,0,0,15,0,0,0,0,0,0,0,0,12,51,26,1,0
11,als,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,26,1,0
12,problemati-,0.0,0,0,11,0,0,0,0,0,0,0,0,12,2,26,1,0
13,sches,0.0,0,0,5,0,0,0,0,0,0,0,0,12,52,26,1,0
14,Erbe,0.25,1,0,4,0,0,0,0,0,0,0,0,12,3,26,1,0
15,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,26,1,0
16,»methodi-,0.0,0,0,9,0,0,0,0,0,0,0,0,12,3,26,1,0
17,schen,0.0,0,0,5,0,0,0,0,0,0,0,0,12,52,27,1,0
18,Postulate,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,27,1,0
19,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,27,1,0
20,Frauenforschung«,0.0625,1,0,16,0,0,0,0,0,0,0,0,12,52,27,1,0
21,Einleitung:,0.09090909090909091,1,0,11,0,0,1,0,0,0,0,0,9,52,233,1,0
22,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,233,1,0
23,Erbe,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,233,1,0
24,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,233,1,0
25,»methodischen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,3,233,1,0
26,Postulate«,0.1,1,0,10,0,0,0,0,0,0,0,0,9,52,20,1,0
27,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,9,52,266,0,0
28,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,266,0,0
29,nun,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,266,0,0
30,15,0.0,0,0,2,2,0,0,0,0,0,0,1,9,6,266,0,0
31,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,266,0,0
32,"her,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,266,0,0
33,seitdem,0.0,0,0,7,0,0,0,0,0,0,0,0,9,5,266,0,0
34,Maria,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,266,0,0
35,Mies,0.25,1,0,4,0,0,0,0,0,0,0,0,9,52,20,0,0
36,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
37,ihren,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
38,»Methodischen,0.07692307692307693,0,0,13,0,0,0,0,0,0,0,0,9,3,20,0,0
39,Postulaten,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
40,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,52,20,0,0
41,Frauenforschung«,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,5,20,0,0
42,(Mies,0.2,0,0,5,0,0,0,0,0,0,0,0,9,5,20,0,0
43,1978),0.0,0,0,5,4,0,0,0,0,0,0,0,9,6,20,0,0
44,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
45,langanhaltende,0.0,0,0,14,0,0,0,0,0,0,0,0,9,52,19,0,0
46,Debatte,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,5,19,0,0
47,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,19,0,0
48,Gang,0.25,1,0,4,0,0,0,0,0,0,0,0,9,6,19,0,0
49,gesetzt,0.0,0,0,7,0,0,0,0,0,0,0,0,9,5,19,0,0
50,hat.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,52,20,0,0
51,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,4,20,0,0
52,deren,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
53,Verlauf,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
54,wurde,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
55,schnell,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
56,deut-,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
57,"lich,",0.0,0,0,5,0,0,0,0,0,0,0,0,9,52,20,0,0
58,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
59,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
60,dabei,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
61,weniger,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
62,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
63,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
64,Anwen-,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
65,dung,0.0,0,0,4,0,0,0,0,0,0,0,0,9,52,20,0,0
66,bestimmter,0.0,0,0,10,0,0,0,0,0,0,0,0,9,7,20,0,0
67,Forschungsinstrumente,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,9,6,20,0,0
68,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,9,52,20,0,0
69,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
70,Gestaltung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,5,20,0,0
71,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
72,Forschungspro-,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,5,20,0,0
73,zesses,0.0,0,0,6,0,0,0,0,0,0,0,0,9,52,19,0,0
74,ging,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
75,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
76,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,19,0,0
77,sehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
78,viel,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
79,grundsätzli-,0.0,0,0,12,0,0,0,0,0,0,0,0,9,4,19,0,0
80,chere,0.0,0,0,5,0,0,0,0,0,0,0,0,9,52,20,0,0
81,methodologische,0.0,0,0,15,0,0,0,0,0,0,0,0,9,4,20,0,0
82,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
83,epistemologi-,0.0,0,0,13,0,0,0,0,0,0,0,0,9,4,20,0,0
84,sche,0.0,0,0,4,0,0,0,0,0,0,0,0,9,52,20,0,0
85,Fragen.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
86,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,9,66,19,0,0
87,schien,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
