,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,B,1.0,1,0,1,0,0,0,0,0,0,0,0,7,182,71,0,1
1,l,0.0,0,0,1,0,0,0,0,0,0,0,0,7,2,71,0,1
2,i,0.0,0,0,1,0,0,0,0,0,0,0,0,7,2,71,0,1
3,c,0.0,0,0,1,0,0,0,0,0,0,0,0,7,2,71,0,1
4,k,0.0,0,0,1,0,0,0,0,0,0,0,0,7,2,71,0,1
5,n,0.0,0,0,1,0,0,0,0,0,0,0,0,7,6,71,0,1
6,a,0.0,0,0,1,0,0,0,0,0,0,0,0,7,1,71,0,1
7,c,0.0,0,0,1,0,0,0,0,0,0,0,0,7,1,71,0,1
8,h,0.0,0,0,1,0,0,0,0,0,0,0,0,7,1,71,0,1
9,d,0.0,0,0,1,0,0,0,0,0,0,0,0,7,5,71,0,1
10,r,0.0,0,0,1,0,0,0,0,0,0,0,0,7,2,71,0,1
11,a,0.0,0,0,1,0,0,0,0,0,0,0,0,7,2,71,0,1
12,u,0.0,0,0,1,0,0,0,0,0,0,0,0,7,2,71,0,1
13,ß,0.0,0,0,1,0,0,0,0,0,0,0,0,7,2,71,0,1
14,e,0.0,0,0,1,0,0,0,0,0,0,0,0,7,2,71,0,1
15,n,0.0,0,0,1,0,0,0,0,0,0,0,0,7,2,71,0,1
16,S,1.0,1,0,1,0,0,0,0,0,0,0,0,8,18,179,0,0
17,t,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,179,0,0
18,e,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,179,0,0
19,f,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,179,0,0
20,a,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,179,0,0
21,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,179,0,0
22,H,1.0,1,0,1,0,0,0,0,0,0,0,0,8,7,179,0,0
23,o,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,179,0,0
24,r,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,179,0,0
25,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,179,0,0
26,b,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,179,0,0
27,o,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,179,0,0
28,s,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,179,0,0
29,t,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,179,0,0
30,e,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,179,0,0
31,l,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,179,0,0
32,E,1.0,1,0,1,0,0,0,0,0,0,0,0,13,189,180,0,0
33,x,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,180,0,0
34,z,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,180,0,0
35,e,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,180,0,0
36,l,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,180,0,0
37,l,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,180,0,0
38,e,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,180,0,0
39,n,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,180,0,0
40,z,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,180,0,0
41,u,0.0,0,0,1,0,0,0,0,0,0,0,0,13,11,180,0,0
42,n,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,180,0,0
43,d,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,180,0,0
44,E,1.0,1,0,1,0,0,0,0,0,0,0,0,13,189,208,0,0
45,v,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
46,a,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
47,l,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
48,u,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
49,a,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
50,t,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
51,i,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
52,o,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
53,n,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
54,s,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
55,s,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
56,t,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
57,a,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
58,n,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
59,d,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
60,a,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
61,r,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
62,d,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
63,s,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,208,0,0
64,i,0.0,0,0,1,0,0,0,0,0,0,0,0,13,10,208,0,0
65,m,0.0,0,0,1,0,0,0,0,0,0,0,0,13,6,208,0,0
66,i,0.0,0,0,1,0,0,0,0,0,0,0,0,13,187,234,0,0
67,n,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
68,t,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
69,e,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
70,r,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
71,n,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
72,a,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
73,t,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
74,i,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
75,o,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
76,n,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
77,a,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
78,l,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
79,e,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
80,n,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
81,V,1.0,1,0,1,0,0,0,0,0,0,0,0,13,10,234,0,0
82,e,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
83,r,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
84,g,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
85,l,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
86,e,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
87,i,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
88,c,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
89,h,0.0,0,0,1,0,0,0,0,0,0,0,0,13,4,234,0,0
90,"Amerika,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,18,314,1,0
91,du,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,314,1,0
92,hast,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,314,1,0
93,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,314,1,0
94,besser,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,314,1,0
95,Als,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,18,22,1,0
96,unser,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,22,1,0
97,"Continent,",0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,22,1,0
98,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,22,1,0
99,"alte,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,22,1,0
100,Hast,0.25,1,0,4,0,0,0,0,0,0,0,0,8,18,21,1,0
101,keine,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,1,0
102,verfallene,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,21,1,0
103,Schlösser,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,21,1,0
104,Und,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,19,21,1,0
105,keine,0.0,0,0,5,0,0,0,0,0,0,0,0,8,1,21,1,0
106,Basalte.,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,21,1,0
107,Dich,0.25,1,0,4,0,0,0,0,0,0,0,0,8,18,22,1,0
