,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Identitätsbedrohung,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,9,211,18,1,0
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,18,1,0
2,soziale,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,18,1,0
3,Stigmatisierung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,2,18,1,0
4,Identitätsbedrohung,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,12,65,63,0,0
5,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,63,0,0
6,soziale,0.0,0,0,7,0,0,0,0,0,0,0,0,12,4,63,0,0
7,Stigmatisierung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,12,3,63,0,0
8,",,Nicht-intendierte",0.05263157894736842,0,0,19,0,0,0,0,0,0,0,0,11,49,89,0,0
9,"Nebenfolgen""",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,11,3,89,0,0
10,der,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,89,0,0
11,hochtechnisierten,0.0,0,0,17,0,0,0,0,0,0,0,0,11,3,89,0,0
12,Medizin,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,11,3,89,0,0
13,Elisabeth,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,158,115,1,0
14,Beck-Gemsheim,0.15384615384615385,1,0,13,0,0,0,0,0,0,0,0,9,2,115,1,0
15,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,21,151,0,0
16,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,4,151,0,0
17,neuen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,151,0,0
18,Biotechnologien,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,3,151,0,0
19,beinhalten,0.0,0,0,10,0,0,0,0,0,0,0,0,7,3,151,0,0
20,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,151,0,0
21,Eingriff,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,151,0,0
22,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,151,0,0
23,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,151,0,0
24,gesamten,0.0,0,0,8,0,0,0,0,0,0,0,0,7,4,151,0,0
25,Lebenszusammen­,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,3,151,0,0
26,hang,0.0,0,0,4,0,0,0,0,0,0,0,0,7,21,18,0,0
27,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,18,0,0
28,"Patienten/Klienten,",0.10526315789473684,1,0,19,0,1,0,0,0,0,0,0,7,2,18,0,0
29,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,18,0,0
30,deren,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,18,0,0
31,physisches,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,18,0,0
32,ebenso,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,18,0,0
33,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,18,0,0
34,psychisches,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,18,0,0
35,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,18,0,0
36,soziales,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,18,0,0
37,Befinden.,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,18,0,0
38,Aber,0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,18,0,0
39,ins,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,18,0,0
40,Blick­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,18,0,0
41,feld,0.0,0,0,4,0,0,0,0,0,0,0,0,7,21,18,0,0
42,gerückt,0.0,0,0,7,0,0,0,0,0,0,0,0,7,3,18,0,0
