,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Jochen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,34,21,1,0
1,Eckert,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,21,1,0
2,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,48,66,0,1
3,Begutachtung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,3,66,0,1
4,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,66,0,1
5,psychotherapeutischen,0.0,0,0,21,0,0,0,0,0,0,0,0,12,3,66,0,1
6,Verfahren,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,66,0,1
7,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,66,0,1
8,"""Forschungsgutachten""",0.047619047619047616,0,0,21,0,0,0,0,0,0,0,0,12,62,28,0,1
9,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,28,0,1
10,Psychotherapeutengesetz:,0.041666666666666664,1,0,24,0,0,1,0,0,0,0,0,12,4,28,0,1
11,Viele,0.2,1,0,5,0,0,0,0,0,0,0,0,10,79,114,0,1
12,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,114,0,1
13,gar,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,114,0,1
14,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,114,0,1
15,erst,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,114,0,1
16,"angetreten,",0.0,0,0,11,0,0,0,0,0,0,0,0,10,3,114,0,1
17,drei,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,114,0,1
18,haben,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,114,0,1
19,gewonnen,0.0,0,0,8,0,0,0,0,0,0,0,0,10,3,114,0,1
20,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,149,129,0,1
