,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,U.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,326,18,1,0
1,Esser/H.-I.,0.2727272727272727,1,0,11,0,1,0,0,0,0,0,0,9,3,18,1,0
2,See/,0.25,1,0,4,0,1,0,0,0,0,0,0,9,3,18,1,0
3,Erfahrungsberichte,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,12,153,67,0,0
4,Vom,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,11,114,120,0,0
5,Nutzen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,11,3,120,0,0
6,des,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,120,0,0
7,Psychologiestudiums,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,11,3,120,0,0
8,für,0.0,0,0,3,0,0,0,0,0,0,0,0,11,117,24,0,0
9,die,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,24,0,0
10,psychotherapeutische,0.0,0,0,20,0,0,0,0,0,0,0,0,11,3,24,0,0
11,Praxis:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,11,3,24,0,0
12,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,11,129,25,0,0
13,persönliche,0.0,0,0,11,0,0,0,0,0,0,0,0,11,3,25,0,0
14,Halbzeitbilanz,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,11,3,25,0,0
15,Ulrich,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,187,173,1,0
16,Esser,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,173,1,0
17,Als,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,20,215,0,0
18,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,215,0,0
19,gebeten,0.0,0,0,7,0,0,0,0,0,0,0,0,9,5,215,0,0
20,"wurde,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,215,0,0
21,diesen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,215,0,0
22,Artikel,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,5,215,0,0
23,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,215,0,0
24,schüttert,0.0,0,0,9,0,0,0,0,0,0,0,0,9,11,215,0,0
25,war.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,215,0,0
26,Ich,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,4,215,0,0
27,fühlte,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,215,0,0
28,mich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,215,0,0
29,damals,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,215,0,0
30,poli­,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,215,0,0
31,"schreiben,",0.0,0,0,10,0,0,0,0,0,0,0,0,9,20,19,0,0
32,war,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
33,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
34,sofort,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
35,Feuer,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
36,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
37,Flam­,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
38,tisch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,15,19,0,0
39,ziemlich,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,19,0,0
40,"zerrissen,",0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,19,0,0
41,da,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,19,0,0
42,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
43,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
44,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
45,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
46,me.,0.0,0,0,3,0,0,0,0,0,0,0,0,9,20,19,0,0
47,Ich,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
48,hatte,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
49,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
50,"""Initiative",0.09090909090909091,0,0,11,0,0,0,0,0,0,0,0,9,3,19,0,0
51,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
52,Erneuerung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,19,0,0
53,Seite,0.2,1,0,5,0,0,0,0,0,0,0,0,9,11,19,0,0
54,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
55,Anliegen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,19,0,0
56,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
57,Studenten,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,19,0,0
58,sehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
59,gut,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
60,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,20,19,0,0
61,"Psychologie""",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,5,19,0,0
62,finanziell,0.0,0,0,10,0,0,0,0,0,0,0,0,9,5,19,0,0
63,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
64,ideell,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,19,0,0
65,bis­,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,19,0,0
66,verstehen,0.0,0,0,9,0,0,0,0,0,0,0,0,9,15,19,0,0
67,"konnte,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,6,19,0,0
68,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,7,19,0,0
69,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
70,anderen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,6,19,0,0
71,Seite,0.2,1,0,5,0,0,0,0,0,0,0,0,9,6,19,0,0
72,lang,0.0,0,0,4,0,0,0,0,0,0,0,0,9,20,19,0,0
73,unterstützt,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,19,0,0
74,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
75,wollte,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
76,nun,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
77,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
78,weite­,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
79,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,9,15,19,0,0
80,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
81,liberale,0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,19,0,0
82,Elemente,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,19,0,0
83,"vertrat,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,19,0,0
84,zumal,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
85,ren,0.0,0,0,3,0,0,0,0,0,0,0,0,9,20,19,0,0
86,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,19,0,0
87,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,19,0,0
88,Sinne,0.2,1,0,5,0,0,0,0,0,0,0,0,9,5,19,0,0
89,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,19,0,0
90,Erfahrungsbe­,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,5,19,0,0
91,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,15,19,0,0
92,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,19,0,0
93,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
94,Zeitpunkt,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,6,19,0,0
95,Mitglied,0.125,1,0,8,0,0,0,0,0,0,0,0,9,5,19,0,0
96,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
97,FDP,1.0,1,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
98,richtes,0.0,0,0,7,0,0,0,0,0,0,0,0,9,20,19,0,0
99,leisten.,0.0,0,0,8,0,0,0,0,0,0,0,0,9,5,19,0,0
100,Diesen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,5,19,0,0
101,möchte,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,19,0,0
102,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
103,"""Halb­",0.16666666666666666,0,0,6,0,0,0,0,0,0,0,0,9,5,19,0,0
104,war.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,14,19,0,0
105,Bezeichnend,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,19,0,0
106,war,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
107,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
108,"mich,",0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,19,0,0
109,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
110,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
111,z.,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,19,0,0
112,B.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,19,0,0
113,"zeitbilanz""",0.0,0,0,11,0,0,0,0,0,0,0,0,9,20,19,0,0
114,"nennen,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,19,0,0
115,da,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,19,0,0
116,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
117,jetzt,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
118,22,0.0,0,0,2,2,0,0,0,0,0,0,1,9,3,19,0,0
119,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
120,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
121,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,11,19,0,0
122,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
123,FDP-Zeitung,0.36363636363636365,1,0,11,0,0,0,0,0,0,0,0,9,3,19,0,0
124,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
125,Artikel,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,19,0,0
126,verfaß­,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,19,0,0
127,Psychologe,0.1,1,0,10,0,0,0,0,0,0,0,0,9,20,19,0,0
128,tätig,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
129,bin,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
130,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
131,"hoffe,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
132,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,19,0,0
133,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
134,22,0.0,0,0,2,2,0,0,0,0,0,0,1,9,3,19,0,0
135,"te,",0.0,0,0,3,0,0,0,0,0,0,0,0,9,11,19,0,0
136,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,19,0,0
137,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
138,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
139,einige,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,19,0,0
140,Anliegen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,19,0,0
141,Rudi,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,19,0,0
142,Dutsch­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,19,0,0
143,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,9,20,19,0,0
144,sein,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
145,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,19,0,0
146,"können,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,19,0,0
147,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
148,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
149,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,19,0,0
150,höhe­,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
151,kes,0.0,0,0,3,0,0,0,0,0,0,0,0,9,15,19,0,0
152,verteidigte.,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,19,0,0
153,ren,0.0,0,0,3,0,0,0,0,0,0,0,0,9,20,19,0,0
154,Alter,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
155,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
156,weniger,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,19,0,0
157,Arbeitszeit.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,19,0,0
158,Als,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
159,frei­,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
160,Entsprechend,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,29,19,0,0
161,war,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
162,natürlich,0.0,0,0,9,0,0,0,0,0,0,0,0,9,6,19,0,0
163,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
164,Stim­,0.2,1,0,5,0,0,0,0,0,0,0,0,9,6,19,0,0
165,beruflich,0.0,0,0,9,0,0,0,0,0,0,0,0,9,20,19,0,0
166,tätiger,0.0,0,0,7,0,0,0,0,0,0,0,0,9,5,19,0,0
167,Psychotherapeut,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,5,19,0,0
168,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
169,Su-,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
170,.,0.0,0,0,1,0,0,0,0,0,0,0,0,9,4,19,0,0
171,mung,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,19,0,0
172,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,19,0,0
173,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
174,"Hochschule,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,19,0,0
175,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,19,0,0
176,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
177,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
178,Stu­,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
179,pervisor,0.0,0,0,8,0,0,0,0,0,0,0,0,9,20,19,0,0
180,habe,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
181,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
182,ja,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,19,0,0
183,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
184,"Möglichkeit,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,19,0,0
185,länger,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
186,denten,0.0,0,0,6,0,0,0,0,0,0,0,0,9,12,19,0,0
187,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,19,0,0
188,massiv,0.0,0,0,6,0,0,0,0,0,0,0,0,9,6,19,0,0
189,gegen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,19,0,0
190,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
191,Unterdrük­,0.1,1,0,10,0,0,0,0,0,0,0,0,9,5,19,0,0
192,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,20,19,0,0
193,"arbeiten,",0.0,0,0,9,0,0,0,0,0,0,0,0,9,4,19,0,0
194,"vorausgesetzt,",0.0,0,0,14,0,0,0,0,0,0,0,0,9,4,19,0,0
195,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
196,Gesundheit,0.1,1,0,10,0,0,0,0,0,0,0,0,9,5,19,0,0
197,kung,0.0,0,0,4,0,0,0,0,0,0,0,0,9,12,19,0,0
198,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,19,0,0
199,politische,0.0,0,0,10,0,0,0,0,0,0,0,0,9,5,19,0,0
200,"Instanzen,",0.1,1,0,10,0,0,0,0,0,0,0,0,9,5,19,0,0
201,incl.,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,19,0,0
202,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
203,läßt,0.0,0,0,4,0,0,0,0,0,0,0,0,9,20,19,0,0
204,dies,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,19,0,0
205,zu.,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
206,"Hochschullehrer,",0.0625,1,0,16,0,0,0,0,0,0,0,0,9,147,19,0,0
207,wehrten.,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,19,0,0
208,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
209,angestrebten,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,19,0,0
210,Nach,0.25,1,0,4,0,0,0,0,0,0,0,0,9,34,19,0,0
211,16,0.0,0,0,2,2,0,0,0,0,0,0,1,9,5,19,0,0
212,Jahren,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
213,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
214,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,19,0,0
215,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,19,0,0
216,Erzie­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
217,gesamtgesellschaftlichen,0.0,0,0,24,0,0,0,0,0,0,0,0,9,15,19,0,0
218,Veränderungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,17,19,0,0
219,"hungsberatungsstelle,",0.0,0,0,21,0,0,0,0,0,0,0,0,9,20,19,0,0
220,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
221,vorwiegend,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,19,0,0
222,thera­,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
223,waren,0.0,0,0,5,0,0,0,0,0,0,0,0,9,15,19,0,0
224,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
225,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
226,derartigen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,19,0,0
227,"Tragweite,",0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,19,0,0
228,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
229,peutisch,0.0,0,0,8,0,0,0,0,0,0,0,0,9,20,19,0,0
230,orientiert,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,19,0,0
231,"war,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,19,0,0
232,arbeite,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,19,0,0
233,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
234,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
235,1986,0.0,0,0,4,4,0,0,0,0,0,1,1,9,3,19,0,0
236,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,11,19,0,0
237,Verunsicherung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,2,19,0,0
238,spürbar,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,19,0,0
239,war,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
240,(so,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
241,wurde,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
242,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,20,19,0,0
243,freier,0.0,0,0,6,0,0,0,0,0,0,0,0,9,7,19,0,0
244,Praxis,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,8,19,0,0
245,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,7,19,0,0
246,"Berater,",0.125,1,0,8,0,0,0,0,0,0,0,0,9,7,19,0,0
247,"Therapeut,",0.1,1,0,10,0,0,0,0,0,0,0,0,9,7,19,0,0
248,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,11,19,0,0
249,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
250,Student,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,19,0,0
251,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,19,0,0
252,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
253,Arbeiterkneipe,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,3,19,0,0
254,re­,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
255,"GwG-Ausbilder,",0.21428571428571427,1,0,14,0,0,0,0,0,0,0,0,9,20,19,0,0
256,Supervisor,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,19,0,0
257,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
258,Einrichtun­,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,19,0,0
259,gelmäßig,0.0,0,0,8,0,0,0,0,0,0,0,0,9,15,19,0,0
