,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Zum,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,209,24,1,0
1,Theorie-Praxis-Problem,0.13636363636363635,1,0,22,0,0,0,0,0,0,0,0,8,4,24,1,0
2,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,24,1,0
3,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,24,1,0
4,Ausbildung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,1,24,1,0
5,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,95,63,0,0
6,wirkliche,0.0,0,0,9,0,0,0,0,0,0,0,0,12,3,63,0,0
7,Leben,0.2,1,0,5,0,0,0,0,0,0,0,0,12,4,63,0,0
8,pulsiert,0.0,0,0,8,0,0,0,0,0,0,0,0,12,4,63,0,0
9,woanders,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,63,0,0
10,Gedanken,0.125,1,0,8,0,0,0,0,0,0,0,0,11,47,88,0,0
11,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,88,0,0
12,Theorie-Praxis-Problem,0.13636363636363635,1,0,22,0,0,0,0,0,0,0,0,11,3,88,0,0
13,in,0.0,0,0,2,0,0,0,0,0,0,0,0,11,3,88,0,0
14,der,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,88,0,0
15,PsychologInnen­,0.13333333333333333,1,0,15,0,0,0,0,0,0,0,0,11,3,88,0,0
16,Ausbildung,0.1,1,0,10,0,0,0,0,0,0,0,0,11,181,26,0,0
17,Siegfried,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,170,129,1,0
18,Grubitzsch,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,129,1,0
19,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,19,169,0,0
20,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,7,3,169,0,0
21,folgenden,0.0,0,0,9,0,0,0,0,0,0,0,0,7,3,169,0,0
22,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,169,0,0
23,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,169,0,0
24,Frage,0.2,1,0,5,0,0,0,0,0,0,0,0,7,3,169,0,0
25,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,169,0,0
26,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,169,0,0
27,Theorie-Praxis-Verhältnis,0.12,1,0,25,0,0,0,0,0,0,0,0,7,3,169,0,0
28,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,169,0,0
29,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,169,0,0
30,Ausbildung,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,169,0,0
31,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,169,0,0
32,PsychologInnen,0.14285714285714285,1,0,14,0,0,0,0,0,0,0,0,7,19,16,0,0
33,nachgegangen.,0.0,0,0,13,0,0,0,0,0,0,0,0,7,2,16,0,0
34,Dabei,0.2,1,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
35,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
36,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
37,These,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
38,"vertreten,",0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
39,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
40,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
41,allenthalben,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
42,geforderte,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
43,Hereinnahme,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
44,berufspraktischer,0.0,0,0,17,0,0,0,0,0,0,0,0,7,19,16,0,0
45,Anteile,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,1,16,0,0
46,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
47,das,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
48,Studium,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
49,letztlich,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
50,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
51,möglich,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
52,ist.,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
53,Dies,0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
54,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
55,anhand,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
56,zurückliegender,0.0,0,0,15,0,0,0,0,0,0,0,0,7,2,16,0,0
57,Versuche,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
58,sowohl,0.0,0,0,6,0,0,0,0,0,0,0,0,7,19,16,0,0
59,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
60,Mainstream-Psychologie,0.09090909090909091,1,0,22,0,0,0,0,0,0,0,0,7,3,16,0,0
61,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
62,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
63,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
64,Kritiker,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
65,erörtert.,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
66,Zugleich,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,16,0,0
67,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
68,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
69,weitere,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
70,These,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
71,"vertreten,",0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
72,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,7,19,16,0,0
73,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
