,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Aus,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,15,130,57,0,1
1,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,15,5,57,0,1
2,Elfenbeinturm:,0.07142857142857142,1,0,14,0,0,1,0,0,0,0,0,15,5,57,0,1
3,"Studium,",0.125,1,0,8,0,0,0,0,0,0,0,0,15,104,79,0,1
4,Lehre,0.2,1,0,5,0,0,0,0,0,0,0,0,15,4,79,0,1
5,und,0.0,0,0,3,0,0,0,0,0,0,0,0,15,4,79,0,1
6,Forschung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,15,5,79,0,1
7,Lehrende,0.125,1,0,8,0,0,0,0,0,0,0,0,12,72,186,0,0
8,und,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,186,0,1
9,Lernende,0.125,1,0,8,0,0,0,0,0,0,0,0,12,4,186,0,0
10,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,186,0,0
11,Psychologie-Studium,0.10526315789473684,1,0,19,0,0,0,0,0,0,0,0,12,4,186,0,0
12,gefangen,0.0,0,0,8,0,0,0,0,0,0,0,0,12,125,29,0,0
13,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,29,0,0
14,gemeinsamen,0.0,0,0,11,0,0,0,0,0,0,0,0,12,4,29,0,0
15,Käfig?,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,4,29,0,0
16,Hans-Wo/fgang,0.15384615384615385,1,0,13,0,1,0,0,0,0,0,0,9,177,228,1,0
17,Hoefert,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,228,1,0
18,Vorbemerkung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,11,33,282,0,0
19,~,0.0,0,0,1,0,0,0,0,0,0,0,0,7,122,282,0,0
20,Allgemeinbildung:,0.058823529411764705,1,0,17,0,0,1,0,0,0,0,0,9,3,282,0,0
21,Während,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,7,282,0,0
22,früher,0.0,0,0,6,0,0,0,0,0,0,0,0,9,7,282,0,0
23,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,7,282,0,0
24,"""studium",0.0,0,0,8,0,0,0,0,0,0,0,0,9,231,21,0,0
25,"generale""",0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,21,0,0
26,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
27,legitimie~.t,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
28,"galt,",0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,21,0,0
29,wel­,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,21,0,0
30,Sowohl,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,34,20,0,0
31,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
32,Hochschulbetrieb,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,4,20,0,0
33,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
34,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
35,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
36,ches,0.0,0,0,4,0,0,0,0,0,0,0,0,9,11,20,0,0
37,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,20,0,0
38,wesentlichen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,5,20,0,0
39,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
40,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
41,Ubernahme,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,5,20,0,0
42,Lehre,0.2,1,0,5,0,0,0,0,0,0,0,0,9,34,19,0,0
43,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,19,0,0
44,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
45,Hochschule,0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,19,0,0
46,-,0.0,0,0,1,0,0,0,0,0,0,0,0,9,3,19,0,0
47,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,19,0,0
48,zuletzt,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,19,0,0
49,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,19,0,0
50,gesellschaftlich,0.0,0,0,16,0,0,0,0,0,0,0,0,9,11,19,0,0
51,wichtiger,0.0,0,0,9,0,0,0,0,0,0,0,0,9,4,19,0,0
52,Funktionen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,19,0,0
53,sowie,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
54,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,34,19,0,0
55,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,19,0,0
56,-,0.0,0,0,1,0,0,0,0,0,0,0,0,9,2,19,0,0
57,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
