,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Aktuelles,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,15,158,58,0,1
1,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,15,4,58,0,1
2,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,72,161,0,1
3,heißt,0.0,0,0,5,0,0,0,0,0,0,0,0,12,4,161,0,1
4,"""Psychologie",0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,12,3,161,0,1
5,vom,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,161,0,1
6,"Subjektstandpunkt""?",0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,12,4,161,0,1
7,Überlegungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,68,191,0,1
8,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,10,3,191,0,1
9,subjektwissenschaftlicher,0.0,0,0,25,0,0,0,0,0,0,0,0,10,3,191,0,1
10,Theorienbildung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,3,191,0,1
11,Klaus,0.2,1,0,5,0,0,0,0,0,0,0,0,9,189,216,1,0
12,Ho/zkamp,0.125,1,0,8,0,1,0,0,0,0,0,0,9,2,216,1,0
13,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,32,252,0,0
14,Gängige,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,252,0,0
15,"Vorstellungen,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,2,252,0,0
16,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,252,0,0
17,gemäß,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,252,0,0
18,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,252,0,0
19,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,252,0,0
20,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,252,0,0
