,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,"Person,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,15,29,58,0,1
1,Wissenschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,15,4,58,0,1
2,und,0.0,0,0,3,0,0,0,0,0,0,0,0,15,4,58,0,1
3,Geschlechterverhältnis,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,15,5,58,0,1
4,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,12,178,174,0,1
5,Gespräch:,0.1111111111111111,1,0,9,0,0,1,0,0,0,0,0,12,4,174,0,1
6,Martin,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,34,194,0,1
7,Kirschenbaum,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,4,194,0,1
8,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,194,0,1
9,Angelika,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,194,0,1
10,Faas,0.25,1,0,4,0,0,0,0,0,0,0,0,12,4,194,0,1
11,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,194,0,1
12,Thomas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,4,194,0,1
13,Krauß,0.2,1,0,5,0,0,0,0,0,0,0,0,12,4,194,0,1
14,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,240,276,0,0
15,Person:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,7,2,276,0,0
16,Martin,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,240,294,0,0
17,"Kirschenbaum,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,7,294,0,0
18,Ph.,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,6,294,0,0
19,"D.,",0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,294,0,0
20,Jahrgang,0.125,1,0,8,0,0,0,0,0,0,0,0,7,6,294,0,0
21,1928;,0.0,0,0,5,4,0,0,0,0,0,0,1,7,6,294,0,0
22,Gründer,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,240,16,0,0
23,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
24,Califomia,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
25,Graduate,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
26,School,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
27,of,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
28,Fami­,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
29,Iyand,0.2,1,0,5,0,0,0,0,0,0,0,0,7,240,16,0,0
30,Marital,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,16,0,0
