,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Themenschwerpunkt:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,15,140,61,0,1
1,Berufspraxis,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,15,98,36,0,1
2,und,0.0,0,0,3,0,0,0,0,0,0,0,0,15,4,36,0,1
3,Wissenschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,15,4,36,0,1
4,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,15,121,37,0,1
5,ungeklärte,0.0,0,0,10,0,0,0,0,0,0,0,0,15,4,37,0,1
6,Beziehung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,15,4,37,0,1
7,Identitäten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,133,184,0,1
8,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,184,0,1
9,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,184,0,1
10,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,184,0,1
11,Jenseits,0.125,1,0,8,0,0,0,0,0,0,0,0,12,128,28,0,1
12,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,28,0,1
13,Imitationsidentität,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,12,3,28,0,1
14,Heiner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,194,225,1,0
15,Keupp,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,225,1,0
16,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,32,261,0,0
17,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,261,0,0
18,Projekt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,261,0,0
19,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,261,0,0
20,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,261,0,0
21,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,261,0,0
22,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,261,0,0
23,Zustand,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,261,0,0
24,unübersichtlicher,0.0,0,0,17,0,0,0,0,0,0,0,0,7,3,261,0,0
25,"Beliebigkeit,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,3,261,0,0
26,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,261,0,0
27,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,261,0,0
28,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,261,0,0
29,einheitswissenschaftliche,0.0,0,0,25,0,0,0,0,0,0,0,0,7,32,16,0,0
