,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Alternativen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,233,18,1,0
1,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,18,1,0
2,Psychotherapieforschung,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,9,1,18,1,0
3,Alternativen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,82,63,0,0
4,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,63,0,0
5,Psychotherapieforschung,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,12,3,63,0,0
6,Heiner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,137,89,1,0
7,Legewie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,89,1,0
8,&,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,89,0,0
9,Christoph,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,89,1,0
10,KJotter,0.2857142857142857,1,0,7,0,0,0,0,0,0,0,0,9,3,89,1,0
11,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,17,173,0,0
12,Forschungsgutachten,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,9,6,173,1,0
13,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,6,173,1,0
14,Fragen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,6,173,1,0
15,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,9,7,173,1,0
16,Psychotherapeutengesetzes,0.04,1,0,25,0,0,0,0,0,0,0,0,9,17,20,1,0
17,(Meyer,0.16666666666666666,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
18,u.,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
19,a.I991),0.14285714285714285,0,0,7,3,0,0,0,0,0,0,0,9,2,20,0,0
20,tritt,0.0,0,0,5,0,0,0,0,0,0,0,0,9,17,19,0,0
21,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
22,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
23,Anspruch,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,19,0,0
24,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
25,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
26,Zielsetzung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,19,0,0
27,"auf,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,17,19,0,0
28,wissenschaftliche,0.0,0,0,17,0,0,0,0,0,0,0,0,9,5,19,0,0
29,Grundlagen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,6,19,0,0
30,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
31,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
32,künftige,0.0,0,0,8,0,0,0,0,0,0,0,0,9,17,20,0,0
33,Gestaltung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,5,20,0,0
34,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
35,psychotherapeuti­,0.0,0,0,17,0,0,0,0,0,0,0,0,9,6,20,0,0
