,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,ETjahrungsberichte,0.1111111111111111,1,0,18,0,0,0,0,0,0,0,0,9,32,21,1,0
1,tätigkeit,0.0,0,0,9,0,0,0,0,0,0,0,0,9,33,48,0,0
2,betrifft.,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,48,0,0
3,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,1,48,0,0
4,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,48,0,0
5,Ausbildung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,48,0,0
6,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,48,0,0
7,Aus­,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,48,0,0
8,bilder,0.0,0,0,6,0,0,0,0,0,0,0,0,9,32,19,0,0
9,habe,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
10,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
11,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,19,0,0
12,Laufe,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
13,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
14,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
15,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
16,an­,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
17,dere,0.0,0,0,4,0,0,0,0,0,0,0,0,9,33,20,0,0
18,Form,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
19,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
20,Unterrichtens,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
21,"erlernt,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
22,so,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
23,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
24,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,33,20,0,0
25,Tausch,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,5,20,0,0
26,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,20,0,0
27,seinem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,20,0,0
28,kurzen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,20,0,0
29,Gastspiel,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,5,20,0,0
30,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,20,0,0
31,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,33,20,0,0
32,Kölner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
33,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
34,schon,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
35,versucht,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
36,hatte.,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
37,Aber,0.25,1,0,4,0,0,0,0,0,0,0,0,9,32,19,0,0
38,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
39,Gesprächspsychotherapie,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,9,3,19,0,0
40,wurde,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
41,Mitte,0.2,1,0,5,0,0,0,0,0,0,0,0,9,32,19,0,0
42,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
43,70er,0.0,0,0,4,2,0,0,0,0,0,0,0,9,4,19,0,0
44,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
45,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,19,0,0
46,lerntheoretisch,0.0,0,0,15,0,0,0,0,0,0,0,0,9,4,19,0,0
47,"vermittelt,",0.0,0,0,11,0,0,0,0,0,0,0,0,9,32,20,0,0
48,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
49,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
50,personzentriert.,0.0,0,0,16,0,0,0,0,0,0,0,0,9,4,20,0,0
51,Aber,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
52,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,32,19,0,0
53,Rahmen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,10,19,0,0
54,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,10,19,0,0
55,Auseinandersetzungen,0.05,1,0,20,0,0,0,0,0,0,0,0,9,9,19,0,0
56,innerhalb,0.0,0,0,9,0,0,0,0,0,0,0,0,9,33,20,0,0
57,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
58,GwG,0.6666666666666666,1,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
59,war,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
60,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
61,"möglich,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
62,person­,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
63,zentrierte,0.0,0,0,10,0,0,0,0,0,0,0,0,9,32,19,0,0
64,Unterrichtsformen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,3,19,0,0
65,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,19,0,0
66,"entwickeln,",0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,19,0,0
67,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,32,19,0,0
68,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
69,Bedürfnissen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,5,19,0,0
70,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
71,Auszubildenden,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,5,19,0,0
72,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,32,20,0,0
73,entsprechen.,0.0,0,0,12,0,0,0,0,0,0,0,0,9,4,20,0,0
74,Ich,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
75,hoffe,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
76,"auch,",0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
77,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
78,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
79,personzentrierte,0.0,0,0,16,0,0,0,0,0,0,0,0,9,33,19,0,0
80,Ausbilder,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,5,19,0,0
81,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,6,19,0,0
82,Achtung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,5,19,0,0
83,Andersdenkenden,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,32,19,0,0
84,"entgegenbringen,",0.0,0,0,16,0,0,0,0,0,0,0,0,9,4,19,0,0
85,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
86,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
87,dies,0.0,0,0,4,0,0,0,0,0,0,0,0,9,33,19,0,0
88,z.,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,19,0,0
89,T.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,19,0,0
90,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
91,Student,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,19,0,0
92,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,19,0,0
93,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
94,Hochschule,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,19,0,0
95,er­,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
96,lebt,0.0,0,0,4,0,0,0,0,0,0,0,0,9,33,19,0,0
97,habe.,0.0,0,0,5,0,0,0,0,0,0,0,0,9,6,19,0,0
98,Elitäres,0.125,1,0,8,0,0,0,0,0,0,0,0,9,7,19,0,0
99,Ausgrenzen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,6,19,0,0
100,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
101,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,6,19,0,0
102,besser,0.0,0,0,6,0,0,0,0,0,0,0,0,9,32,20,0,0
103,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
104,andere,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
105,Richtungen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
106,Fühlen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
107,waren,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
108,"damals,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,33,19,0,0
109,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
110,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
111,glaube,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,19,0,0
112,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,19,0,0
113,"heute,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
114,gang,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,19,0,0
115,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
116,gäbe,0.0,0,0,4,0,0,0,0,0,0,0,0,9,33,20,0,0
117,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
118,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
119,Hochschule.,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
120,Aus,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,46,19,0,0
121,heutiger,0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,19,0,0
122,Sicht,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
123,bin,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
124,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
125,"froh,",0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
126,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
127,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
128,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,33,19,0,0
129,Entwicklung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,19,0,0
130,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
131,Berufspraktikers,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,4,19,0,0
132,ge­,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
