,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Erfahrungsberichte,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,33,20,1,0
1,cen,0.0,0,0,3,0,0,0,0,0,0,0,0,9,33,47,0,0
2,"hat,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,47,0,0
3,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,47,0,0
4,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,47,0,0
5,Fachzeitschrift,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,3,47,0,0
6,akzeptiert,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,47,0,0
7,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,33,19,0,0
8,werden?,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,19,0,0
9,Welche,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
10,Zeitschrift,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,19,0,0
11,wollte,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,19,0,0
12,bisher,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
13,überhaupt,0.0,0,0,9,0,0,0,0,0,0,0,0,9,33,19,0,0
14,Stellungnahmen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,3,19,0,0
15,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
16,Praktikern?,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,19,0,0
17,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,33,19,0,0
18,Journal,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,19,1,0
19,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,1,0
20,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,19,1,0
21,versucht,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,19,0,0
22,es.,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
23,Bis,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
24,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,33,19,0,0
25,richtige,0.0,0,0,8,0,0,0,0,0,0,0,0,9,8,19,0,0
26,Weg,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,8,19,0,0
27,gefunden,0.0,0,0,8,0,0,0,0,0,0,0,0,9,7,19,0,0
28,"ist,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,7,19,0,0
29,müssen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,8,19,0,0
30,sicher,0.0,0,0,6,0,0,0,0,0,0,0,0,9,33,20,0,0
31,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
32,einige,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,20,0,0
33,Erfahrungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
34,gesammelt,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
35,werden.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,33,19,0,0
36,Literatur,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,33,158,0,0
37,"Froessler,",0.1,1,0,10,0,0,0,0,0,0,0,0,7,33,177,0,0
38,"R,",0.5,1,0,2,0,0,0,0,0,0,0,0,7,3,177,0,0
39,"Seile,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,177,0,0
40,Ku.,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,177,0,0
41,a.,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,177,0,0
42,(1991):,0.0,0,0,7,4,0,1,0,0,0,0,0,7,3,177,0,0
43,Auf,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,177,0,0
44,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,177,0,0
45,Weg,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,177,0,0
46,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,177,0,0
47,sozial,0.0,0,0,6,0,0,0,0,0,0,0,0,7,47,16,0,0
48,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
49,ökologisch,0.0,0,0,10,0,0,0,0,0,0,0,0,7,5,16,0,0
50,orientierten,0.0,0,0,12,0,0,0,0,0,0,0,0,7,4,16,0,0
51,Erneuerung?,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,5,16,0,0
52,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,48,16,0,0
53,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,5,16,0,0
54,intermediärer,0.0,0,0,13,0,0,0,0,0,0,0,0,7,5,16,0,0
55,Organisationen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,5,16,0,0
56,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
57,Entwicklung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,48,16,0,0
58,städtischer,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
59,Quartiere,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
60,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
61,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
62,Bundes­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
63,republik,0.0,0,0,8,0,0,0,0,0,0,0,0,7,48,16,0,0
64,Deutschland.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,10,16,0,0
65,Dortmund/Darmstadt:,0.10526315789473684,1,0,19,0,1,1,0,0,0,0,0,7,10,16,0,0
66,Dortmunder,0.1,1,0,10,0,0,0,0,0,0,0,0,7,48,16,0,0
67,Vertrieb,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
68,für,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
69,Bau-,0.25,1,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
70,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
71,Planungslite­,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,3,16,0,0
72,ratur,0.0,0,0,5,0,0,0,0,0,0,0,0,7,48,16,0,0
73,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,4,16,0,0
74,Kooperation,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,5,16,0,0
75,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
76,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
